just	2495:20499:2124:537
speaker's	33169:17222:2454:340
account,	35789:17261:2145:301
participating	38099:17248:3382:353
discussion	34861:17668:2619:288
afterwards.	37687:17681:2991:288
first	35005:18113:1052:288 37584:22045:1072:288
speaker	36387:18113:2042:353
louise,	35211:18559:1815:327
began	38636:18559:1505:353
talk	41544:18572:969:275 41544:19870:990:288
describing	33994:18978:2681:353
before	40946:19005:1588:275
joining	33169:19411:1774:353
alcoholics	35253:19424:2640:275
anonymous.	38202:19437:3135:340
"in	41709:19437:825:275
family,	34201:19857:1835:353
not	38966:19883:783:262
much	39956:19870:1402:275
feeling.	35480:20289:2289:353
fears	40162:20302:1526:288
—	35067:21757:495:26 34324:20879:474:39
looking	35026:20722:1815:366
like	37212:20709:928:301
jerk,	39131:20735:1217:353
failing,	40719:20735:1815:353
being	33190:21141:1443:366
rejected	35191:21167:2227:340
friends	39131:21167:1897:288
family	33190:21587:1691:353
were	35768:21678:1258:209
kept	37274:21613:1072:353
inside,"	38615:21613:1980:340
louise	33706:23776:1691:288 40884:21613:1650:288 34902:27275:1670:288
explained.	33190:22032:2619:353
"my	36160:22045:1134:353
drink,	38924:22045:1505:340
when	40719:22045:1340:288
teen-ager,	34799:22478:2599:353
temporarily	37604:22478:3094:366
got	40863:22491:783:340
rid	41833:22478:721:275
problems	34964:22911:2413:353
inside	37646:22911:1505:288
mc,"	40141:22911:1299:340
she	33190:25519:845:288 37068:23776:866:288 33190:24654:928:275 41709:22911:825:288 37522:26843:845:275
added.	33190:23343:1670:288
said	35706:23776:1052:288
became	38264:23776:2000:288
what	40595:23789:1237:275
is	42163:23776:371:288
called	33190:24208:1547:288
"social	35459:24208:1774:301
drinker."	37419:24208:2413:301
discovered	34675:24654:3176:288
that	38409:24654:1113:288
alleviated	33190:25086:2557:288
many	36841:25165:1443:275
social	38429:25086:1464:288
pressures	40059:25165:2475:275
felt	34407:25519:845:288
confronting	35583:25519:2970:353
her.	38904:25532:1010:275
"alcohol	40327:25532:2227:275
made	33190:25951:1423:288
beautiful,	35706:25951:2434:353
allowed	38326:25951:1959:288
be	41977:25951:577:288
party	37068:26423:1382:327
charming	40059:26410:2495:340
conversation,"	33190:26843:3816:340
said.	38863:26843:1175:275
this	41647:26843:907:288
point,	33190:27275:1443:340
drank	36820:27275:1505:288
only	38574:27275:1072:340
socially	40595:27288:1959:327
acceptable	43298:21639:2805:340
situaitons.	46289:21639:2640:288
louise	43834:24680:1712:288 43834:22072:1691:275
later	45690:22072:1217:288
became	47093:22072:1980:288
dependent	49280:22072:2619:366
on	52064:22163:556:209
a	43318:22570:268:209 50084:23894:268:209 46020:25624:268:209
combination	43751:22504:3197:288
of	47114:22504:495:288 49857:25558:474:275
pills	47712:22504:1072:353
in	46763:22937:453:275 48970:22504:433:288
the	47588:22937:763:288 49568:22517:763:275
morning	50497:22530:2145:340
and	43298:22937:948:275 45690:25978:928:288
alcohol	44577:22937:1794:288
afternoon.	48702:22937:2578:288
"as	51693:22963:928:275
long	43318:23369:1072:353
as	44742:23448:536:209
i	47939:23815:185:275 45670:23369:165:275 45443:23802:185:288
didn't	46206:23369:1485:288
drink	48063:23369:1340:288
before	49754:23369:1608:288
five	51693:23382:948:288
o'clock,	43318:23802:1939:340
felt	45773:23802:825:288
that	47361:24680:1010:288 46784:23802:990:288
wasn't	48269:23815:1670:288
problem	50517:23815:2104:353
drinker,"	43318:24247:2413:340
she	45938:24247:866:288 43298:25545:845:288 50455:24706:825:262
explained.	47011:24247:2619:353
said	45897:24680:1052:288
when	48743:24680:1320:288
was	51652:24785:969:196
unable	43318:25113:1712:288
to	48186:26004:453:262 52168:25584:453:262 45319:25139:453:262
sustain	46041:25113:1815:288
even	48145:25191:1155:209
this	45175:26410:1093:288 49589:25126:907:275
facade,	50786:25126:1835:340
began	44329:25545:1505:366
rocky	46474:25545:1464:353
period	48083:25545:1588:366
trying	50476:25571:1567:340
confront	43318:25978:2124:288
then	46866:25978:1072:288
evade	48867:25991:1485:275
her	50579:25991:825:288
problems.	51652:26082:763:262 43318:26410:1670:288
phase	46433:26423:1485:353
included	48063:26423:2165:275
uninspiring	50373:26436:2042:353 43318:26856:763:353
attendance	44515:26856:2826:275
at	47733:26869:495:262
a.a.	48620:26869:1093:262
meetings,	50146:26869:2475:340
"adult	43339:27288:1629:288
education,	45319:27288:2640:340
counseling,	48351:27301:2846:327
selfhelf	51590:27301:866:275
selfhelf	53405:10787:969:288
books,	54787:10787:1567:353
and	61925:27721:928:288 55571:16436:948:288 61883:21207:928:288 55736:25991:928:275 55901:22504:948:288 54911:31207:928:288 56809:10787:928:288 59738:19463:948:288
even	58150:10865:1175:209
yoga,"	59738:10787:1732:353
she	61925:16868:866:288 61883:10787:866:288 58170:19031:866:288 58459:12989:845:275 59284:22072:866:288 53467:22950:866:288 59367:13854:845:275 62048:31640:866:275 59057:27288:845:288 53426:14260:845:288 53550:31666:845:275
recalled.	53426:11219:2207:288
no	53942:11678:680:262 59387:30840:577:209
one	54829:11743:887:209 60109:30840:866:209
was	58253:30840:969:209 60666:22150:990:209 57634:30408:969:209 55901:11743:990:209
as	62255:25191:556:209 57118:11743:536:209 55076:12176:556:196
moved	57902:11665:1691:288
by	61099:32505:598:353 57118:16868:577:353 53508:22072:618:353 59821:11665:598:353
louise's	60625:11652:2104:301
story	53405:12123:1299:327
her	58707:32518:866:275 55736:27288:845:288 56087:13840:804:288 54251:21207:825:275 58604:21639:866:288 57448:29477:845:275 61986:22937:825:288 58273:18166:866:288 56025:12110:845:275
daughter	57221:12110:2310:340
laurie.	59924:12110:1856:275
"i	62337:27288:515:288 53570:29923:515:262 62213:12097:495:275 60666:19031:515:275 56458:18598:515:275
have	53405:12530:1217:275
never	54952:12608:1443:209 55489:13487:1402:209
heard	56706:12543:1464:288
my	54272:19542:804:275 58500:12635:804:262 53467:16934:804:275 62048:30408:804:275
mom	59635:12622:1299:196
speak	61244:12530:1485:366
before	53426:12949:1608:301
a	58727:32164:288:196 62502:18677:288:196 59284:28232:268:209 58562:13500:247:196 61430:33029:268:196 55406:13054:268:196
group,"	56087:12975:1959:353
said.	59202:28586:1175:288 59222:19031:1196:275 59676:12975:1196:288 54829:31640:1155:288
while	53508:26423:1382:288 61285:12975:1423:275
laurie	53426:13395:1691:288 58253:15584:1691:262
had	57263:13408:928:288
drinking	59181:13408:2186:353
problem	53447:13827:1217:288 61718:13487:783:275
like	59656:22504:1113:288 54932:13840:928:275
mother,	57139:13854:1980:327
said	60439:13840:1031:288
that	56108:31220:1010:275 61718:13840:1010:288 56190:32964:1031:288 57758:22072:1010:288 55406:27734:1010:275
suffered	54725:14273:2083:275
from	57283:14286:1196:275
similar	58934:14286:1856:275
social	61244:14273:1464:288
pressures.	53447:14771:2599:275
instead	53983:15125:1877:288
of	54952:27288:453:288 60295:25991:495:275 53508:25991:474:288 53508:21207:474:288 56025:15151:495:262 61491:18166:495:288
becoming	56685:15138:2475:353
dependent	59346:15138:2619:353 58789:24680:2867:366
on	62213:24759:598:209 62152:15217:577:196
alcohol,	53447:15558:1959:353 59470:27721:1959:340
however,	55654:15571:2330:340 54024:24261:2392:340
"went	60192:15584:1526:275
the	54045:29045:990:275 56149:19909:763:275 54024:20328:948:288 53550:29477:763:275 61966:15571:783:288 60171:29897:763:288
overachiever	53467:16003:3362:275
route.	57345:16029:1464:249
with	58438:21207:1072:288 59325:16003:1175:288
school,	60976:16003:1753:340
friends,	53467:16423:1939:353
work,	56644:16436:1423:340
i	61161:30762:165:288 58521:25571:185:262 58934:31207:185:275 58253:16449:185:275 53508:19909:185:262 59532:18598:206:275
tried	58583:16436:1217:288
to	59944:16462:453:262 57263:22963:453:275 54932:18179:453:275
alleviate	60522:16436:2248:288
problems	57077:23382:2784:353 54499:16868:2392:353
achievement,"	57923:16868:3754:340
explained.	53467:17301:2619:353
laurie's	54003:17733:2124:275
successes	56334:17799:2475:222
were	56747:28232:1402:209 59037:17799:1258:209
not	60501:17746:763:275
sufficient	61471:17733:1134:288 53467:18166:1258:288
overcome	55592:18244:2516:209
feelings	59325:18166:1980:353
inadequacy.	53488:18585:2599:366 62152:18166:453:288
thought	57304:18598:1918:353 60873:19463:1939:353
must	60047:18611:1258:275 53921:19909:1258:275
be	55386:19896:577:288 61636:18598:577:275
horrible	53488:19018:2042:288
person,"	55736:19031:2207:353
noticed	61388:19031:1196:288 53488:19450:598:288
mom's	55282:19463:1712:288
drinking,	57221:19463:2289:353
cause."	57118:19909:1939:275
final	55324:20328:1113:288
speaker,	56788:20342:2186:353
another	59325:20342:1980:288
yale	61636:20342:1175:275
undergraduate	53508:20761:3816:353
named	57510:20761:1732:301
kathy,	59449:20774:1691:353
spoke	61347:20774:1464:353
experience	55365:21207:2784:366
alcohol	59779:21207:1815:288
drugs.	53508:21639:1567:353
kathy	61265:24247:1547:353 57448:28599:1547:353 55282:21639:1505:366 59759:29018:1567:366 54086:32544:1547:340 55736:25126:1526:353
began	53570:32099:1505:340 56953:21639:1526:353
presentation	59614:21639:3197:366
admitting	54643:22072:2557:366
an	53508:25637:598:196 62193:22150:618:196 56995:22583:598:209
alcoholic	53488:22504:2248:288
addict.	57737:22504:1732:288
laurie,	60934:22504:1856:340 58934:24261:1835:327
attempted	54499:22937:2619:366
compensate	57902:22963:3052:340
for	58851:29032:742:275 61099:22937:721:301
emotional	53488:23382:2970:288
through	57943:29897:2000:353 60481:23382:2330:353
overachievement.	53488:23815:4579:288
unlike	56912:24261:1567:275
became	60873:26856:1980:288 53508:24680:2124:288
heavily	56190:24693:2062:353
alcohol.	53488:25126:1959:288
described	57531:25113:2495:288
herself	60254:25113:1794:288
"angry	54313:25571:1794:340
drinker.	56273:25558:2042:275
committed	58851:25545:2784:288
acts	61780:25571:1031:262
rage	54292:26056:1134:288
lost	56995:26004:907:275
control	58191:25991:1794:288
myself	61099:25978:1732:366
drinking."	55076:26423:2661:353
at	58026:32099:515:262 54024:26869:577:275
yale,	54952:26856:1320:353
drug	56644:26856:1175:353
addiction	58129:26856:2392:288
part	53529:27314:1072:327
illness,	56933:27288:1774:340
stated.	60233:27288:1691:288
found	53550:27734:1402:275
cocaine,	56891:27734:2083:327
valium	53550:28166:2062:275
perfect	60708:28153:2165:366
combination,"	53529:28599:3692:353
breakthrough	55179:29032:3506:353
came	61491:29097:1402:209
june	54540:29477:1237:275
after	55984:29477:1237:275
sophomore	58500:29464:2826:353
year.	61553:29530:1299:288
started	54313:29897:1835:301
going	56334:29910:1382:340
shakes	61120:29897:1753:288
because	53570:30342:2021:288
there	56582:30775:1505:275 55963:30342:1320:275
nothing	58995:30329:1877:353
in	61244:30329:453:288
apartment.	53550:30801:2846:327
could	61512:30762:1402:288
call,	53550:31207:1052:353
night	57386:31207:1299:353
stood	59387:31194:1361:288
alone,"	60976:31194:1939:340
three	56458:31653:1505:275
weeks	58397:31640:1567:275
later	60398:31640:1217:275
treatment	55282:32112:2557:262
hospital.	59243:32072:2186:353
concluded	55881:32518:2578:288
talk	59841:32505:990:288
emphasizing	53570:32964:2413:353 61966:32584:660:196
"alcoholism	57448:32950:3114:288
is	60790:32950:412:275
progressive	61904:33016:804:275 53570:33396:2145:340
but	56273:33396:783:275
treatable	57613:33383:2372:288
disease."	60522:33370:2434:288
yale	47011:19372:1175:262 49300:18546:866:170
dally	50311:18546:990:209
news	51466:18546:1010:183
sobering	43236:18926:3052:275
—	46495:19070:536:52
noreen	47217:18939:1815:262
roth,	49342:18926:1361:301
chairwoman	50992:18926:1340:275 43236:19450:1835:183
of	50847:19804:474:262 45298:19372:495:275
the	48475:20669:783:262 46660:19804:783:262 46000:19372:763:275
college	48413:19372:1877:327
council,	50517:19372:2042:288
was	43256:19870:969:196
among	44597:19870:1691:275
organizers	47774:19804:2722:340
last	51673:19804:907:262
night's	43236:20237:1897:340
student	45711:20237:2062:275
life	48331:20237:866:262
forum	49775:20237:1629:262
on	51982:20302:577:196
alcoholism	43256:20669:2743:275
held	46330:20669:1072:275
in	47733:20669:433:262
stiles	49589:20669:1361:275
common	43277:21180:1052:196 51260:20669:1010:275
room-	44577:21115:1629:262
yale	47011:19372:1175:262 49300:18546:866:170
dally	50311:18546:990:209
news	51466:18546:1010:183
sobering	43236:18926:3052:275
—	46495:19070:536:52
noreen	47217:18939:1815:262
roth,	49342:18926:1361:301
chairwoman	50992:18926:1340:275 43236:19450:1835:183
of	50847:19804:474:262 45298:19372:495:275
the	48475:20669:783:262 46660:19804:783:262 46000:19372:763:275
college	48413:19372:1877:327
council,	50517:19372:2042:288
was	43256:19870:969:196
among	44597:19870:1691:275
organizers	47774:19804:2722:340
last	51673:19804:907:262
night's	43236:20237:1897:340
student	45711:20237:2062:275
life	48331:20237:866:262
forum	49775:20237:1629:262
on	51982:20302:577:196
alcoholism	43256:20669:2743:275
held	46330:20669:1072:275
in	47733:20669:433:262
stiles	49589:20669:1361:275
common	43277:21180:1052:196 51260:20669:1010:275
room-	44577:21115:1629:262
yale	33355:28075:3857:1087
students	37811:28062:7467:1087
receive	45897:28009:6085:1087
marshall	33025:29634:8168:1114
scholarships	41400:29595:11221:1350
by	33252:31338:660:314
timothy	34139:31338:2743:262
davidson	37109:31338:2970:262
"it's	33788:31758:1155:288
nice	35170:31771:1031:275
to	35253:48404:453:249 36428:31771:453:275 35665:40959:474:275 42122:43135:474:262 37707:44445:453:275 41689:41391:453:262 41235:44000:474:275 39667:48810:474:262 35645:40526:474:262 33252:32217:453:262 38636:34405:474:262 34985:46228:453:249 33252:45782:453:262
have	40286:40068:1196:275 35108:39635:1217:275 37109:31771:1175:262
two	38512:31771:887:275 37625:46215:887:249
more	39626:31836:1340:209
years	38863:46241:1423:288 39151:39255:1402:275 41152:31836:1423:275
hide	33932:32203:1093:275
from	34861:38324:1237:275 35273:32203:1217:275
the	33231:38757:948:275 41833:40068:763:262 40286:37433:783:275 36676:41391:763:275 37315:37879:783:275 36759:32203:763:275 38739:32649:783:275 39791:41811:763:288 37357:33095:804:262
world,"	37769:32190:1939:340
said	39976:32190:1031:288 39399:42676:1031:288
andy	41255:32190:1299:353
schapiro	33190:32675:2289:340 33747:34405:2269:353
'85,	35789:32662:783:314 39378:47041:783:340
one	36882:32728:866:209
of	36346:33095:495:275 35418:35284:453:275 37584:36555:495:288 38017:32649:474:275
three	39811:32636:1320:288
yale	41400:32636:1196:275
recipients	33211:33108:2640:353
1985	38718:33095:1010:262
marshall	37006:47473:2289:288 40224:33068:2372:288
scholarship,	39461:47473:3114:353 33211:33527:3197:353
which	40533:36555:1485:275 36573:33514:1526:288
awards	38264:33501:1897:288
funds	40327:33501:1382:288
for	36346:37879:742:275 41895:33501:701:288
study	33211:33973:1402:353 38367:44432:1382:353 39337:34379:1402:353 40430:48784:1382:353
at	42122:48810:474:262 40987:34392:495:275 34819:33986:495:262 39976:44445:474:275
a	37976:40592:288:196 42328:35310:268:209 35521:34038:268:209 39193:36201:268:196 36614:46700:288:209 36552:47578:288:196 42287:41457:288:196
british	40843:41811:1753:275 36037:33960:1753:288
university.	37996:33947:2764:353
selected	36284:34379:2083:301
oxford	41750:34379:577:275 36098:36122:1774:275 33231:34851:1052:288 40843:45297:1753:288
university,	34510:34838:2887:340
because	37646:34825:2042:275
"the	39976:34812:1093:288
large	41297:34812:1299:340
number	33252:35284:2000:288
foreign	36057:35270:1815:340
students	38037:35257:2124:288 36119:37433:2145:288
gives	40327:35244:1340:366
it	41833:35244:330:288
cosmopolitan	33231:35677:3424:366
atmosphere."	36882:35677:3548:366
he	35480:44878:598:275 40678:35690:680:275 38306:45310:680:275
also	41565:35677:1031:288 34840:44445:1010:275 33252:47512:1031:275
noted	33231:36122:1402:288
that	40657:38744:1010:275 34840:36122:1031:288 34840:43567:990:288
has	38099:36122:866:275
strong	39729:36136:1608:340
program	41565:36188:783:288 33231:36620:1382:288
in	34799:36568:474:275 40863:40946:453:275
his	35418:36555:721:288
field	36305:36555:1155:275
interest,	38223:36568:2104:327
is	42204:36555:391:275
philosophy,	33231:37001:2908:353
politics	36367:37001:1856:340
and	38986:40054:948:288 38409:36987:948:288 35418:44000:928:288 35583:41391:907:275
economics.	39543:37001:2826:275
over	33767:37459:1237:262
800	35191:37472:783:249
across	38429:37512:1670:196
country	33231:37892:742:340 41214:37512:1113:209
applied	34242:37879:1877:353
coveted	38326:37853:1980:301
scholarships	40533:37866:1815:288 33231:38324:1299:340
five	36428:38311:969:275
regional	37707:38298:2083:353
locations.	40141:38298:2434:288
only	34345:38757:1072:340
requirements	35603:38757:3444:353
were	39234:38822:1237:196
applicants	33231:39203:2021:353 41812:38822:536:275
must	35645:39216:1278:249
be	37336:39189:577:275 34077:45756:577:275
25	38264:39216:515:249
old	40946:39176:763:288
or	42081:39255:515:196
under,	33231:39635:1608:327
earned	36532:39622:1774:288
their	38491:39635:1237:275 36325:40946:1237:288
bachelor's	39956:39622:2640:275
degree	33231:40081:1753:340
with	35315:40068:1113:288
honors,	36779:40068:1856:327
capacity	33231:40513:2186:353
make	36346:40513:1423:275
worthwhile	38491:40487:2867:419
contribution	33252:40946:2207:288 41565:40579:783:196
community	37728:40946:2929:340
both	41503:40933:1093:288
england	33252:41391:2165:340
u.s.,	37604:41391:1217:327
according	38986:41378:2537:340
press	33252:41903:1361:275
release	34881:41824:1877:288
issued	37027:41824:1608:275
by	38924:41824:598:340
embassy.	33252:42256:2537:353
"i	33809:42702:474:275 35046:47945:495:262
was	39894:48430:990:196 36098:48010:948:196 39048:43200:969:196 34716:42768:990:209 41606:47106:990:209
delighted,"	36098:42689:2887:353
martin	40863:42689:1732:275
stone,	33252:43135:1547:340
law	35191:43135:1093:275
'85.	36717:43135:763:288
"it	37934:43135:721:275
great	40410:43135:1340:327
know	33252:43567:1320:288
i	39585:48364:165:262 42411:47919:185:275 36078:43567:165:288 39502:44000:165:275
could	36490:43567:1361:288
continue	38058:43567:2165:275 35872:48377:2165:275
reading,	40451:43541:2124:353
writing,	33252:44013:2000:353
doing	36532:44000:1382:353
what	38079:44000:1217:288 38161:48364:1237:262
want	39811:44000:1258:275
do.	41854:43987:701:288
stone	33252:44445:1382:275
chose	36098:44445:1402:275 37955:48797:1423:288
oxford,	40657:44419:1918:327
where	33252:44891:1650:262
will	36614:44878:990:275
concentrate	38161:44878:3279:275
on	41977:44943:618:196
english	33252:45324:1959:340
literature.	35438:45324:2599:275
found	39193:45297:1443:288
"a	35067:45769:577:262
particularly	36037:45743:3052:366
comfortable	39481:45730:3114:288
place	33252:46202:1361:340
spend	35789:46189:1464:353
reading	40657:46162:1939:353
literature	33252:46634:2495:275
—	35933:46778:474:39 41709:48063:495:39
good	37109:46608:1175:353
community."	38491:46608:3424:353
jonathan	33767:47067:2372:275
cummings	34881:48810:2764:327 36367:47054:2764:340
who	40410:47041:1010:288
granted	34407:47486:2000:353
said,	33252:47945:1196:327
really	37625:47919:1485:353
excited	39646:47906:1856:288
wanted	33252:48377:1856:288
studying."	33252:48823:1299:340 41049:48338:1299:366
the	47134:39674:783:288 43916:44052:969:275 50703:38809:783:275 43380:31325:783:275 44453:33055:804:288 47856:42296:783:288 47031:39242:969:275 51961:45350:783:288 51961:35664:763:288 43401:40120:783:275 48290:41863:763:301 46351:35677:804:275 43937:37931:948:275
london	44515:31312:1856:288
school	46722:31312:1629:288
of	51466:40120:474:275 48702:31312:474:275 45216:44485:495:275 46681:48417:474:275 49094:36096:515:288 50352:44930:474:275 47464:37918:474:288
politics	49507:31312:1897:275
and	50703:40985:948:288 45319:41418:928:288 45175:42741:948:275 51776:31299:907:288 47464:46660:928:275 51817:46228:928:275 45133:40553:948:275 51817:36529:907:288 48558:34353:928:288 51796:33475:928:275 51776:32164:928:288
economics,	43380:31758:2970:314
which	46804:31745:1464:275 43380:33488:1505:301 43380:32623:1485:275
he	45154:32623:556:275 48681:31745:577:275
had	47506:36974:928:288 49651:31745:928:275 50909:35664:907:288
visited	51012:31732:1691:288
during	51074:47106:1670:353 43380:32190:1670:340
his	45319:32190:680:275
junior	46268:32190:1650:275
year	48166:32256:1134:275 43380:35310:1155:275
abroad,	49548:32177:1939:327
found	45959:32610:1423:288
to	52271:43200:453:262 51033:41889:453:262 43380:43200:474:249 49981:38822:474:262 44989:48862:453:275 47629:32636:474:262
be	48351:32610:598:288
"the	49197:32623:1113:275
best	50559:32610:1031:275
one	51838:32688:887:196
for	48991:48417:721:288 52044:39674:701:288 43380:33055:721:275 46907:45363:721:275 47279:47106:742:275 50517:37931:721:275 50394:39242:742:288
program	45629:33108:2248:301
i	51487:48417:185:288 48269:33055:144:262
am	51941:48495:804:209 48805:33121:825:196
studying,"	50002:33029:2681:366
is	45237:33488:391:275
russian	46000:33488:2021:275
government	48372:33501:3094:327
politics.	43401:33934:1980:353
seventeen	43916:34379:2599:262
men	47011:34445:1072:196
13	49981:34379:474:262
women	50909:34432:1815:196
secured	43380:34799:2000:288
marshall	45690:34799:2289:275 51507:37931:928:275 50229:36096:2495:288 43401:38364:1217:275 43401:44917:2310:288 43401:45795:2289:275
scholarships	48290:34799:3217:340 45113:38364:3279:353
this	51817:34785:907:288
from	43401:38796:1237:288 45072:35244:1196:275
23	46804:35244:495:262
different	47794:35231:2227:275
colleges,	50517:35218:2207:353
throughout	43401:35677:2805:353
u.s.	47877:45363:1052:288 47299:35677:1052:275 46103:44498:1052:275
harvard	48537:35664:2207:288
greatest	43380:36122:2372:340
number	46351:36109:2165:275 45175:37918:2000:288
scholars	43380:36542:2165:288
with	45979:36542:1093:275 50786:47984:1093:288
4,	47547:36568:391:301
while	48393:36542:1382:275
yale	50208:36542:1175:275
princeton	43401:36974:2516:288
each	46124:36974:1175:288
3.	48640:36987:371:275
winners	50641:41444:2083:262 48186:37931:2042:275
has	48908:38364:866:275
increased	50270:38351:2475:288
an	52147:48050:598:222 46619:45009:639:196 44907:38875:598:209 43380:42374:598:196
original	45773:38796:1980:353
twelve	48063:38796:1670:288
current	51714:38875:783:209 43380:39268:1052:249
thirty.	44948:39242:1567:353
rules	48496:39242:1423:288
candidates	43401:39674:1835:288 51611:39242:866:275
state	45567:39701:1237:262
qualifications	48207:39687:3527:340
scholarship	45360:44052:2970:353 44350:40120:2991:340
as	47506:40199:556:196 45897:44996:556:209
"distinction	48290:40120:2991:275
intellect	52106:40120:433:275 43401:40553:1588:275
character	46227:40553:2537:288
evidenced	48929:40553:2557:288
both	51652:40553:1072:275
by	43401:40985:598:353
scholastic	44370:40985:2537:288
attainments	47279:40998:3073:275
activities	43401:41431:1774:288 52003:41064:495:209
achievements."	46412:41431:4063:275
must	46268:42768:1278:249 43401:41889:1258:249
demonstrate	44865:41863:3238:275
ability	49218:41863:1650:353
play	51673:41863:1072:353
active	44205:42309:1567:262
role	45979:42309:990:262
at	47155:42322:495:262
university	48846:42309:2599:340
they	51652:42309:1072:340
attend	43380:42728:1629:288
"display	47733:42741:2165:353
a	45629:43253:268:196 50064:42820:268:196
potential	50497:42741:2227:353
make	44040:43174:1423:275
significant	46082:43174:2743:353
contribution	48970:43174:3135:288
their	43380:43620:1237:275
own	44803:43698:1031:196
society."	46020:43620:2330:353
was	48785:44131:990:196
begun	50290:44052:1526:353
in	52271:44052:453:275
honor	43401:44485:1443:275
general	47568:44498:2042:275
george	50002:44498:1856:340
c.	52229:44485:495:275
expression	47423:44930:2722:340
british	51012:44917:1712:275
appreciation	43380:45363:3259:340
aid	49218:45363:763:275
under	50229:45363:1485:275
plan,	45897:45795:1361:327
following	47444:45795:2330:340
world	49960:45782:1505:288
war	51693:45795:1052:275
11.	43421:46228:536:275
it	44350:46228:371:275
covers	45072:46307:1650:196
all	47052:46228:639:275
tuition,	48042:46228:1794:327
room	50167:46307:1320:209
boarding	43401:46660:2269:353
costs,	45835:46674:1423:314
also	48537:46660:990:288
includes	49713:46660:2104:288
additional	51961:46660:536:288 43380:47106:1939:275
funds	45629:47093:1382:288
travelling	48290:47106:2495:340
vacations.	43401:47539:2599:275
"i'm	43958:47971:1175:288
going	45443:47984:1361:340 43401:48849:1382:327
[to	47155:47984:680:288
england]	48083:47984:2392:340
open	43401:48482:1175:275
frame	44865:48417:1547:275
mind	47423:48417:1320:275
what	50002:48417:1217:288
discover,"	45670:48849:2661:327
stone	48558:48849:1402:288
said.	50167:48849:1196:288
dean	33499:50370:4352:865
enforces	38594:50304:6972:878
official	46371:50278:5940:904
postering	33499:51654:7735:1114
regulations	41977:51654:9282:1114
by	33437:53227:660:301
richard	34324:53201:2702:275
meyer	37254:53201:2207:249
not	40616:59715:763:262 36655:54066:866:262 33953:53646:887:275 41957:55363:783:262
on	34985:53712:577:209 37749:54131:577:196 33396:54158:577:196 33932:58876:680:262
any	36944:55875:928:262 41833:54118:907:262 35727:53699:907:275 38821:54551:907:275 33871:61917:990:327
fence,	36800:53620:1505:314
sidewalk,	38491:53594:2413:340
or	41070:53686:515:196 38017:54551:536:209
tree	41750:53633:990:249
campus.	34221:54131:2145:288
the	41235:61013:783:275 40802:61878:783:275 35376:63621:763:262 38285:58837:783:275 38574:54040:763:275
walls	39564:54040:1340:275
of	40224:57526:474:275 37749:56648:474:288 39358:63608:453:262 38141:55783:474:275 35748:63188:453:275 38986:57959:474:275 34634:62323:453:288 41132:54040:474:275
campus	33396:54577:2021:288
building	35686:54485:2083:340
residential	40018:54459:2722:288
college.	33396:54944:1959:340
according	39502:62310:2537:353 35541:54918:2619:340
to	35851:60174:433:249 42246:62336:453:262 38326:54931:453:262
undergraduate	36697:60134:3836:340 38966:54905:3774:340 38223:59256:4496:340
poster	38409:56674:1567:327 35067:61904:1567:340 33417:55390:1567:340
regulations,	35232:55363:3052:340
posters	38512:55363:1856:327 38471:59715:1835:327 34819:61471:1856:340
may	40637:55416:1093:262
be	38017:61445:577:275 36800:60580:577:275 33417:55822:556:275
placed	34263:55796:1670:366
at	36222:55809:453:262
these	38883:55783:1340:275
locations	40472:55770:2269:288
but,	33417:56255:928:327
more	34613:56307:1299:209
often	36119:56229:1258:288
than	37604:56229:1113:262
not,	38924:56242:928:301
they	40100:56215:1072:340
are.	41379:56294:969:196
"the	33953:56674:1278:288
problem	35438:56661:2083:366
overkill	40183:56648:1959:288
is	42349:56661:371:262 36985:62310:371:275
one	33376:57198:887:209
that	34716:57107:1010:288 37150:59715:1010:262 36800:61878:1010:288
has	36160:57107:845:275
existed	37439:57080:1835:288
for	40265:61013:721:262 39729:57094:721:275
several	40863:57094:1856:275
years.	33376:57618:1588:288
but	35315:57552:866:262
now	36490:57618:990:196
it,is	37811:57526:1031:301
out	39151:57539:742:262
hand,"	40987:57526:1732:327
said	33376:57985:1072:288
assistant	34737:57972:2372:288
dean	37377:57972:1320:262
student	39750:57959:1939:275
affairs	41998:57972:495:262 33396:58431:1175:275
david	34799:58404:1526:288
mills.	36532:58404:1402:275
february	34799:58837:2454:353
14,	37480:58850:577:301
dean's	39275:58837:1732:262
office	41214:58837:1526:275
informed	33376:59282:2743:288
all	36800:59269:721:275
organizations	33376:61026:3465:353 33376:59715:3465:353
conforming	33376:60161:2062:340 41689:59781:804:196
regulations	33376:60619:1299:262 40925:60134:1547:340
will	35253:60580:928:288 36882:61445:928:288
torn	37934:60580:1113:262
down,	39605:60567:1567:314
and	41771:60580:948:275
responsible	37109:60999:2908:353
illegal	42266:61013:330:275 33396:61471:1217:353
fined.	38801:61432:1402:288
advertises	37976:61878:2661:275
serving	33376:62363:1052:314 41730:61956:742:196
liquor	35294:62323:1485:340
illegal,	37563:62310:1732:340
yale's	33355:62756:1856:288
postering	35768:62756:2764:340 36449:63188:2392:340
regulations.	39069:62743:3589:340
because	33355:63228:2104:249
violations,	39110:63175:2661:314
including	33334:63621:1877:314 42060:63188:412:262
advertising	36284:63608:2908:327
liquor,	39976:63595:1629:340
two	41792:63621:887:262
