fall	1821:49456:954:301
tucker,	11525:47422:1954:331
vaill,	3442:47919:1421:361
whitelaw,	7106:47904:2598:346
williams,	11037:47889:2442:346
yaggy,	4774:48401:1821:346
jr.	6951:48386:644:361
german	2442:63500:1954:316
workers	4752:63515:2043:301
excavating	7150:63500:2731:346
for	10237:63500:732:286
a	8216:64073:266:195 11325:63606:288:180
br'dge	11925:63500:1598:346
in	1843:63982:444:301
heidelberg	2531:63967:2775:361
unearthed	5507:63982:2487:301
roman	8705:63982:1821:286
brick	10726:63967:1288:301
oven.	12258:64073:1243:210
yale	14257:2230:1598:286
tennis	16211:2245:2176:286
team	18765:2260:1754:301
enters	20853:2275:2354:286
cornell	15523:2712:2887:301
indoor	18721:2742:2465:286
tournament	21497:2742:4397:286
three	16189:7489:1265:316 14812:3661:1487:301
members	16678:3691:2198:301
of	21830:5620:466:286 22829:11331:488:301 19254:3706:488:286 24384:6570:488:301 14257:6555:466:286
the	19276:4174:755:301 20075:3706:777:286 23939:8966:755:286 18387:5605:732:301 21075:10397:755:271 25183:6570:755:301 20186:5153:977:286 14257:9900:732:271 21474:10864:755:286 15012:6555:777:286
university	14235:6072:1709:346 21208:3706:2664:361 24761:5620:866:286
tennis	24250:3706:1665:286 16367:4641:1687:286
team	14235:4159:1443:286
will	20719:7519:932:301 22452:9418:932:316 15945:4159:932:286 20497:8950:932:286
play	17188:4159:1043:346 21763:8950:1043:361
in	20231:10382:444:271 19342:9900:532:286 18543:4174:444:286
second	20364:4189:1598:301
intercollegiate	22296:4189:3619:346
indoor	14235:4641:1709:286
tournament	23073:9960:2864:241 18521:4656:3109:301
held	15323:5590:999:286 22030:4656:1043:301
at	23473:4716:466:241
ithaca	24384:4656:1554:301
today	14235:5123:1354:331
and	16322:6072:866:286 17788:8483:888:271 19986:6570:866:301 17099:8950:888:286 15856:5123:866:286 19365:9433:866:286
tomorrow.	17011:5153:2620:271
torunament	21430:5183:2864:256
is	24561:5153:377:286
being	14235:5590:755:346 25183:5153:510:286
under	16655:5605:1421:286
auspices	19453:5620:2020:361
cornell	22607:5620:1843:301 17788:10849:1843:301
has	17610:6072:799:301
attracted	18809:6102:2220:286
stars	21452:6148:1154:241
from	23007:6102:1221:286
many	24583:6193:1354:256
large	16078:6539:1288:361
colleges	17699:6570:1954:346
universities	21186:6570:2842:301
east.	14279:7022:1221:301
-the	14590:7489:1221:301
men	17877:7609:999:195
who	19276:7519:1043:301
represent	22074:7564:2309:316
vale	24761:7519:1177:301 14257:10352:1154:301
are	14235:8076:755:195
captain	14257:8935:888:301 15301:7971:1909:346 24761:8483:888:346
w.	19898:8483:755:286 17499:7986:732:286
mcc.	18543:7986:1332:316
reed,	20186:8001:1354:346
1928,	21852:8001:1199:346
]'.	23340:7896:399:467
h.	24028:8001:621:301
pitman,	24983:8001:732:301 14257:8559:1154:256
19305,	15811:8453:1598:361
s.	19076:8468:444:301
mears,	21075:8483:1687:331
1930.	23184:8483:1177:286
reed	15545:8920:1199:301
pitman	17188:9403:1843:301 18343:8935:1798:301
in;	23162:8950:510:391
singles	25028:8950:688:286 22496:10849:1665:361 14235:9403:977:361
while	15545:9403:1310:301 19875:10849:1354:301
mears	20586:9433:1554:286
'make	23651:9387:1376:346
up	19231:10472:577:256 25361:9523:555:256
doubles	22185:10382:1865:286 15301:9885:1843:286
team.	17433:9930:1310:256
last	20164:9900:888:286
year's	21319:9900:1465:346
was	16611:11407:954:210 15811:10457:932:195
runner	17166:10472:1665:180
which	24450:10382:1465:286
were	14257:10940:1199:195
won	17877:11422:1021:195 15700:10940:1021:195
by	19187:11316:577:346 16944:10834:599:346
championship	24428:10864:1221:286 14257:11316:2043:346
whitbeck	20097:11316:2442:316
harvard.	23629:11331:2287:301
yale	14279:12266:1621:346
basketball	16256:12266:4152:361
quintet	20764:12281:2820:406
will	16833:12748:1598:361
face	18743:12748:1621:361
harvard	20653:12733:3197:391
team	24162:12748:1754:376
university	14279:13727:2731:331
five	17322:13727:1132:286
to	18743:13788:510:226
meet	19565:13727:1288:286
crimson	21186:13727:2242:286
'in	23673:13727:555:286
gym	24517:13742:1221:331
tomorrow	14590:14210:2864:271
at	17766:14270:510:210
8:15—1931	18565:14225:3242:271
will	22185:14225:1088:271
oppose	23584:14225:1998:346
harvard	16411:14692:2242:286
freshman	19054:14692:2642:286
team.	22141:14707:1621:286
in	22762:17992:466:301 17588:21789:421:301 14856:15626:532:271 20875:16575:532:301 15723:27048:444:301
the	23762:21804:755:301 14301:21819:732:286 15745:15626:755:286 22496:19906:732:301 14323:21337:732:286 18454:24667:732:286 14279:16575:732:286 19076:28962:755:301 17122:20388:755:286 17388:17058:755:286 16078:19423:755:286 18165:28480:755:301 14323:24200:732:286 14879:29926:977:271 16544:17992:755:301 14879:28495:977:286 25227:15641:732:301 21230:23718:755:286
gymnasium	16855:15626:2864:346
tomorrow	16988:24245:2509:241 20097:15686:2509:241
at	15989:17103:466:226 22962:15686:444:241 25561:20900:421:241
8:15	23762:15626:1088:301
university	24850:21804:866:301 14301:16093:2664:361 14301:22287:1709:346
basketball	17366:16108:2598:286 24184:26581:1554:286 14301:27063:888:286
team	23873:23718:1199:286 19409:19438:1465:286 20408:16123:1443:271 21719:28480:1421:301
will	18809:23703:932:301 18365:29911:932:286 14301:17525:910:286 22229:16108:910:286
encounter	23540:16169:2420:241
harvard	21008:17058:2198:331 19231:28480:2154:301 15434:16575:2176:301 18943:19906:2198:301
quintet.	18321:16575:1843:361
a	24028:22859:288:180 16744:28103:266:195 17455:29535:244:180 23229:22377:244:195 22096:16681:266:195
preliminary	23029:16590:2909:346
game,	14279:17133:1421:271
7,	16722:17043:377:346
vale	18432:17058:1132:301
and	14279:23236:888:301 19409:27531:866:286 15989:20388:866:286 21186:25617:866:301 19853:17058:866:301
freshmen	23495:17058:2465:301
clash.	15523:17525:1376:271
after	22696:27531:1177:286 14879:17992:1332:301
elis'	17655:17992:1088:301
fine	19120:17992:866:301
showing	20364:18007:2065:361
their	16655:27048:1177:301 23540:18007:1177:301 22118:20855:1177:286
victory	14301:18534:999:286 25050:18007:688:301
over	15678:18564:1065:210
dartmouth,	14301:24667:1687:346 24606:24200:1132:271 17943:21337:2909:346 17144:18474:2887:346
wednesday,	20408:18474:3042:361
are	25205:18580:755:195 20209:20478:799:195
favored	14301:18956:1887:286
to	23073:22799:466:241 16500:19001:466:226 24139:20433:444:241 18143:19951:466:241 19542:26144:488:241 15922:28058:488:241
win	17277:18956:910:286
this	18499:18956:888:286
meet,	19720:19001:1288:301
as	21319:19047:488:195 21186:21428:488:195 20408:30017:488:180
dartmouth	22141:18971:2775:271
defeated	25227:18971:510:271 14279:19438:1510:271
crimson	17099:19423:1998:331
44-31.	21119:19438:1443:286
vale,	23162:19438:1288:346
however,	14301:19981:1177:271 24739:19438:932:271
has	15811:19906:799:286
lost	16966:19891:866:301
for	21452:19906:710:301
last	23540:19906:888:301 18321:27063:888:286
three	24717:19906:1265:301
years,	14279:20433:1465:301
visitors	18121:20373:1843:301
considered	21252:20388:2620:286
have	24872:20388:1110:286
improved	14323:20855:2309:361
considerably	17011:20855:3153:361
since	20542:20855:1221:301
defeat	23673:20855:1510:286
hands	15389:21337:1399:286
of	17122:21337:466:286 18321:28947:488:316 16389:22287:488:286 17410:28480:466:301 25561:22287:444:286
is	15500:29444:355:286 15612:28962:377:301 23451:28465:355:301 22007:21322:355:301
evidenced	22718:21307:2398:316
by	25427:21337:599:346 22229:22287:577:346
manner	15367:21895:1865:210
which	18343:21804:1487:301
they	20164:21804:1021:346
crushed	21519:21804:1932:301
maine,	17322:22241:1665:391
saturday,	19431:22256:2398:376
score	23873:22377:1265:195
52-25.	14346:22754:1399:301
all	15856:27531:577:286 16589:22754:755:286
these	17855:22769:1265:286 16544:26581:1598:286
facts	19631:22769:1154:271
point	21319:22754:1265:361
close	24806:22769:1221:271
interesting	15545:23221:2664:376
battle.	18565:23236:1532:301
coach	14879:23703:1510:316
taylor	16744:23703:1732:361
put	20097:23763:799:301
same	22318:23808:1243:195
on	25427:23808:577:195
floor	15478:24200:1132:286
night	19898:24200:1288:346
that	21563:24200:977:271
faced	22940:24200:1265:286
because	16256:24667:1909:286
combination	19476:24652:3064:301
j.	15878:25617:399:346 22807:24667:399:361
l.	23517:24667:488:286 17210:25150:488:286
townsend,	14323:25150:1177:346 24339:24667:1332:286
1930,	20964:25135:1177:346 15767:25150:1199:331
e.	17943:25150:532:286
nassau,	18743:25135:1932:346
a.	22385:25135:599:301
h.	23229:25135:621:301
bryant,	24117:25150:1843:346
1928,	14346:25617:1177:346
w.	16633:25617:777:301
cook,	17810:25617:1399:346
1929,	19631:25617:1265:346
a.'	22407:25496:599:406
e.'-nanry,	23340:25481:2642:482
19305,	14368:26114:1532:331
was	16367:26204:932:180
found	17721:26099:1421:286
work	20475:26099:1310:286
excellently	22185:26099:2687:361
together.	14279:26581:1709:361 25316:26144:466:241
men	18521:26672:1021:195
played	19875:26581:1621:346
brilliant	21807:26566:2043:316
game.	19698:27154:1443:241
shooting	21985:27033:2242:361
goals	24717:27048:1288:346
from	14279:27531:1177:301
distances	16789:27531:2242:301
angles,	20630:27531:1687:346
getting	24206:27531:1776:346
away	14279:28118:1310:256
poor	17344:28118:1132:256
start.	18854:28043:1265:241
star	16167:28540:932:241
barbee,	24117:28465:1865:361
who	14279:28962:1021:301
pitcher	16256:28947:1754:376
baseball	20097:28947:1998:301
nine.	22385:28947:1177:301
o'connell	14301:29444:866:286 24184:28947:1487:301
also	16145:29444:977:286
dangerous	17988:29444:2553:346
man.	20875:29535:1154:180
line-ups	16145:29926:1932:346
be	19565:29911:555:286
follows:	21163:29911:2065:361
vale	14812:33257:1154:286 14856:30394:1132:301
harvard	23229:30379:2198:301 21763:33227:2198:301
j.	15123:34703:377:331 14257:35186:399:346 14257:32307:399:346 14279:30876:377:346
l.	14279:31358:488:271 15278:33739:488:286 15079:30876:510:286
townsend,	15989:30876:2709:331
r.f.	18299:33709:666:301 19120:30876:688:286
r.f.,	22629:30861:843:346 22873:33709:843:331
baldwin	23895:30861:2087:286
e.	15278:32790:510:271 15256:31358:488:271 14279:34206:488:301
nassau,	16233:31358:1976:331
l.f.	18676:31343:599:286 17966:34206:599:286
1.f.,	23029:34191:777:346 22229:31343:755:346
o'connell	23451:31328:2509:301
a.	14279:35653:555:286 14279:32790:555:271 14279:31825:555:301
h.	15212:31825:621:301
bryant,	16233:31825:1865:346
c.	23584:31901:510:226 18476:31916:355:210 18343:34779:355:180
green	24495:31795:1465:316
w.	15056:32307:732:301
cook,	16233:32292:1399:346
r;g'."	18032:32338:1021:301
■	19342:32277:288:376
'-'•■'	19920:32353:1021:150
-	21741:32277:799:376
'i.g;'	22540:32277:1554:346
barbee	24228:32292:1754:286
nanry,	16233:32775:1732:346
l.g.	18432:32775:710:346 18565:35623:732:361
1.g.,	22785:35623:888:346 23140:32759:888:346
burns	24472:32759:1465:286
1931	16344:33257:1021:286 24339:33212:1043:316
b.	14279:33739:488:286
poole,	16278:33724:1532:346
dutton	24206:33709:1754:286
horwitz,	15234:34206:2265:346
seeger	24273:34176:1687:361
f.	14279:34703:488:286
linehan,	15878:34673:2131:361
c,	23051:34764:510:256
mahady	23939:34658:1998:346
d.	14945:35186:555:271
hopkins,	15834:35155:2242:361
r.g.	18387:35246:799:256 23051:35231:799:256
farrell	24184:35125:1732:301
t.	15278:35653:532:286
taylor,	16278:35638:1843:346
foshay	24139:35623:1798:331
dwight	14257:36692:2553:316
hall	17188:36692:1687:301
cabinet	19254:36677:2687:301
will	22318:36677:1576:286
hear	16811:37190:1754:271
dr.	18832:37190:1021:271
george	20120:37175:2509:286
stewart	22940:37160:2998:286
at	14323:44378:488:256 15878:45824:466:241 25538:38636:466:241 14834:38154:688:286 22096:44363:466:256
the	15056:44348:777:301 25272:41936:732:286 18387:42916:755:286 23140:42901:755:286 21541:38124:755:301 15789:38139:755:301 15523:44815:777:301 22807:43850:755:286
old	16877:38139:910:301
mill	18099:38139:1043:301
tonight	19453:38124:1798:361
dwight	24117:41454:1909:361 22629:38109:1909:361 16700:45764:1887:331
hall	24850:38109:1110:301 14346:41936:1110:316 18965:45764:1088:286
cabinet	14323:38636:1865:301
will	24073:39073:910:286 19387:39556:932:346 16566:38621:910:301
hold	17855:38621:1088:301
its	19320:38606:555:301
bi-weekly	20253:38606:2420:346
meeting,	23051:38591:2087:361
which	14323:39119:1443:286
dr.	14879:40535:821:301 16256:39119:799:271
george	17544:39104:1776:346
stewart,	19809:39088:2109:346 16078:40520:2109:346
1915,	22407:39058:1199:376
be	25450:39073:555:286
speaker.	14301:39586:2020:346
supper	17144:39571:1754:361
also	20830:39556:977:301
be.	22274:39556:644:361
served	23340:39556:1576:301
on	25427:39646:555:210
this	18188:45282:888:301 20986:43368:910:301 14301:40053:888:301
occasion.	15523:40038:2220:316
after	18543:40520:1177:301
graduating'	20053:40505:2864:361
from	23140:40505:1221:286
vale,	24717:40505:1243:346
received	14323:41002:2065:301
his	16700:41002:710:286
law	17743:41002:888:286
degree	18965:41002:1665:346
here	20964:40987:1065:286
in	20097:43368:444:301 22385:40987:466:286 17521:42916:555:271
1917.	23229:40972:1177:301
for	25094:40987:910:286
several	14346:41484:1709:286
years	16500:41590:1310:241
he	24650:43368:577:301 18232:41484:532:286
was	19165:41575:932:195
secretary	20542:41530:2287:286
of	23229:41454:488:301 22340:42901:488:286 22030:43850:488:301
and	15834:41952:866:301
has	17033:41952:843:301
since	18254:41952:1199:301
been	19809:41936:1132:301 19387:43850:1110:301
affiliated	21297:41936:2131:301
with	23784:41936:1132:286
madison	14390:42434:2109:301
avenue	16789:42434:1887:286
presbyterian	19009:42419:3242:361
church,	22563:42419:1954:346
new	24850:42419:1177:271
york	14346:42916:1310:286
city.	16011:42916:1154:346
leadership	19453:42886:2553:376
student	24228:42886:1798:301
christian	14368:43383:2309:301
movement	17122:43443:2553:241
country	22318:43428:1909:286
is	25672:43353:355:301
prominent,	14368:43865:2642:346
having	17366:43850:1709:391
one	20830:43941:843:210
speakers	23917:43850:2109:346
missionary	16100:44332:2731:361
convention	19120:44332:2709:301
detroit	22873:44317:1843:301
during	14346:44815:799:376 24961:44332:799:271
christmas	16722:44800:2553:316
season.	19698:44905:1754:195
all	22141:44800:755:301
those	23318:44800:1288:301
who	25005:44800:1043:286
are	14368:45402:777:195 21763:45372:755:210
to-attend	15500:45297:2354:301
meeting	19431:45282:1976:346
requested	22873:45267:2354:361
to	25583:45327:466:241
meet	14390:45824:1132:241
by	20431:45764:577:331
5:15.	21363:45749:1199:301
1929s	14412:46834:1643:286
wins	16344:46834:1554:271
in	18210:46834:599:256
basketball	19120:46819:4019:271
league;	17366:47286:2687:331
1929	20364:47316:1332:271
is	21963:47286:510:301
defeated	22740:47286:3264:301
in	21030:48733:444:286 17388:51596:466:286 14968:48265:532:301 24539:50149:466:286
the	15767:52560:732:286 18299:51596:755:301 25339:50164:710:286 21785:48733:732:286 14968:51129:977:301 21386:50164:755:286 15900:48265:732:301 19387:51129:777:301 25339:49200:710:301
last	17077:48265:888:286
two	18343:48311:910:241
games	19698:48356:1532:241
of.the	21652:48250:1643:346
interclass	23717:48250:2331:286
basketball	14390:48748:2487:301
league	17210:48748:1576:346 20497:51113:1576:361
played	19098:48733:1598:361
gym.	22829:48823:1199:256
yesterday	14368:49245:888:331 24361:48763:1465:316
afternoon	15745:49230:2376:286
1930	18676:49215:1065:301
downed	20231:49215:1909:301
1929	23762:52063:1088:286 22674:49200:1065:301
by	24228:49200:621:346
score	14390:49802:1265:195
of	23162:51596:488:286 15900:49697:488:301 18587:51113:488:316
18	16633:49697:510:301
to	17366:49757:488:241 15234:50224:466:256
13',	18099:49637:644:406
while	18987:49682:1332:301
1929s	20608:49682:1421:301
defeated	22296:49682:2065:301
1930s	24628:49682:1399:286
12:	14412:50179:599:301
9'	16011:50179:377:301
thereby	16589:50164:1865:361
clinching	18787:50164:2265:346
victory	22429:50164:1798:346
sheff.	14412:50661:1443:286
league.	16189:50646:1687:361
winners	16256:51113:1976:316
championships	22407:51098:3642:361
will	14412:51596:910:301 25116:52063:932:286
meet	15789:51656:1177:241
••	17077:51596:199:301
first	19520:51596:999:301
contest	20964:51641:1754:241
a	24095:51671:266:195
three	24828:51596:1221:271
game	14390:52153:1310:271
series	16011:52078:1354:301
at	17677:52123:444:241
4:15	18410:52063:1088:316
monday	19809:52078:2043:346
when	22141:52078:1310:286
take	14412:52575:1021:271
floor	16877:52560:1110:286
against	18343:52545:1798:331
19295.	20497:52545:1576:301
1930	14412:53525:1288:271
and	15945:53525:1354:256
1931	17588:53525:1265:271
win	19165:53509:1199:286
class	20630:53509:1932:271
hockey	17033:53992:2620:271
games	19964:53977:2109:286
yesterday	22407:53962:3664:301
in	14945:54941:532:301 15767:58286:444:301 17188:56373:532:301
the	25272:58286:755:301 18143:56388:777:301 15811:54941:732:301 15945:59251:755:286 19254:57819:732:301 21030:59251:755:301 16500:58286:777:316
class,	16900:54941:1243:301
hockey	18410:54941:1732:361
games	20475:55031:1576:256
played	22385:54941:1621:346
yesterday	24339:54971:1487:301 14390:55438:888:331
afternoon,	15656:55423:2576:346
1930	18698:55438:1043:286 23673:56357:1065:301
won	20164:55529:1043:195
from	21652:55423:1199:286
1929	23318:55408:1065:301
by	24783:55408:599:361
a	25805:55499:288:195
score	14390:56011:1288:180
of	24495:58286:510:301 16078:55905:466:286
4	16944:55905:266:286
to	17588:55951:488:241 17588:58829:466:241 15101:56433:466:256
0,	18476:55905:399:361
while	19276:55905:1332:286
1931	21052:55890:1021:301 14390:58286:1043:316
defeated	22518:55890:2065:301
1928	25005:55875:1110:301
3	14390:56388:266:301
0.	16033:56373:399:301
game	19365:56478:1332:271 20275:58392:1310:271
between	21141:56373:2043:301
and	21807:56855:888:301 25183:56357:888:301
1929,	14390:56855:1199:361
g.	16011:56855:532:301
s.	16988:56855:444:301
chappell,	17877:56855:2309:361
jr.,	20586:56855:799:361
j.	14368:57819:399:361 23073:56855:421:346
p.	21585:58769:488:301 23939:56855:510:271
bent	24872:56855:1177:286
starred	14368:57352:1776:286
for	25294:57804:732:301 16500:57337:732:301 20031:59266:732:286
1930,	17655:57352:1199:346
scoring	19231:57337:1843:361
two	21408:57382:932:256 23295:58347:910:241
goals	15989:58769:1288:346 22696:57337:1310:346
apiece.	24384:57322:1621:361
a,	15056:57819:577:376
howell	15922:57819:1821:286
was	18032:57925:932:195
outstanding	20275:57819:2931:361
player	23473:57819:1554:361
1931-1928	17566:58301:2420:301
with	21874:58286:1154:316
three	14412:58769:1265:301
his	18387:58769:688:301
credit.	19387:58769:1576:316
d.	22429:58769:577:301
q.	23362:58769:555:361
holden	24250:58769:1843:301
made	14390:59266:1310:271
other	16966:59266:1310:286
point	18521:59266:1265:346
freshmen.	22074:59251:2598:301
radio	15056:60200:1532:301
to	16944:60275:510:226
broadcast	17832:60215:2642:301
college	20853:60215:1998:331
courses	23229:60215:2131:286
dr.	15012:60697:799:271
hugo	16167:60697:1399:331
g.	17921:60697:510:301
m.	18809:60697:666:301
wendel	19809:60697:1932:301
of	24517:61632:488:301 22052:61180:488:286 23007:64013:510:286 16700:63997:488:286 22074:60697:488:301
long	22918:60697:1288:346
island	24539:60697:1532:286
university	14390:61149:2664:361
will	18232:63048:932:301 17299:61164:910:286
open	18499:61240:1110:286
a	19875:61270:266:195 23695:63621:288:210
series	20408:61180:1376:286
lectures	22762:61180:1932:286
over	24961:61255:1065:195
the	18010:61632:755:301 17544:64013:732:286 14412:61632:732:301
on	25494:62204:577:195 17099:61722:577:210
politics	19076:61647:1776:361
and	21208:61647:866:301
history	22407:61647:1821:346
fhe	25316:61632:755:391
mediterranean	14412:62099:3686:301
countries,	18832:62114:2398:361
beginning	22274:62099:2465:376
march-,	14412:62566:1732:361
wa	16522:62566:644:361
nd	17433:62596:888:286
continuing	18765:62596:2642:346
every	22940:63169:1354:256 21830:62686:1354:256
thursday	23629:62596:2420:331
night.	14390:63033:1421:361
*	15989:63063:111:120
music	16433:62988:1487:361
be	19476:63063:532:286
discussed	20320:63063:2309:301
tuesday	24628:63063:1154:286 14390:63515:888:361
evening	15634:63500:1932:376
by	17899:63515:621:376
lawrence	18876:63515:2465:331
adler,	21719:63530:1576:361
former	24339:63530:1709:301
director	14390:63982:1976:301
curtis	18632:64013:1532:286
institute	20542:64013:2131:286
music.	23851:64013:1665:286
lawrenceville	26826:2230:5418:361
head	32645:2215:1732:361
will	34777:2215:1598:376
deliver	29180:2697:2798:361
talk	32245:2697:1754:361
at	34244:2682:843:376
cloister	35399:2697:3131:361
dr.	26804:3691:821:271
m.	27959:3676:644:286
a.	28936:3676:621:286
abbott,	29869:3676:2020:331
former	32201:3676:1998:271
yale	34488:3676:1177:286
professor	35954:3676:2509:301
and	27537:4174:954:271
crew	28892:4174:1399:271
coach,	30668:4159:1821:346
to	32867:4204:488:226
be	33755:4159:644:271
speaker	34799:4159:2131:346
at	37308:4234:488:226
sheff.	28892:4641:1487:286
meeting	30735:4641:2131:331
wednesday.	33222:4641:3197:331
"the	27404:5590:1265:301
need	29047:5590:1265:301
of	30802:13667:488:301 34066:13215:488:286 30668:5590:488:301 30779:16530:488:286 36376:6555:466:286 31823:7986:488:286 36331:15596:466:301 35110:5590:466:301 31001:6072:466:286 34777:7986:488:286 31668:8935:466:286 32978:12251:488:301 30380:13200:488:286
a	31801:6148:310:210 32578:8076:266:195 31512:5696:244:195
new	32134:5590:1177:301 27537:12236:1154:301
idea	33689:5590:1065:301
god"	35932:5590:1265:316
will	30779:11768:932:301 37575:5605:910:301
be	32134:11768:510:301 35332:6087:532:286 26849:6087:510:286
the	27981:8920:755:301 32823:7022:777:301 31423:15114:755:286 35443:14164:732:301 27715:6087:755:286 33711:12266:732:286 36154:14647:755:301 26849:13200:732:286 26849:16530:732:286 35354:10849:777:301 29491:7986:755:286 36287:8950:977:286
subject	28847:6087:1776:331
lecture	32445:6072:1687:286
to	26804:12281:466:256 34510:6133:466:226 32201:16063:710:286
given	36220:6087:1354:331
by	37930:6087:577:346 31024:9885:599:346
dr.	26826:6555:799:286 27448:11768:799:301
mather	27959:6555:1843:286
a.	30113:6555:555:286
abbott,	33689:16545:1865:346 31024:6555:1843:346
headmaster	33200:6555:2842:286 32889:15581:3042:316
lawrenceville	26849:7022:2376:301 37153:6570:999:286 26871:16048:2398:286 37197:15596:999:301
school,	29669:7022:1821:361
at	31934:7082:466:241 34688:14225:444:241 35598:7564:466:241 29469:14677:444:241 30735:9463:466:226
cloister,	34044:7022:2087:361
1	36620:7037:155:286
hillhouse	37264:7037:999:286 26871:7504:1376:286
avenue,	28603:7504:1998:346
next	30957:7564:1088:241
wednesday	32378:7504:2887:346 35643:9418:2864:361
7.	36420:7489:355:316
this	27426:7971:1132:286 33311:16063:888:286
is	28847:7971:355:286
fifth	30535:7986:1021:286
series	33111:7971:1376:301
eight	35532:7986:1265:346 33666:15114:1265:346
sheff.	37086:8001:1421:286
house	26849:8453:1576:286
talks	28736:8453:1177:286
which	26849:12718:1465:286 30291:8453:1465:286
are	28181:17088:755:210 32090:8559:777:180
being	33200:8453:1332:361
conducted	28114:9885:2487:286 34843:8468:2487:301
under	26849:8920:755:301 37131:16078:1421:301 37686:8574:532:180
direction	29092:8920:2198:301
byers	32534:8935:1421:346
hall.	34355:8935:1243:301
last	32489:15099:866:301 37642:8950:866:286
meetiig	26849:9403:1932:346
held	30802:12733:1043:286 29269:9403:1021:286
sachem	31668:9403:1932:301
hall	34066:9403:1110:286
and	26804:9885:888:271 37642:10397:866:286 28159:14631:866:286
prof.	32067:9885:1265:286
h.	33800:9885:621:286
w.	34866:9900:755:286
haggard,	36087:9900:2398:361
19145,	26871:10337:1554:361
was	27693:14240:910:195 30580:10925:932:195 29158:10442:932:195
received	30557:10352:2043:301
enthusiastically	33311:10367:3886:376
great	26849:10879:1288:286
interest	28448:10819:1843:301
aroused	31801:10834:1909:301
over	34000:10925:1065:210
informal	36420:10849:2087:301
discussion.	26804:11286:2620:286
abbott	28670:11768:1732:301
particularly	33067:11783:2931:376
welcome	36420:11799:2109:301
haven	28958:12236:1665:316
because	30868:12251:1865:301
close	34710:12266:1199:301
affiliation	36154:12281:2287:286
he	26826:14149:532:286 28692:12733:532:286 36864:15129:532:286
has	37730:15144:799:286 29625:12733:777:271
with	32223:12733:1088:286
university	26849:14616:866:361 36531:14179:1687:301 33711:12733:2664:361
life,	36753:12748:888:361
in	30713:14149:421:286 38064:12763:444:286 36509:13697:444:286 30602:15099:532:301
capacity	27959:13185:2043:376
professor	31268:13200:2420:286
latm	34932:13215:1310:286
as	36620:13320:488:195 31979:15671:488:195 26826:13757:488:195
veil	37575:13230:932:301
head	27626:13667:1154:301
coach	29092:13682:1399:286
crew.	31623:13773:1310:210
moreover,	33578:13682:2576:361
1017,	37308:13697:1177:331
active	28936:14149:1443:301
war	31468:14255:954:195
affairs	32734:14149:1621:301
that	30357:14631:977:286
time	31779:14631:1065:286
organized	33289:14647:2398:331
vale	37397:14662:1110:286
naval	26893:15099:1487:301
unit.	28692:15099:1265:301
years	35199:15219:1332:256
had	26849:15566:866:301
preat	28114:15626:1310:271
success	29802:15671:1776:195
school.	29691:16063:1821:271
meeting,	34599:16063:2109:361
leadership	27915:16515:2531:376
doctor	31623:16545:1732:271
all	35909:16560:599:271
freshmen	26849:17088:977:195 36864:16560:1376:286
cordially	29269:16997:2198:346
invited.	31823:16997:1798:316
