plumbers	2168:8113:6076:707
"those	23427:40539:1820:288
us	26107:40605:552:222
who	26864:40539:1023:288
cherish	28071:40526:1902:288 27212:40972:1861:288
first	31161:40526:1063:275
amendment	22854:40972:3089:301
free	29708:40972:1023:275 31304:50134:1002:275 24695:46228:1023:275
press	30874:41038:1370:275 28603:43226:1370:288 28542:51077:1350:288 25964:46293:1350:288 28787:41903:1370:301
can	22874:41496:900:209
only	23979:41418:1063:353
hope	25248:41418:1207:353
more	28828:41470:1329:222
responsible	22874:41850:1227:288 30342:41470:1636:288
members	24327:41850:2434:288
will	30424:41837:920:288
insist	31611:41837:429:275 22895:42296:879:275
fourth	26823:42283:1575:288
estate	28787:42283:1554:275
police	29319:44472:1575:353 30752:42270:1493:366 22915:43606:1514:353
itself	22915:42728:1268:288
excesses,"	28665:42702:2741:353
"because	24491:43161:2455:288
if	27130:43161:368:275
does	30179:43148:1084:288
itself,	24573:43606:1432:340
movement	26639:43606:2741:275
arise,	30813:43593:1432:327
which	22915:44039:1514:275
would	24757:44026:1493:301
lead	26598:44026:1084:301
institutions	30465:44026:1575:275 22915:44485:1268:275
attempting	24757:44485:2966:340
press."	22915:44917:1861:353
elliot	23447:45350:1452:288 23468:48784:1432:340
argued	25432:45350:1841:353
his	30240:45350:736:275
old	31509:45324:757:288
classmate,	22936:45795:2741:353
saying	25882:45795:1657:340
"some	27949:45795:1698:275
elements	29954:45782:2291:275
sometimes	27580:46228:2762:275
during	30608:46215:1657:340
past	24102:46687:1043:327
200	28624:48862:777:249 25514:46687:757:249
years	29647:48902:1432:275 26619:46739:1432:275
gone	29974:46713:1186:288
too	31529:46687:757:249
far."	22936:47093:1268:288
added,	25493:47080:1677:340
however,	27396:47093:2332:327
"we	31202:47093:1084:301
mechanism	25903:47525:2966:275
within	29381:47525:1595:275
our	31447:47591:838:209
government	22956:47984:3089:340
correct	26926:47984:1841:262
mistakes	29974:47945:2312:288
few	24593:48404:900:275
far	27826:48391:736:288
between."	28747:48391:2618:275
looked	25186:48836:1657:288
back	27130:48823:1207:288
stressed	22977:49269:2312:301
founding	27151:49256:2434:353
fathers'	30097:49256:2168:288
wisdom	22977:49714:1943:301
assuring	25800:49701:2189:353
"the	28215:49701:1084:275
central,	31263:50645:797:209 22977:51025:1084:340 29483:49701:1964:314
integral,	22977:50160:1698:353 31672:49701:450:262
indispensable	24920:50134:3478:366
right	28624:50134:1248:353
informed	26434:50566:2352:301
core	24266:51104:1125:209
duty	25575:51012:1125:353
do	30772:50999:552:275
informing."	22977:51458:3048:353
framers	24818:51890:2086:288
constitution	29217:51877:3109:275
faced	22977:52336:1411:288
"a	24675:52336:593:288
highly	25555:52336:1575:314
partisan	27396:52323:2127:340
press,	29810:52388:1514:275
for	31591:52310:736:288
ydn	29319:19306:900:170
paul	30465:19306:797:170
fu	31447:19306:470:183
too	13954:20499:920:262 18230:19621:1145:262 12460:19621:1166:275
free	24818:20931:1002:275 13872:19621:1657:262
or	15775:19621:818:275
not	16818:19634:1207:262
free?—david	19580:19621:4112:262
euernhorn,	23959:19621:2946:314
law	17064:20066:1084:262 27171:19647:1084:262
'61	28542:19647:572:262 18434:20066:593:249
(left),	29442:19647:1452:314
and	31140:19673:900:249 26046:20944:900:262
ralph	12460:20053:1534:340
elliot	12501:20931:1391:275 14301:20053:1370:275
'58,	15979:20079:757:275
(right),	19376:20053:1861:340
debated	21524:20053:2025:275
the	23795:20053:777:275 17370:20499:777:262 15386:20931:777:275 26394:20499:797:275
resolution,	24818:20066:2700:314
"the	27846:20066:1268:275
press	30056:21023:1350:262 29360:20079:1432:275
has	31079:20093:961:275
gone	12480:20499:1289:262
far,"	15079:20499:1432:301
at	16695:20512:511:249
p.u.	18353:20499:1125:262
last	19683:20499:900:262
night.	20767:20499:1473:340
ellenhorn	22445:20499:2516:275
took	25166:20499:1084:275 14097:20931:1084:275
affirmative,	27376:20499:3089:314
while	30690:20525:1350:275
negative,	16388:20931:2352:340
saying	18966:20931:1677:340
that	20849:20931:1023:275
"a	22117:20958:593:249
totally	22936:20931:1657:340
unfettered	27192:20944:2659:275
is	31631:20971:388:262
worth	12480:21364:1452:275
it."	14179:21364:818:275
ydn	29319:19306:900:170
paul	30465:19306:797:170
fu	31447:19306:470:183
too	13954:20499:920:262 18230:19621:1145:262 12460:19621:1166:275
free	24818:20931:1002:275 13872:19621:1657:262
or	15775:19621:818:275
not	16818:19634:1207:262
free?—david	19580:19621:4112:262
euernhorn,	23959:19621:2946:314
law	17064:20066:1084:262 27171:19647:1084:262
'61	28542:19647:572:262 18434:20066:593:249
(left),	29442:19647:1452:314
and	31140:19673:900:249 26046:20944:900:262
ralph	12460:20053:1534:340
elliot	12501:20931:1391:275 14301:20053:1370:275
'58,	15979:20079:757:275
(right),	19376:20053:1861:340
debated	21524:20053:2025:275
the	23795:20053:777:275 17370:20499:777:262 15386:20931:777:275 26394:20499:797:275
resolution,	24818:20066:2700:314
"the	27846:20066:1268:275
press	30056:21023:1350:262 29360:20079:1432:275
has	31079:20093:961:275
gone	12480:20499:1289:262
far,"	15079:20499:1432:301
at	16695:20512:511:249
p.u.	18353:20499:1125:262
last	19683:20499:900:262
night.	20767:20499:1473:340
ellenhorn	22445:20499:2516:275
took	25166:20499:1084:275 14097:20931:1084:275
affirmative,	27376:20499:3089:314
while	30690:20525:1350:275
negative,	16388:20931:2352:340
saying	18966:20931:1677:340
that	20849:20931:1023:275
"a	22117:20958:593:249
totally	22936:20931:1657:340
unfettered	27192:20944:2659:275
is	31631:20971:388:262
worth	12480:21364:1452:275
it."	14179:21364:818:275
inside	24532:54158:6874:930
studio	23509:55468:3253:576
head	27069:55442:2352:576
looks	29729:55442:2680:563
at	23509:56412:920:458
movie	24859:56294:3028:563
business	28337:56268:4071:563
page	29094:59781:2414:655 29135:63228:2414:668 29053:57172:2414:655
4	31877:57159:552:524
party	23570:58116:2659:642
of	26598:58064:1063:563
the	27969:58064:1473:563
right	29810:58050:2639:681
remains	23550:58902:3805:576
enigmatic	27805:58876:4664:694
5	31959:59781:470:524
cold	23611:60685:2373:576
time	26434:60685:2148:563
for	29053:60672:1473:563
women's	23590:61524:4071:576
basketball	27949:61484:4542:602
in	23611:62376:920:550
alaska	24859:62363:3478:563
tourney	28665:62428:3867:589
6	31979:63241:531:537
mayor	32941:8087:6670:1310
offers	40470:8113:5790:1087
shubert	47161:8126:7774:1087
plan;	55795:8152:4930:1310
vows	32941:9987:4930:786
theater	38772:9699:6895:1048
will	46506:9699:3498:1087
stay	50905:9790:3887:1218
open	55713:9987:4746:1048
by	32900:11258:654:301
don	33780:11258:1207:262
more	35212:11272:1718:249
"we	33432:11678:1084:275
now	34803:11756:1002:209
have	36092:11691:1207:275
a	38424:25270:286:209 36603:24837:265:209 33575:13932:286:196 33002:33580:286:222 37565:11770:286:196 42148:36201:265:209 33534:28271:388:262 38997:22216:265:209
detailed,	38138:11652:2209:340
active	40634:11652:1575:288
plan	41166:19961:1104:340 32880:12097:1084:353
which	34230:12123:1493:275 39427:31325:1493:275 37074:18231:1493:275 39632:16029:1493:288
puts	35969:12137:1063:340
into	37279:12137:941:275
place	38486:12123:1350:353
creative	40082:12084:2127:301
measures	32900:12582:2455:249
developed	35601:12556:2557:353
to	39734:33068:470:262 35601:25650:450:262 35437:20853:450:262 38383:12582:450:262 40614:15177:450:262 39857:28704:470:262 34926:33514:470:288 36665:34838:470:262 36419:34405:450:262 35396:33082:470:275
address	39038:12543:1984:288
and	38608:21259:920:288 35089:29543:941:301 38056:26934:941:288 41268:12517:941:301 41432:29530:941:288 36501:26056:920:288 35990:19083:982:288
resolve	32880:12989:1841:275
the	37545:20394:777:275 35192:13002:757:275 37319:34812:777:288 41534:23894:777:275 33452:17340:941:275 33555:30906:961:275 38834:14732:900:288 41473:20381:797:288 38077:31771:777:275 41473:19070:797:288 41473:18192:797:275 39795:19961:961:275 37053:13867:757:288 40163:26056:757:288 41493:21692:797:275 39161:15610:777:262 33002:29123:797:275 33493:23448:961:288 39979:17327:777:288 38915:25624:777:288 41616:35690:777:275 38690:18651:777:288 35560:30001:777:288 37258:33501:777:288 34701:23894:797:288 37013:26502:777:288 39427:34379:777:288 39386:24326:797:288 41452:15151:797:288
shubert's	36399:12989:2434:288 38015:13854:2414:288
problems,"	39284:12962:2905:380
mayor	34619:23461:1677:353 40327:14797:1902:275 32900:13421:1677:353 34864:17419:1657:275
biagio	34741:13434:1636:340
dilieto	36542:13434:1882:275
said	37033:24326:1043:288 38608:13421:1043:288
last	39795:13421:941:275
night	40921:13408:1289:353
at	32880:13867:491:262 40634:21718:491:262
meeting	34087:13867:2086:340
of	37831:18664:491:288 41002:31758:470:275 36337:26502:491:288 40941:35690:491:275 35048:22583:450:288 41821:18611:450:288 36296:36555:491:275 34680:21705:470:288 38404:15610:470:275 32880:14286:491:288 36378:13867:470:288
board	39857:18625:1554:301 40655:13840:1554:288
directors.	33555:14299:2578:288
in	40389:36555:470:275 40798:23894:450:275 38752:22583:470:275 33432:14745:572:262 35130:32636:470:275 41371:36122:450:288
his	35846:15177:716:275 34598:14745:797:262
speech,	35990:14745:2230:340
reiterated	32900:15164:2598:288
commitment	36951:15177:3294:275
continued	32900:15610:2475:275
operation	35703:15610:2393:353
shubert	40409:34366:1984:288 40307:24313:2005:301 32941:20827:1984:288 34148:28245:1984:301 40245:15584:1984:288 32920:17773:2005:288 33064:36122:2025:288 32920:18231:2005:301
performing	32900:16042:3007:340
arts	36174:16042:1063:275
center,	37524:16042:1820:327
has	41371:16029:879:275 37749:36122:879:288
been	32920:16462:1186:288 35724:27813:1186:288
beset	34353:16475:1329:275
by	41657:17759:593:353 35928:16462:593:353 41678:20813:593:353
operating	36787:16475:2434:340 40777:33553:1350:288 33023:33947:1002:366
difficulties	39488:16462:2741:275
since	32900:16908:1329:275
its	39468:22583:613:275 34414:16921:613:262
renovation.	35232:16908:2864:275
described	37013:17327:2496:288
new	41248:31325:1125:275 41248:17392:1002:209 33064:36634:1043:196 41309:36568:1104:262
action	35273:17786:1636:275
plan,	37258:17773:1309:327 36010:31325:1268:366
prepared	38956:17759:2352:366
staff,	35314:18231:1329:340
stresses	38997:18231:2046:262
fund-raising	32920:18677:3130:353
role	36440:18664:1002:288
directors	32941:19083:2537:288
recommends	37483:19070:3437:288
board's	36665:30001:1984:288 32941:19516:1984:288
disengagement	35069:19529:3907:340
from	39120:19516:1227:288
day-today	32941:19948:900:353 40491:19516:1534:353
theater	38997:31758:1861:275 36358:28258:2025:275 35744:23894:1861:288 35396:36122:2025:288 37995:26502:1861:288 34271:19961:1841:288
operations.	36542:19961:2823:353
also	32941:20394:1002:288 41371:32610:1023:275 35355:28691:1023:288
points	34373:20394:1534:353
out	36337:20420:777:262
need	38752:20394:1207:275
for	40348:20394:736:275
regain	36378:20840:1636:340
credibility	34864:26934:2659:353 38506:20813:2659:353
avoiding	32941:21259:2209:353
cancelling	35560:21272:2639:340
changing	39938:21259:2332:353
dates	32941:21692:1370:301
productions	35498:21705:3028:353
while	38874:21705:1391:275
same	32961:22216:1370:209
time	34741:22150:1186:275
ensuring	36337:22150:2209:340
consistent	39713:22137:2578:288
quality	32961:22583:1780:353
excellence'	35785:22583:2803:288
productions.	40348:22570:1677:353 32961:23015:1370:288
outlined	36481:23448:2066:301
three	38711:23448:1329:288
goals	40225:23448:1329:353
he	41718:23448:593:275 36174:24326:695:288 33084:35703:695:275
hopes	32982:23894:1432:353
will	40163:32610:941:275 37872:23894:920:275 41452:32190:920:275
reach	39079:23894:1432:288
near	32982:24405:1166:209
future.	34291:24326:1718:288
that	35601:35690:1023:288 38220:24326:1002:288 40777:26489:1023:288
must	32982:24785:1268:262
mount	34598:24772:1636:275
major	37238:24759:1575:353
subscription	39161:24759:3171:353 36317:29543:3150:353
campaign,	32982:25204:2700:353
institute	36010:25191:2107:288
development	35928:35244:3294:366 39018:25191:3314:353
program	32982:25702:2250:288 41309:26135:777:288 33002:26567:1370:288
increase	36399:25624:2168:288
theater's	34128:29110:2271:288 40041:25624:2291:288 38261:33501:2291:275
endowment,	32982:26069:3109:340
revamp	37790:26135:2005:288
policy	34598:26502:1534:353
so	40061:26567:511:209
it	41984:26502:368:275
gains	33002:26947:1370:340
customers.	39509:26947:2782:275
"these	33023:27380:1841:275
objectives,"	35151:27367:3109:366
noted	33984:35690:1391:288 38588:27367:1391:288
dilieto,	37074:34379:2127:327 40245:27367:2086:340
"have	33023:27826:1554:275
not	34762:27839:777:275
fully	37094:27813:1145:353
implemented."	38424:27799:3887:366
audit	38608:28245:1391:288
committee	40204:28245:1861:288 33002:28717:757:262
was	34046:28769:1002:209
established	36665:28678:2905:301
review	40614:28678:1739:288 38977:29110:1759:275
budget,	36747:29110:1882:353
fundraising	33002:29556:1800:353 41043:29097:1063:288
plans	39775:29556:1370:340
evaluate	33002:30015:2230:288
management	38977:30015:3396:327
performance.	33002:30460:3498:353
city's	38261:34812:1391:353 34844:30893:1370:353
two-year-old	36583:30880:3212:366
financial	40123:30880:2250:275
assistance	33023:31338:2680:288
under	37606:31312:1493:301
haven	33043:31784:1636:275
pays	34823:31850:1186:275
rent	36153:31771:1043:275
on	37340:31850:593:196
approximately	33023:32203:3150:366 41596:31836:531:262
$350,000	36481:32217:1964:327
per	38711:32282:859:275
year,	39836:32269:1329:275
remain	33002:32649:1882:262
effect.,	35846:32636:1677:366
tlje	37749:32623:961:353
city	38936:32623:961:340
continue	33002:33068:2209:288
contribute	36051:33042:2659:301
up	38895:33121:654:275
$500,000	40409:33055:1984:327
year	33534:33580:1166:288
cover	35601:33580:1432:209
deficits.	34209:33947:2046:288
according	33575:34379:2639:353
is	33064:34825:388:275
"a	33677:34838:572:262
catalyst	34455:34812:2046:366
downtown	39836:34812:2557:288
economic	33043:35257:2455:288
program."	39632:35244:2762:366
"the	36869:35690:1104:288
reopening	38199:35690:2516:353
resulted	38956:36122:2086:288
wave	34516:36634:1329:196
confidence	37197:36555:2782:275
haven	43171:28612:1636:275
as	43253:34418:552:209 45156:28691:552:209 45238:34418:552:196
a	46036:28691:286:209 44869:29608:286:196
center	46670:28638:1616:262
of	48020:29949:470:288 52112:34746:491:275 45770:30814:470:288 48614:28625:491:288
culture."	49432:28599:2434:314
although	43703:29097:2291:340
the	51724:36044:879:288 51806:34301:757:288 46302:35637:797:288 45442:34772:777:288 46404:30814:777:275 43805:36096:1063:275 51744:30382:777:275 46506:29084:777:288
theater	49493:30801:2005:275 47775:29084:1841:275
does	50107:29071:1104:275
not	51724:29071:757:275
make	43192:29530:1432:288
profit,	45422:29530:1575:353
dilieto	43253:33462:1923:288 47284:29516:1882:275
argued	49453:29490:1800:366
that	44256:31718:1023:275 51478:29490:1023:288
"the	43805:32597:1289:262 43212:29962:1104:288
investment	47284:31273:2864:275 44747:29962:2844:288
city	43212:31745:491:327 51908:31260:450:275 48880:29949:961:340
funds	50251:29923:1370:301
to	52031:29949:470:262 45647:35664:470:262 45156:31299:450:262 49739:33894:470:262 50516:33003:450:275
restore	43171:30421:1861:275
and	45381:30408:941:288 49575:32570:900:288 48552:34746:941:288
initially	46670:30395:1984:353
subsidize	49023:30382:2332:288
operation	43171:30814:2455:327
shubert	45299:32570:1984:288 46383:34759:1984:288 47345:30801:1984:288
has	51642:30788:879:275 45790:31718:879:275
proved	43192:31273:1800:366
be	45770:31273:572:288
an	46506:31351:613:209
in	50312:31273:450:262
our	50926:31325:838:209
been	47202:31705:1166:288
repaid	48921:31692:1636:366
many	51089:31771:1452:262
times."	43233:32151:1902:288
is	43253:33907:388:275 47509:32584:409:275
open	48143:32649:1186:288
will	50721:32570:900:275
remain	43253:33029:1289:275 51867:32636:470:196
open.	44726:33095:1309:275
i	46240:33016:204:275
am	46588:33082:818:209
committed	47591:33003:2762:288
this,"	51130:32990:1432:340
said.	45320:33449:1186:288
however,	46690:33462:2414:314
he	49289:33435:593:288
added,	50025:33422:1677:340
"it	51887:33435:675:275
also	43846:33894:1023:288
my	45074:33973:818:275
responsibility	46077:33881:3478:353
see	50414:33947:797:209
that,	51417:33868:1145:327
long	43990:34340:1084:340
public	45974:34327:1575:353
dollars	47734:34314:1739:288
support	49678:34314:1943:353
theater,	43273:34785:2005:327
its	49637:34746:593:288
board	50414:34733:1575:301
directors	43294:35231:2618:262
fulfill	46506:35192:1534:288
their	48634:35192:1329:275
responsibilities	43294:35651:2148:288 50537:35244:1780:301
city."	47284:35624:1452:366
mayor	45504:36149:1882:275
attributed	48020:36044:3089:301
patrons	53156:28665:1902:340
to	58701:35192:450:275 55386:28665:450:275 53217:31260:450:275
a	55243:29163:265:196 56082:28730:306:196 56736:32164:265:196 57248:30028:265:209 55795:34812:286:196
number	56675:28638:2005:288
of	62036:31247:470:288 59458:30801:470:288 54956:32990:491:288 58946:28651:470:288 56143:30801:491:288 54609:33422:470:288
causes,	59683:28717:1861:275
including	61831:28651:450:275 53156:29084:1882:353
finding	55734:29071:1800:366
by	57739:29084:593:353
the	61729:33422:797:288 53135:36031:797:288 55263:33435:777:275 60951:33868:777:275 53217:31679:757:275 56777:30801:777:288 61729:32990:797:288 61688:32138:797:275 53156:35598:777:275 55939:31247:777:275 58557:29084:777:288
controller's	59519:29084:2946:288
office	53156:29516:1432:288
that	54813:29516:1002:288
"the	61176:32557:1329:288 56082:29516:1104:288
theater	57412:29516:1841:288
was	59478:29595:1002:209
not	60706:29530:777:275
being	61729:29503:491:288 53156:29962:777:340
managed	54097:29949:2373:353
in	61074:33435:470:275 56634:29949:450:288
financially	57698:29949:2741:340
responsible	60604:30028:1616:275 53135:30395:1207:275
fashion."	54486:30395:2332:275
"failure	53749:30814:2209:275
board	57739:30801:1534:288 53217:32977:1554:301 57555:34746:1452:288
directors	60092:30814:2414:275 55632:32990:2393:288
follow	54036:31247:1514:288
recommendations	57084:31247:4603:288
audit	54158:31679:1370:288
committee,"	55713:31679:3314:340
said	59212:31666:1043:301
dilieto,	60440:31679:2066:340
"constitutes	53197:32072:3089:288
default	57494:32085:1780:301
under	59744:32112:1493:288
management	53217:33881:3375:340 53217:32570:3478:327
agreement."	57207:32557:3416:353
has	58230:32990:838:288
accepted	59253:32990:2291:366
trust	53217:33435:1207:275
taxpayers'	56225:33422:2700:366
dollars	59130:33422:1739:288
agreement	56757:33881:2741:340
with	59683:33868:1104:288
city,"	61893:33868:429:275 53238:34301:961:353
he	54384:34301:634:288
added.	55202:34301:1657:288
"we	53217:34733:1084:275
have	57289:35179:1207:288 54445:34733:1207:275
good	56225:34733:1207:353
.	59601:34733:81:366 59253:34733:81:366 59949:34733:81:366
dynamic	60256:34746:2230:353
people,	53156:35166:1800:353
we	55202:35244:695:209
just	56102:35166:982:353
get	59376:35192:777:340
them	60378:35179:1289:288
on	61893:35257:572:209
right	54179:35598:1268:353
track,"	55713:35598:1841:353
noted	57821:35611:1411:288
judith	59458:35611:1616:288
lisi,	61340:35624:1104:340
shubert's	54158:36031:2434:301
acting	56839:36044:1595:353
general	58660:36044:1923:353
manager.	53135:36529:1002:288 60829:36136:1309:196
ydn-allen	58414:26371:2025:196
poteshman	60604:26384:2107:183
shubert	49432:27131:2005:262 43089:26698:2803:262 60481:27550:1984:262
supporter	46179:26698:3580:366
—new	49800:26698:1636:249
haven	51765:26698:1595:249
mayor	53708:26698:1657:327
biagio	55673:26685:1636:327
dilieto	57637:26685:1861:262 54670:27550:1861:262
spoke	59806:26685:1411:327
last	61545:26685:900:262
night	43089:27131:1268:327
at	44542:27144:470:249
a	45197:27197:265:196
meeting	45667:27118:2046:340
of	47877:27118:491:262 55468:27118:470:262
the	59560:27550:777:262 47570:27996:777:262 48511:27131:777:262 47100:27564:797:262
theater	51580:27131:2005:249
board	53749:27118:1534:262
directors,	56082:27118:2557:301
reiterating	58803:27118:2803:327
his	61729:27105:716:275
commitment	43069:27564:3294:262
to	58946:27577:470:235 46486:27577:491:249 46915:28009:470:249
financially	48041:27550:2700:340
ailing	50905:27550:1452:340
theater.	52481:27564:2005:262
referred	56675:27550:2127:262
as	43089:28075:511:183
"a	43867:28022:572:235
catalyst	44665:28009:2025:314
city's	48532:27996:1391:327
economic	50128:27996:2414:262
development	52747:27996:3273:327
program."	56225:27996:2762:327
ydn-allen	58414:26371:2025:196
poteshman	60604:26384:2107:183
shubert	49432:27131:2005:262 43089:26698:2803:262 60481:27550:1984:262
supporter	46179:26698:3580:366
—new	49800:26698:1636:249
haven	51765:26698:1595:249
mayor	53708:26698:1657:327
biagio	55673:26685:1636:327
dilieto	57637:26685:1861:262 54670:27550:1861:262
spoke	59806:26685:1411:327
last	61545:26685:900:262
night	43089:27131:1268:327
at	44542:27144:470:249
a	45197:27197:265:196
meeting	45667:27118:2046:340
of	47877:27118:491:262 55468:27118:470:262
the	59560:27550:777:262 47570:27996:777:262 48511:27131:777:262 47100:27564:797:262
theater	51580:27131:2005:249
board	53749:27118:1534:262
directors,	56082:27118:2557:301
reiterating	58803:27118:2803:327
his	61729:27105:716:275
commitment	43069:27564:3294:262
to	58946:27577:470:235 46486:27577:491:249 46915:28009:470:249
financially	48041:27550:2700:340
ailing	50905:27550:1452:340
theater.	52481:27564:2005:262
referred	56675:27550:2127:262
as	43089:28075:511:183
"a	43867:28022:572:235
catalyst	44665:28009:2025:314
city's	48532:27996:1391:327
economic	50128:27996:2414:262
development	52747:27996:3273:327
program."	56225:27996:2762:327
delegation	33452:37341:10844:1350
visits	45299:37315:4951:1114
nicaragua	50987:37302:10332:1350
morrison,	33371:38940:4992:668
graduate	38874:38993:4378:629
student	43703:38954:3621:563
claim	47775:38914:2659:563
no	51008:39019:1227:406
support	52726:38940:3805:589
for	57002:38862:1473:537
contras	58926:38927:3601:471
by	33330:40186:675:314
beth	34230:40172:1616:275
hedstrom	36051:40172:3294:275
nicaraguans	33862:40671:3273:327
"said	37708:40631:1350:288
they	41596:41496:1084:353 39591:40631:1084:353
didn't	41207:40618:1452:288
want	33330:41116:1248:275
the	37319:44970:797:288 36522:41942:777:262 33862:46739:982:288 39918:45415:797:275 36767:47604:777:275 34046:45428:797:275 41882:44091:757:288 34844:41103:777:275 41882:41064:797:275
united	35089:45402:1698:301 35887:41077:1718:301
states	37872:41077:1554:275
funding	39693:41064:1923:340
contras,	33350:41549:2046:314
regardless	35642:41509:2721:366
of	33330:45428:491:288 36051:47604:470:288 38568:41509:491:288
whether	39243:41509:2107:275
agreed	33330:41955:1739:314
with	35253:41942:1104:262 41575:47158:1104:275
government	37442:41942:3089:327
or	40695:41994:511:209
not,.''	41350:41942:1289:327
julie	33330:42361:1248:288
avery,	34803:42361:1718:340
divinity	36767:42348:2066:353
'87,	39120:42348:777:340
said.	40143:42348:1166:288
she	41759:42348:900:288
recently	33391:42781:2127:353
returned	35744:42781:2250:288
from	38179:42781:1248:288 41412:46726:1248:275
a	39632:42859:286:209 37770:45940:265:196 41105:45913:286:196
week-anda-half-long	40143:42781:2332:288 33391:43213:2987:353
fact-finding	36931:43213:3212:353
trip	33330:44550:941:353 40716:43213:1002:353
to	42271:43226:491:275 37053:47185:470:262
nicaragua.	33412:43659:2864:353
avery	33841:44118:1575:340
was	35785:44183:982:196 36685:46805:982:196
accompanied	37135:44091:3416:353
on	40921:44170:572:209 39100:45494:572:196
by	34598:44537:593:353
u.s.	35519:44537:1023:288
representative	36910:44524:3907:366
bruce	41166:44537:1493:275
morrison,	33350:44983:2496:327
d-3,	36092:44983:982:327
rev.	38342:44983:1145:262
allie	39754:44970:1186:275
perry	41166:44983:1493:340
church	37013:45402:1841:288
green,	40941:45415:1698:327
and	33391:45887:941:288 38915:47145:920:288
steve	34537:45887:1411:275
kass,	36174:45874:1370:314
teacher	38281:45848:1923:288
at	40429:45861:491:262
new	41616:45848:1125:262
haven	33412:46333:1657:275
alternative	35273:46293:2844:301
high	38302:46293:1084:340
school.	39591:46280:1739:288
group	35028:46791:1493:288
in	37872:46726:450:275
nicaragua	38547:46726:2659:340
february	33350:47185:2455:327
15	36215:47198:470:249
24,	37892:47185:634:301
met	40225:47172:961:262
members	33371:47604:2393:301
present	37811:47617:1902:301
sandinista	40000:47591:2639:288
government,	43396:40212:3396:353
opposition	43335:44563:2598:353 47325:40172:2741:366
leaders,	50578:40146:2107:327
nicaraguan	43314:40631:3539:340
historians	47693:40618:3048:275
and	46424:41916:920:301 45831:41496:920:288 48020:45822:941:288 45238:42374:900:288 51560:40618:1043:249 51703:44078:941:288
economists,	43314:41064:3007:340
representatives	46690:41038:3989:366
of	51028:41024:470:288 46343:42361:470:288 50496:41889:491:288
the	51846:41024:777:275 43846:42820:961:275 46997:42361:797:275 48204:43659:777:288 50394:46713:777:275 49207:47145:777:288
catholic	43376:41522:2086:301
protestant	47120:41483:2721:288
churches,	50189:41444:2475:314
educators,	43355:41968:2680:314
members	47713:41903:2414:301 50251:44943:2393:301
trade	51335:41863:1350:301
unions	43355:42414:1657:275
press.	47979:42414:1514:288
connecticut	45135:42807:3028:275
group	48511:42846:1473:288 43376:47250:1473:288
was	48961:46791:982:209 50312:42846:961:222
present	51642:42846:777:288 43314:43279:1063:262
at	44603:43266:491:262
what	45320:43239:1248:288
avery	46793:43239:1534:340
termed	48573:43213:1841:288
"a	50660:43213:593:288
very	51478:43279:1145:288
historic"	43335:43672:2250:301
meeting,	45790:43672:2230:340
first	49146:43659:1063:275 51601:46700:1063:275
ever	50394:43724:1125:209
between	51703:43646:736:288 43314:44196:1329:209
president	44931:44105:2475:288 46097:46293:2496:288
daniel	47713:44091:1657:288
ortega	49678:44105:1759:340
party	46445:44563:1370:340
leader	48327:44524:1616:288
eduardo	50435:44511:2209:288
rivas.	43355:45009:1595:275
other	45340:44996:1432:275
government	46956:44983:3089:353
they	43355:45441:1084:353
met	44665:45441:982:262
included	45872:45402:2189:301
foreign	48286:45402:2005:353
minister	50516:45389:2148:288
miguel	43499:45861:1759:353
d'escoto	45463:45848:2373:288
national	49146:45822:2189:288
assembly	43376:46307:2496:340
carlos	48839:46280:1636:288
nunez.	50721:46280:1698:262
in	43376:46752:491:288
addition,	44317:46739:2230:327
theirs	47038:46726:1473:288
interview	45115:47172:2434:288
with	47836:47158:1104:288
u.s.	50271:47145:1043:275
ambassador	51621:47132:716:275 43499:47630:2455:301
to	46486:47630:511:275
nicaragua	47550:47604:2884:314
harry	51151:47552:1616:314
bergold,	53463:40120:2168:366
jr.	55836:40133:716:275
avery	53872:40553:1780:340
said	56286:47919:1063:288 56307:40513:1207:301
that	57268:54905:982:275 61811:53568:1002:275 58169:40513:1186:288 61647:44406:1002:288 60583:53135:982:288 56368:42270:1023:288 60542:40933:1002:288 58762:49662:1002:288 60276:50501:1023:288 61749:55730:1002:275
the	59990:40500:900:288 58537:54892:777:288 56491:63437:777:288 55509:44891:777:275 55243:56215:777:275 54015:47080:777:288 60440:50081:777:288 53422:48391:777:288 57268:54053:797:275 57719:44000:757:288 54015:59531:961:275 61933:49662:777:262 61872:40933:797:288 53892:46215:982:275 59928:45284:777:275 59765:62992:797:288 57780:44432:777:288 60072:56609:777:288 55795:61694:797:288 58742:47041:757:288 57923:45730:777:288 55693:44445:777:288 61974:53122:797:288 54015:62140:982:275 57494:55337:777:288 53504:57959:777:275 55918:50999:777:288
trip	56675:44445:941:353 61565:40513:1084:353
"affirmed"	53401:40959:2864:301
his	56614:40959:736:275
own	57678:41024:1023:209 61627:42755:1023:209
view	59008:40933:1207:288
united	61054:56582:1718:301 53361:41405:1698:301 60972:45271:1698:288
states	53381:45782:1554:275 55468:41405:1554:288
