woman	2564:7694:4780:695
brooks	35065:46141:1744:275 36009:61871:1805:275 35414:49161:1744:315 35332:55306:1764:275 34039:57499:1744:275
told	37035:46141:923:275
an	42164:50999:595:210 38163:46219:574:196
audience	38943:46127:2256:288
of	41323:49187:471:275 39087:60978:471:288 40543:60098:471:275 36789:51380:471:262 41364:46114:471:288 40318:58798:471:275 36563:59665:471:288 38122:59245:492:275 37650:60558:471:275 42287:58326:512:288 39928:52233:471:288 36050:50500:471:262
250	42021:46141:738:262
at	34901:48333:512:262 36214:56212:471:249 33465:46600:492:249 38758:53139:492:262
the	37917:53559:779:275 34183:46574:779:275 33998:54872:964:275 36850:56185:779:288 42021:61792:779:275 33424:52666:964:275 36460:52233:759:262 42000:48740:759:288 39271:50080:779:275 40359:52680:759:275
art	35168:46574:841:262
gallery	36235:46574:1928:341
lecture	38368:46600:1969:249
hall	40564:46548:1046:288
last	41836:46548:902:288
night	33465:47007:1313:341
that	35065:47007:1005:275 40502:54019:984:275
"today	36378:47007:1723:354
if	38389:47020:348:262
martin	39025:47020:1744:275
luther	41036:46981:1723:288
king	41590:51380:1169:328 33485:47454:1190:328 39538:48333:1190:328
returned	34921:47454:2236:275
from	37404:47454:1210:275
his	38861:47454:718:275 42041:49174:718:275
freedom	39846:47427:2092:288
he	38225:47900:656:262 42164:47427:595:275
would	33485:51800:1497:288 41262:48281:1497:315 39148:47874:1518:302 33485:47874:1497:288
be	35229:47874:574:275 35701:63591:574:288
aghast.	36070:47900:1846:328
not	40892:47887:779:275
cry	41918:47939:841:275
'fre	33526:48320:841:275
last'."	35947:48320:1579:275
but	38122:48346:861:262
doubtless	33485:48754:2380:275
have	35352:51813:1210:262 36029:48754:1231:288
been	37404:48767:1169:275
delighted	38738:48740:2380:367
by	37158:53533:595:354 39600:52680:595:341 41241:48740:595:367
poems	37445:51472:1620:249 33485:49266:1620:275
read	40831:50920:1128:288 37466:49200:1149:275
in	38902:49213:430:262
honor	39620:49213:1436:262
56th	33485:49620:1005:288
birthday.	34716:49620:2318:354
brooks,	33998:50053:1949:341
who	36255:50067:1005:275
bears	37568:50067:1395:288
title	40338:50067:1005:275
laureate	38061:62291:2318:275 33485:50513:2318:262 36460:60991:2318:275
illinois,	36768:50500:1867:341
burst	38922:50513:1292:275
into	40461:50513:943:262
song	41631:50539:1149:288
on	33465:51012:595:196
several	34285:50933:1846:275
occasions	36358:50946:2441:275
as	34019:60978:636:275 39025:51025:512:196
she	39333:56199:841:275 39764:50946:841:275 39292:51393:820:275
hours	33465:51380:1415:262
worth	35106:51380:1456:262
said	40338:51367:1005:288
approved,	36932:51826:2523:341
about	35434:57052:1395:288 39866:51826:1415:275
"the	41692:51813:1066:275 36583:58798:1066:275
moods	33444:52207:1641:302
and	41877:59206:923:288 33485:53993:923:288 34901:60532:923:275 41898:56606:902:288 35311:52220:902:275 34962:59219:902:275
concerns	37445:52312:2256:210
blacks."	40605:52207:2113:302
reading,	34552:52653:2113:341
sponsored	36871:52680:2544:328
black	41303:52640:1436:302
student	33424:53100:2031:275
alliance	36009:53100:2195:288
yale,	39805:53113:1374:328
was	41754:53165:1005:196
characterized	33424:53533:3549:275
potent	38840:53572:1600:341
imagery	40605:53559:2133:315
vibrant	34880:53993:1846:275
alliteration	37199:54006:2852:288
are	41959:54058:820:210 41015:63197:861:196
brooks'	33526:54426:1887:288
trademarks.	35660:54426:3159:315
reading	35311:54859:1949:354
began	37609:54872:1497:354
with	38820:57499:1066:288 39456:54886:1087:288
a	40543:57998:266:210 40892:54951:246:196 37035:57131:266:210 42513:61031:266:183 40892:55831:266:196
short	41487:54872:1272:262
poem	41385:57984:1395:288 33506:55398:1354:288
wrote	37568:55345:1436:262
after	39456:55319:1231:288
king's	41159:55293:1600:354
assassination.	33506:55752:3549:288
"it	37568:55765:718:275
sounds	38738:55752:1703:288
little	41610:55739:1169:275
hysterical	33485:56185:2544:354
end,"	37773:56185:1395:341
admitted.	40318:56159:2441:315
"it's	33526:56619:1128:275
hard	35106:56619:1169:275
to	36173:62751:451:249 35024:63631:451:249 36727:56645:451:262
write	37609:56632:1354:288
sensibly	39374:56619:2072:354
lucidly	33526:57052:1703:354
hero."	37548:57065:1600:288
continued	36091:57499:2441:275
her	40195:57499:800:275
lovely	41303:57499:1477:328
"primer	33526:57932:2277:262
for	36358:57932:738:275
blacks,"	37671:57932:2318:328
celebrating	33506:58352:3323:354
different	37404:58365:2523:288
hues	40502:58365:1251:262
blackness:	33526:58785:2667:275
rust	37938:58825:1005:262
red	39230:58798:820:275
it/"the	41056:58772:1744:302
milk	33506:59219:1128:275
cream	36173:59311:1620:210
it/the	41220:60072:1579:302 38902:59232:1559:288 37486:59678:1559:275
tan	40769:59245:800:262
yellow-tan	33506:59652:2626:354
deep	39435:59665:1190:341
brown,	35475:60098:1723:341 41036:59652:1723:315
middle	33506:60085:1744:288
high	37466:60112:1066:354
brown	38758:60112:1559:288
olive	33526:60532:1190:288
ochre	36029:60545:1415:288
it."	38327:60545:820:288
illinois	39887:60965:1723:288
—	41857:61109:451:26 35311:62029:471:26
post	33526:61425:1046:341
without	35106:61411:2010:288
salary	37650:61425:1661:341
or	39866:61477:512:210
official	40913:61372:1867:302
duties	33526:61871:1559:288
inaugurated	38348:61805:3159:380
celebrated	33526:62304:2708:288
"poet	36419:62317:1477:262
awards"	40543:62226:2256:302
which	33526:62711:1477:288
go	35311:62790:574:288
promising	36932:62725:2564:354
child	39784:62685:1231:302
poets.	41323:62698:1456:341
"many	33547:63158:1764:354
children	35619:63158:2092:275
when	38040:63158:1272:275
they	39641:63145:1107:328
invited	33526:63591:1251:288 42164:63118:430:262
themselves	36501:63591:2852:288
will	39579:63565:882:275
surprise	40708:63552:2092:341
you,"	43621:45221:1374:354
brooks	45406:45221:1744:275 51008:57433:1846:275 48648:56185:1764:288 45222:54413:1785:262 47417:46548:1764:275 45878:52706:1785:288 43642:61792:2051:275
said	47561:45221:1025:275
before	48976:45221:1600:288
reading	50946:54846:1928:341 50946:45221:1949:354 50967:61333:1908:354
"trapped,"	43662:45655:2954:354
a	52608:53599:266:196 52588:57945:266:196 47294:50539:266:196 46945:45747:266:183 50515:55831:246:210 45591:54045:266:196 52608:63158:266:210
poem	48628:63184:1354:262 47540:45747:1354:262
by	46945:52207:574:354 49223:45668:595:341 46514:49581:595:354 50515:62212:595:354
12-year-old	50166:45655:2728:354
aureali	43621:46101:1867:262
davison,	45776:46101:2215:328
which	48812:50040:1497:275 48299:46114:1456:262
won	50043:46180:1005:196
one	51315:46180:861:196
of	46330:58326:451:262 46227:53533:471:262 52403:55726:451:288 49099:54859:471:275 52444:46548:451:275 52444:46101:451:288 48935:56579:471:288 52444:48281:451:275 47007:62239:451:262 45406:55765:471:288 49653:50907:471:288 46494:50461:451:288
these	43621:46534:1333:275
awards.	45160:46534:1990:275
later	49407:46548:1190:275
spoke	50802:46548:1436:341
how	43601:46968:1005:275
the	49797:61372:779:262 44155:59626:1025:275 45960:63105:779:262 43601:50461:800:288 44852:46968:779:275 47725:57892:759:275 47355:58326:779:262 49736:62672:779:262 52136:60059:759:275 45796:50027:964:275 49859:54846:779:275 52136:47414:759:275 47007:53533:759:262 49715:56593:779:275 52054:53165:759:275 52095:56172:738:275 45324:54846:779:262 46966:50907:759:275
encouragement	45878:46994:3960:328
she	49797:52732:882:275 50084:46981:841:275
received	51151:46981:1497:275 43621:47388:553:288
at	46247:50920:471:262 44339:47414:492:262
age	44996:47454:882:288
7	50331:50946:225:236 46042:47427:225:249
set	46432:47427:718:262
her	47704:49594:882:288 47314:47414:820:275 43642:60939:861:262 47663:62239:820:262
irrevocably	48320:47414:2934:354
on	51418:47493:574:210
path	43601:47834:1128:354
to	49366:54006:451:249 44955:47848:451:262 50290:63118:451:249
poetry.	45591:47861:1785:328
brooks'	48935:55319:2031:288 44134:48268:1928:275
tragi-comic	46371:48281:2954:341
"the	51541:55306:1313:275 49099:48727:1087:275 49653:48281:1251:288
life	51172:48281:1005:288
lincoln	43601:48701:1908:288
west"	45693:48714:1538:275
about	51295:61779:1600:288 47458:48727:1395:275
ugliest	50351:48727:1682:341
little	43601:49147:636:288 52218:48714:512:275
boy	44503:49134:882:354
that	46206:57892:984:262 47868:53152:1005:275 45652:49147:1005:275
anyone	46904:49226:1826:275
ever	48976:49226:1128:223
saw"	50351:49161:1292:288
was	51090:57945:984:196 43601:52286:964:210 43560:55424:1005:210 51910:49226:964:210
followed	43621:49581:2318:288
controversial	49161:49594:3713:288
"riot."	43642:50014:1867:288
poem,	47007:50106:1538:275
imagines	50597:50027:2298:354
death	44729:50461:1395:275
white	47909:50474:1395:275
liberal	49653:50461:1661:288
from	51664:50461:1231:288
winnetka	43601:50894:2400:288
hands	47950:50907:1477:275
or	50782:50986:512:210 51951:50986:512:210
8	51521:50933:246:249
9	52670:50933:225:249
angry	43601:51393:1477:288
black	45488:51327:1354:288
rioters	47253:51353:1682:262
coming	49346:51353:1846:341
down	51582:51340:1313:288
west	43601:51774:1251:275
madison	45201:51774:2133:288
avenue	47684:51787:1887:275
in	49920:51800:430:262 45263:63105:430:262
chicago,	50700:51787:2174:341
viewed	44873:52207:1785:288
some	47827:52299:1313:196
as	45037:53205:533:196 49448:52299:512:196
promoting	50269:52220:2605:354
rioting,	43539:52693:1846:341
said.	48135:52719:1169:275
quoted	51151:52719:1703:354
king	43539:53126:1210:341
saying	45878:53139:1682:354
"a	49202:53165:677:262
riot	50187:53165:882:275 43601:53966:902:288
is	51377:53165:389:275 44852:53966:389:275
language	43601:53520:2339:354
unheard."	48074:53559:2564:262
"ana	51008:53586:1313:223
temptation	46227:53980:2769:328
any	50146:54058:902:262
poet's	51418:53966:1456:354
pen,"	43601:54413:1395:354
added.	47212:54413:1661:275
but	44155:54859:861:262
highpoint	46432:54846:2359:354
undoubtedly	45098:55332:3282:354
ballad	43601:55765:1620:302 49038:57879:1538:288
pearl	46022:55765:1415:275
may	47622:55778:1087:341
lee,"	48915:55752:1395:341
story	50967:55765:1251:315
love	43601:56225:1025:275
and	51993:60466:902:288 44852:56199:923:275
lynching.	46042:56212:2318:341
sang	50659:56238:1190:288
haunting	43601:56593:2256:328
last	46206:56579:882:275
lines	47458:56593:1128:262
heroine,	50843:56579:1990:315
"you	43642:57013:1313:262
got	45283:57052:759:302
my	46371:57092:800:262
body	47499:57013:1190:354 45406:57433:1251:354
tonight/i'll	49038:57000:2728:354
get	52095:57026:779:328
your	43601:57512:1210:275
tomorrow."	47232:57446:3180:288
recalled	43601:57879:2051:262
favorite	43601:58313:2154:275
poet	48710:58352:1107:315
langston	50413:58326:2421:328
hughes.	43601:58746:2031:328
poetess	45714:59652:2092:315
concluded	48340:59613:2852:302
with	51705:59639:1190:262
several	43642:61359:1887:275 43662:60059:1826:275
shorter	45714:60072:1826:262
poems	47766:60151:1620:262
including	49612:60059:2318:341
witty	43662:60505:1272:341
"kitchenette	45406:60505:3241:275
building",	49099:60479:2482:354
rythmic	45057:60939:2092:328
"we	47786:60952:1128:249 51849:62646:1046:288
real	49469:60926:1169:275
cool."	51233:60899:1661:288
times	45960:61372:1395:262
during	47745:61359:1661:354
commented	46781:61792:3426:288
misreadings	43642:62212:3139:354
poetry	48689:62265:1600:315
critics	51315:62212:1579:288
who,	43621:62672:1169:328
for	45016:62659:718:275
example,	45940:62672:2318:341
took	48484:62659:1046:288
line	50700:62659:923:275
jazz"	43621:63105:1354:354
latter	46986:63105:1395:275
carry	50967:63158:1395:275
sexual	43642:63539:1641:275
meaning.	45488:63552:2339:328
ydn-garyglasser	49325:39575:3611:210
free	33300:39904:1661:262
at	35229:39904:718:262 38389:41676:492:236 41795:40350:471:236
last?—gwendolyn	36194:39890:5109:341
brooks,	41590:39877:1887:302
pulitzer-prize	43724:39877:3508:341
winning	47458:39877:2010:354
poetess	49694:39917:1846:315
and	51767:39890:923:275 33280:41203:923:262
poet	33300:40337:1128:262
laureate	34716:40337:2318:262
of	37260:40337:471:262 52218:40324:471:275 49120:40757:492:275
illinois,	37999:40324:1867:302
spoke	40133:40324:1436:341
yale	42554:40311:1149:275
art	43949:40324:800:249
gallery	45016:40311:1887:341
last	47171:40324:923:262
night	48340:40311:1272:341
in	49859:40311:430:275
honor	50556:40324:1436:275
mai	33321:40783:923:249
tin	34408:40783:595:249
luther	35311:40770:1703:275 40708:41203:1682:262
king,	37260:40770:1333:341
jr.'s	38840:40783:1149:249
birthday.	40215:40757:2339:341
brooks	42821:40744:1723:275
read	44791:40744:1128:275
a	46165:40823:266:183
selection	46658:40744:2236:275
her	49818:40757:820:275
poems	50864:40823:1620:275
commented,	34429:41203:3139:302
"if	37835:41217:697:249
martin	38738:41203:1703:262
king	42595:41190:1210:341
returned	43990:41190:2195:262
from	46391:41190:1210:262
his	47807:41190:718:262
freedom	48730:41190:2133:275
...	51090:41400:800:65
he	52095:41203:574:262
would	33300:41650:1497:262
not	35003:41676:779:236
cry	35988:41729:820:249
'free	37035:41650:1169:262
last.'	39087:41663:1272:249
"	40584:41663:287:105
ydn-garyglasser	49325:39575:3611:210
free	33300:39904:1661:262
at	35229:39904:718:262 38389:41676:492:236 41795:40350:471:236
last?—gwendolyn	36194:39890:5109:341
brooks,	41590:39877:1887:302
pulitzer-prize	43724:39877:3508:341
winning	47458:39877:2010:354
poetess	49694:39917:1846:315
and	51767:39890:923:275 33280:41203:923:262
poet	33300:40337:1128:262
laureate	34716:40337:2318:262
of	37260:40337:471:262 52218:40324:471:275 49120:40757:492:275
illinois,	37999:40324:1867:302
spoke	40133:40324:1436:341
yale	42554:40311:1149:275
art	43949:40324:800:249
gallery	45016:40311:1887:341
last	47171:40324:923:262
night	48340:40311:1272:341
in	49859:40311:430:275
honor	50556:40324:1436:275
mai	33321:40783:923:249
tin	34408:40783:595:249
luther	35311:40770:1703:275 40708:41203:1682:262
king,	37260:40770:1333:341
jr.'s	38840:40783:1149:249
birthday.	40215:40757:2339:341
brooks	42821:40744:1723:275
read	44791:40744:1128:275
a	46165:40823:266:183
selection	46658:40744:2236:275
her	49818:40757:820:275
poems	50864:40823:1620:275
commented,	34429:41203:3139:302
"if	37835:41217:697:249
martin	38738:41203:1703:262
king	42595:41190:1210:341
returned	43990:41190:2195:262
from	46391:41190:1210:262
his	47807:41190:718:262
freedom	48730:41190:2133:275
...	51090:41400:800:65
he	52095:41203:574:262
would	33300:41650:1497:262
not	35003:41676:779:236
cry	35988:41729:820:249
'free	37035:41650:1169:262
last.'	39087:41663:1272:249
"	40584:41663:287:105
union	43334:7615:5765:1076
talks	49612:7628:4144:1089
continue,	54270:7642:8227:1313
appear	43395:9467:6770:997
to	51008:9243:1908:984
progress	53819:9493:8268:1037
pension,	43334:10911:5067:827
dental	48874:10911:3734:709
plan	52711:10911:2708:866
seem	55727:11161:2954:512
settled	58969:10964:3877:722
by	43457:12132:656:315
lynn	44729:12132:1620:249
oberlander	46966:12132:4226:275
and	51767:12172:902:249
deborah	43457:12552:2831:262
yaffe	46555:12552:2010:262
yale	43949:12986:1169:262
and	46247:26523:902:275 48422:20405:923:275 50023:13432:923:288 45283:12986:923:275 43334:24304:902:288 46063:13865:902:275
local	46412:12986:1354:288 43847:26510:1395:262 50454:17371:1374:288 46801:15165:1354:288 50515:20877:1374:275 43888:18645:1538:275
34	45509:26537:492:249 47971:13012:492:262
reportedly	48648:13012:2667:341 43313:26944:2667:354
have	51480:13012:1190:275 49756:15179:1210:275 51377:26550:1231:275
agreed	43436:13419:1703:328 46432:26957:1764:341
on	50987:20510:574:196 45365:13498:574:196 48648:27049:574:196
a	46145:13498:246:196 48012:24856:266:196 44196:20457:266:196 51151:13524:246:196 44688:22203:266:210 46863:20903:266:210
pension	46617:13432:1928:341
plan	48771:13432:1046:354
dental	51644:13445:779:275 43416:13852:615:262
plan,	44442:13852:1210:354
according	47355:13865:2523:354
to	50248:13905:451:249 46740:23044:451:249 47909:23924:451:249
yale's	51110:13879:1559:275
director	43416:14286:2174:275
of	47704:20391:451:288 46104:14299:471:262 46186:20825:471:288 45468:27377:471:275
employee	47089:14299:2626:354
relations	50248:14312:2421:288
donald	43395:14719:1805:275
stevens,	45488:14732:2092:328
continued	47889:14745:2462:275
negotiations	50638:14758:1785:341 43395:15152:1190:275 46042:25657:3057:328
with	45139:15165:1107:275
35	52034:17398:471:262 48751:15205:471:249 52136:20890:492:262
been	49305:19971:1149:288 51500:15179:1169:288
scheduled	43375:15586:2544:288 48935:19105:2503:288
for	46391:15599:697:288 51931:19118:697:288
next	47561:15638:1087:249
monday,	49120:15612:2174:354
two	49694:26983:882:275 51787:15651:882:262
days	43375:16019:1190:354
after	44852:16032:1231:275
the	51849:20431:779:275 46165:27390:759:275 47417:26537:779:262 46391:16032:759:288 51828:24803:779:275 44688:21691:800:288
union's	47437:16045:1785:275
contract	49510:16085:2113:249
expires.	43354:16465:1436:341 51931:16150:492:183
although	43888:16872:2298:354
neither	46432:16912:1785:262
side	48463:16912:1005:288
would	49694:16925:1477:275 49818:24344:1518:288
comment	43354:17332:1313:262 51418:17017:943:210
in	44832:17319:451:275
detail	45468:17319:1415:288
upon	47089:17411:1190:275
today's	48443:17345:1826:354
negotiations,	43375:17778:3262:341
stevens	47007:17778:1928:288
said,	49284:17792:1190:341
"we're	50843:17818:1785:275
progressing."	43375:18212:3508:341
35's	46022:18645:1025:275
full	47643:18658:902:275
membership	49120:18684:3508:354
meeting,	43354:19078:2236:328
which	46104:19078:1456:288
is	48074:19091:389:275 52218:22610:389:275
tonight	43354:19498:1908:341
at	45817:19525:471:262
new	46904:19525:1128:262
haven's	48587:19538:2154:288
first	51295:19538:1333:302
methodist	43375:19945:2503:275
church,	46063:19958:1969:341
had	48217:19958:882:288
planned	50618:19984:2010:341
as	43334:20457:553:196
discussion	44791:20378:2605:302
vote	49653:20457:1046:249
possibility	43334:20812:2605:367
strike.	47376:20838:1579:288
but	49407:20864:882:275
president	43334:21258:2482:288
george	46104:21271:1826:354
conte	43334:23438:451:275 51480:23044:861:288 48197:21284:1436:288 43847:23871:1436:288
said	49900:21297:1025:275
today	51213:21297:1415:354
that	44585:25631:1005:275 48197:22597:984:275 43334:21691:1025:275
meeting	45817:21718:2051:341
may	48197:21809:1128:262
not	49674:21757:759:262 45324:22597:738:249
involve	50782:21744:1846:275
such	43334:22125:1128:288
vote.	45180:22151:1190:262
"i'm	43888:22558:1190:288
sure	46288:22650:1128:210
if	51028:25223:348:275 47622:22584:348:275
(the	49448:22610:1005:275
vote)	50679:22624:1251:262
what's	43334:22991:1661:288
going	51233:25683:1374:341 45180:23004:1374:354
be	47417:23018:553:275
happening,"	48156:23031:3118:354
said.	43990:23438:1169:275
declined	45550:23871:2092:288
say	48607:23989:861:262
whether	49694:23910:2113:275
he	52034:23924:574:275
other	44503:24317:1333:275
union	46083:24331:1333:275
leaders	47704:24331:1846:288
consider	43313:24738:1272:288 51582:24436:779:196
postponing	44914:24777:2749:341
strike	48628:24790:1477:275
past	50454:24803:1025:341
midnight	43313:25184:2298:354
january	45776:25210:2092:341
18	48094:25250:451:236
deadline	48689:25210:2154:288
they	51521:25237:1066:354
felt	43313:25617:820:275
were	49551:25736:1231:210
well.	43313:26064:1169:275
university	48443:26537:2687:354
major	51028:26983:1559:354
aspects	43313:27403:1887:315
benefit	47171:27390:1744:302
package.	49161:27377:2256:380
an	51910:27416:656:275
article	53490:23018:1641:288
in	53490:23897:451:275 54044:25644:471:275 55501:23018:451:275
yesterday's	56322:23018:2913:341
new	59605:23044:1107:249
haven	61082:23044:1620:249
register	58210:25657:2133:328 53490:23477:2154:315
reported	55953:23451:2154:354
that	61800:30423:1025:275 55768:31763:984:262 58394:23451:984:275
an	59666:23516:615:210
increase	60569:23451:2154:275
the	59646:32170:759:288 57348:28690:779:275 56137:30436:759:275 60713:23884:779:275 57204:25631:759:288 53531:27377:759:275 54106:23884:779:288 61985:25552:759:354
current	55070:23910:1867:262
multiplier	57122:23884:2523:354
for	59830:23884:718:288 53511:26944:718:275 56342:24751:718:288 56978:29570:800:275
pension	61657:23950:800:275 53490:24331:1169:275
and	55296:24317:1025:288 57286:29123:1005:275 61862:27797:923:288 61944:32156:943:288
imporved	56937:24317:2790:367
medical	60343:24317:2359:288
coverage	53490:24830:2339:288
retirees	57594:24764:1969:275
had	60097:24751:923:288
been	61554:24751:1149:275
agreed	53490:25184:1764:367
upon	55440:25276:1210:275
by	62170:26930:574:354 56855:25197:595:354
two	57656:25210:861:275 53490:26103:902:249
sides.	58722:25184:1395:302
addition,	54742:25631:2215:328
said,	60569:25631:1169:328
sides	54701:26064:1251:288
have	56281:26077:1169:275
settled	57758:26064:1661:288 56260:30870:1703:275
on	59728:26143:553:210
a	56958:31828:266:183 60610:26129:246:210
dental	61164:26064:1579:275
plan	53511:26510:1066:354
including	54906:26497:2318:354
100	57573:26537:697:236
percent	58497:27390:1908:341 58558:26523:1887:328 54229:28283:1908:328
of	55829:32629:451:275 60733:26497:471:288 56671:28703:471:262 60692:27364:471:288 56322:28257:471:275
costs	61513:26510:1231:275
more	54393:27009:1313:210
preventive	55870:26944:2708:354
care	58722:27009:1107:210
covered	59995:26930:2010:288
university,	54598:27377:2831:354
80	57738:27403:492:249
some	61431:27443:1354:210
procedures	53511:27810:2831:354
like	56527:27810:923:275
root	57594:27836:984:249
canal	58743:27810:1354:275
work,	60282:27797:1395:341
50	53531:28283:512:249
periodontal	56999:28243:2852:354
costs.	60077:28270:1415:262
mernbers	54044:28690:2400:288
union	58333:28690:1354:275 53593:32209:1374:262
negotiating	59913:28677:2872:354
committee	53572:29136:3118:288
yale's	58866:29123:1846:275
vice-	61308:29110:1497:288
president	53552:29465:2872:393
administration.	58292:29557:4513:341
michael	53593:30016:1990:367
finnerty	55768:30016:2236:328
refused	58168:29990:1867:288
to	60200:30016:451:249
confirm	60795:29990:2010:275
or	53572:30528:492:196
deny	54516:30436:1190:354
reports,	57348:30463:1949:328
saying	59728:30423:1661:354
nothing	53593:30883:1887:341
is	55665:30883:410:262 60056:30870:389:262
until	58168:30870:1107:275
it	59502:30870:328:275
signed.	60631:30843:1805:367
but	54085:31329:902:262
local	55419:31316:1354:275
34	57204:31342:471:236
members	58066:31303:2380:275
are	60856:31369:841:196
optimistic	53593:31763:1928:275 62108:31355:512:288
settlement	57450:31749:2687:262
with	60343:31736:1087:275
their	61636:31723:1231:288
can	55111:32275:923:183
be	56219:32196:553:275
reached	56958:32170:2010:288
if	59153:32170:328:275
pace	60610:32235:1149:288
success	53613:32708:1908:196
recent	56568:32642:1579:249
negotiations	58456:32603:3077:354
continue	61841:32669:800:210 53634:33076:1231:262
ydn	59871:21481:882:183
tim	60959:21481:759:170
vaser,	61862:21481:1066:170
michael	55337:21967:2687:249
finnerty	58251:21941:3077:275
ydn	59871:21481:882:183
tim	60959:21481:759:170
vaser,	61862:21481:1066:170
michael	55337:21967:2687:249
finnerty	58251:21941:3077:275
columbia	53470:34139:5786:735
c&ts	59748:34113:3406:722
plan	53634:35321:2810:866
strike;	57040:35308:4062:840
cite	53613:36411:2236:709
resistance	56465:36398:6340:722
to	53613:37579:1272:643
union	55501:37514:3795:709
vote	59892:37540:2769:669
by	53860:38801:636:315
liese	54742:38787:1723:262
klein	56691:38787:1826:249
support	54250:39273:1990:341
staff	56404:39247:1149:288
employees	60323:42713:2708:367 57717:39247:2687:341
at	57204:41006:492:262 60569:39247:492:262 58517:48425:512:249
columbia	57697:42727:2421:288 53737:39693:759:275 61226:39234:1518:275 57717:47506:2400:302
university	58599:45786:2667:341 54968:39693:2667:328 53860:52785:2667:341
met	58086:39693:964:262
last	59502:39667:923:288
night	60836:39667:1292:354
to	57512:43199:451:249 57471:46246:430:249 61616:45366:451:262 62580:39680:430:262 59276:44486:471:262
determine	53737:40127:2605:288
the	62354:52745:779:275 56609:40127:759:262 60179:44027:779:288 59276:46219:759:275 56753:53218:759:275 53737:41006:779:275 62272:44447:779:288 56732:47546:779:262 59605:40547:779:275 60754:50579:779:275 56712:42740:779:275 57163:50159:779:275 62334:49699:800:275 62170:52299:964:288 61267:53192:759:275 57307:46640:759:275 62087:43134:943:288 57245:52338:759:275
date	57635:40114:1087:275
of	53737:41873:471:288 62559:40521:471:288 60015:50579:471:275 60118:49266:492:288 56055:53218:471:288 58969:40114:471:275 56158:50172:451:275 56445:45366:471:275 55727:44933:471:275
an	59666:40179:615:210 57532:51984:595:183 59523:48031:595:210 59153:51091:595:196
upcoming	60528:40100:2503:354
strike	53737:40560:1456:288
and	55440:40547:923:288 55932:52338:902:288 62128:43567:943:302
announced	56609:40534:2728:302
results	53778:44946:1703:275 60610:40534:1723:288
meeting	54824:41006:2072:328
a	61451:48465:287:210 58004:41072:266:196 62744:44972:287:196 56424:45011:266:183 59625:43239:287:196
press	58599:41059:1354:275
conference	60241:40980:2790:288
tuesday	53737:41427:2154:354
morning.	56117:41440:2298:341
representatives	58866:41414:4144:367
yale's	54414:41873:1600:275
local	56219:41873:1415:275
34	57840:41886:492:262
were	58517:41939:1251:196
present.	59954:41873:2051:341
united	54270:42306:1703:288
auto	56137:42306:1190:275
workers	57512:42293:2154:288 57327:45353:2051:275
district	59851:42280:1949:288 56342:49725:1949:275
65	61964:42306:512:249 59256:50605:492:249
is	61595:45773:410:275 62621:42267:410:288
supporting	53737:42753:2749:354
in	58538:51025:430:262 60384:44919:430:262 53757:43199:451:275
their	54434:43186:1231:275
effort	55870:43186:1395:275
form	58189:43173:1210:275
union.	60118:43160:1538:288
1100	53778:43646:1005:249
workers,	55111:43619:2236:328
mainly	57717:43606:1785:341
clerical	59851:43580:1928:302 58312:46613:1928:288
technical,	53757:44053:2482:328
are	56424:44118:841:210 55850:48058:841:210
protesting	57409:44040:2605:354
university's	53757:44486:1354:367 61123:44027:1661:288
decision	55563:44486:2051:275
not	58045:44499:800:249
accept	60179:44486:1661:328
1983	56958:44946:984:249
election	58168:44906:1949:275 58476:51892:1969:275 57738:53205:1990:275
which	61062:44893:1477:288
majority	53778:45379:2236:341
voted	59810:45340:1395:288
be	62477:45326:595:275
unionized:	53798:45799:2544:302
"the	57019:45786:1231:275
obviously	62293:45760:512:302 53819:46246:1764:341
trying	55768:46246:1518:328
stop	58045:46246:1046:302
union	61698:47033:1374:302 60302:46219:1374:288
from	61821:46206:1231:288
representing	53819:46666:3221:367
workers,"	60508:46587:2544:341
said	53819:47099:1046:302
jeremy	55296:47112:1928:315
feldman	55563:48845:2256:288 57697:47047:2277:315
'85,	60467:47047:779:341
analyst	53798:47559:1867:341
for	55337:49738:697:275 55440:51472:697:275 55850:47546:718:275
spectator.	60323:47519:2564:354
"they	53860:47992:1559:341
running	57102:47966:1969:341
emotional	60549:47926:2523:315
campaign	53819:48425:2503:354
aimed	56650:48399:1559:288
forcing	59338:48399:1805:341
conflict,"	53839:48859:1477:341 62026:48452:800:210
said.	58045:48832:1149:288
kitty	54332:49292:1292:354
krupat,	55788:49292:1949:354
director	57922:49279:2051:275
public	60754:49253:1518:380
affairs	62436:49253:451:275 53839:49738:1149:288
65,	58599:49738:636:302
explained	59543:49686:2503:380
history	53839:50172:1764:354
would-be	58476:50145:2298:288
union's	61287:50132:1826:288
struggle:	53839:50605:2277:354
