am	8276:2836:6769:1689
on	2721:48442:562:196 11222:35317:584:181 5195:23745:607:196
schedule.	7871:23670:2248:286
opening	10907:23670:2114:362
season	2451:34306:1619:196 9715:39616:1619:211 2293:24213:1619:211
against	4273:24123:1821:362
of	4857:42965:472:286 12504:43478:472:286 5015:36629:494:286 6364:28935:494:301 1101:35166:494:286 7803:39511:472:301 4947:39993:494:286 1079:40944:494:286 11424:43946:494:301 10929:27034:517:301 8118:40491:494:271 10660:24168:494:271 5262:42498:494:271 10907:39043:494:301
pennsylvania,	1146:24590:2226:346 11537:24168:1191:316
cadets	4857:24620:1551:286
scored	10007:48381:1596:271 6769:24635:1596:286
an	8726:24726:562:196
easy	9670:24726:1057:256
victory,	11064:24635:1956:362 4812:27970:1934:362
15-2.	1214:25073:1124:286
after	3103:25088:1394:286
washington	7646:25103:3103:362
square	11267:25118:1754:362
fencer's	10795:38575:2114:301 10840:40008:2136:316 1191:25556:2091:286
club	9423:27034:1169:301 1124:39013:1169:301 9400:39028:1146:301 3688:25571:1146:286
was	5195:25661:967:196 8815:38168:967:211 2676:26612:967:211 4970:28558:967:196 2721:50358:967:196 1146:27095:944:196
14-13,	3463:26054:1394:346
and	4902:32797:899:286 2653:39028:899:286 7354:30398:899:286 8905:28000:877:286 1101:49317:854:271 5195:26069:877:271 3823:43448:899:301 3463:34698:877:301
following	7421:26069:2428:346
week	10142:26084:1281:286
harvard	2968:49784:2226:301 6139:38062:2203:301 1146:26506:1146:301 11739:26084:967:286
overcome,	4048:26627:2541:256
11-6.	7061:26536:1124:301
next	10300:26597:1124:241
with	1686:28920:1326:301 11807:34245:1124:301 3193:45364:1124:301 2473:27004:1101:286 11807:33280:1124:301
sanford	5060:39028:2001:301 5082:27004:2024:316
saltus	7444:39028:1574:301 7489:27019:1551:301
new	7286:39993:1146:301 11784:39058:1191:286 7061:38560:1191:286 11807:27049:1191:286
york,	1079:39496:1461:346 1146:27472:1439:362
again	9490:42015:1371:362 11627:27517:1394:362
registering	1124:27954:2811:377
16-11,	7129:27985:1416:346
saturday	11357:28000:1349:301 1101:28452:877:331
columbia	2293:28437:2406:316
beaten,	6184:28452:1754:362
10-7.	8253:28467:1146:286 7961:47868:1124:286
string	4565:28935:1506:362
victories	12009:48366:719:286 7151:28935:2136:316 1101:48834:1394:286
behind	9625:28950:1664:301
'them,	11492:28950:1461:377
are	6679:29523:764:196
certain	7848:29433:1754:316
furnish	11154:29433:1821:316
strong	1101:29916:1619:331
opposition	3013:29886:2608:362
today's	6679:29916:1754:331
meet.	8726:29976:1304:226
breckenridge,	10660:29916:2024:301 1101:30368:1416:362
quill,	2878:30353:1416:362
hinrichs,	1101:53722:1349:346 11717:53254:899:301 4655:30368:2361:377
sands	8591:30398:1484:286 2788:31334:1484:301
fenced	11357:30414:1596:286
intercollegiates	7668:30866:3935:377
winning	4992:31334:2069:362
individual	8928:31349:2496:316
epee	11874:31470:1079:256 7286:32888:1079:256 1641:57162:1236:377 3081:35271:1079:256
championship.	1101:31801:3575:362 6117:33748:3575:362
addition	6117:31832:2046:286
this,	9220:31832:1012:362
three-weapon	7534:32314:3463:362
championship-	1057:32767:3665:362
team.	8703:32767:1416:392 8298:42558:1304:226
championship,	10277:32812:2361:346 1101:33250:1124:346
as	4947:38636:494:196 1686:36614:652:286 2541:38636:517:196 12414:50976:494:181 12391:55381:494:196 4722:33355:494:196 2563:33340:494:196 5959:40567:494:196
tying	5577:33250:1304:377
second	8231:33280:1686:301
place	10210:33280:1281:362
foil	4835:33733:832:301
breckenridge	4497:34215:3440:362
starred	9603:34245:1799:301
foils	2136:34683:1057:301 11897:49815:1057:286 1101:42000:1079:286
hinrichs	4632:34698:2226:301
mainstay	10682:34728:2248:346
team,	6679:46918:1551:331 4520:35226:1326:301
although	6252:35181:2203:377
no	8838:35302:584:196
man	9783:35302:1057:196
had	3800:35664:899:286
perfect	5622:35664:1754:346
recard,	7691:35679:1754:346
each	9783:35694:1124:286
least	5824:36146:1169:286
twice.	7331:36146:1461:301
result	3261:36614:1439:301
10-7	7331:36629:1034:286
over	10772:36750:1101:181 2923:48924:1124:211
navy	1124:37082:1371:362
saturday,	4250:37097:2428:362
eli	8298:37112:764:301 7196:42498:742:271
fencers,	9468:37112:1934:362
likewise,	1101:37580:1214:331 11829:37097:899:331
college	11199:37610:1731:362
year.	4115:38168:1236:241
conquered,	10232:38108:2676:331
11-6	1101:38530:1012:301
haven	8681:38560:1686:286
defeat	5937:39511:1506:301 9693:49332:1529:286
came	11649:39631:1281:196
hands	3103:39993:1461:286
york	8815:39993:1349:301
club,	1124:40461:1304:346
recognized	2833:40461:2743:362
best	10142:40491:1012:301
country.	7039:41004:2069:316
captain	1686:41517:1956:346
d.	4003:41517:607:301
every,	5060:41517:1641:362 5442:51806:1641:346
1928,	7444:41532:1191:331
intercollegiate	7668:45862:3598:362 9333:41532:3598:377 2226:44881:3710:362
champion	2563:42000:2428:346
proved	11222:42030:1754:362
stay	3913:42543:1012:286
lost	5375:47386:899:286 1124:42965:877:286
his	9468:43463:697:286 5644:44414:697:286 5644:42965:697:286 12234:43946:697:301
fourteen	6679:42965:2091:301
matches	9085:42996:2024:286
so	11424:43086:517:196
is	11672:55276:359:301 11739:50871:337:286 5105:43433:359:301
out	10322:43991:809:256 5824:43493:787:256
equal	7803:43463:1281:346
when	3710:43916:1349:301
he	5375:43931:562:301 9783:44911:539:286
forty-five	7624:43931:2406:362
forty-six	1124:44399:2226:346
bouts,	3755:44414:1461:331
setback	8028:44414:1866:301
coming	10277:44429:1844:362
meet,	6252:44896:1394:346
which	7961:44896:1506:286 7668:49799:1506:286 8613:46918:1506:286
eventually	1101:45364:449:362 10660:44911:2069:286
overshadowed	8433:45394:3598:286
other	4902:48351:1281:286 1101:45847:1326:301
performances	2856:45847:3440:362
competition.	1124:46330:2024:346 11717:45983:944:181
plebe	4925:46918:1394:286
freshmen,	11289:47899:1371:286 2293:47386:2653:346 1101:48442:1169:241
its	6679:47386:584:286
milford	3216:47868:1979:286
school,	5667:47868:1799:346
hand,	6634:48351:1349:346
choate,	4475:48834:1911:331
10-7,	6836:48834:1169:346
brunswick,	8456:48834:2856:362
14-3,	11784:48849:1146:346
roxbury,	2361:49317:2383:346
13-4,	5195:49317:1124:346
being	11582:49332:1371:362
engaged.	4070:50267:2203:362
line-up	2968:50825:1754:362 2968:55246:1731:362
follows	1124:51323:1821:286
:	5262:58127:337:377 6229:52274:202:377 3103:51414:112:196 4970:51806:247:362
foils—yale	1709:51806:3036:286
fleming,	7489:51806:2226:346
overstreet,	10120:51821:2833:346
righeimer.	1146:52274:2788:362
breckinridge,	6634:52289:3440:362
brownlee.	10412:52304:2541:301
quill.	1124:52756:1416:362
epee—yale:	1664:53239:3261:362
hill,	5330:53239:1146:346
wright.	6859:53239:2046:362
army:	11177:54235:1709:346 11154:58127:1731:377 1079:57659:1889:346 1057:56679:1799:362 9580:53254:1709:362
sands.	2833:53722:1619:286
sabre—yale:	1709:54205:3463:286
blossom,	5599:54205:2248:346
nusbaum.	8276:54220:2496:286
giddings,	1079:54672:2361:362
goodrich.	3868:54672:2451:301
freshman	7286:55261:2496:301
follows:	1057:55743:2046:286
foils—yale:	1641:56211:3553:362
hubby,	5689:56211:1844:346
nicklis,	8276:56211:1911:362
terrell.	10929:56241:1934:286
chandler,	3171:56679:2428:346
farris,	5937:56679:1731:362
wise.	8006:56694:1439:301
—yale:	2878:57162:2046:316
wickes,	5352:57162:2024:362
williams,	7803:57162:2451:362
withers.	10660:57192:2226:301
howze,	3328:57659:1911:331
magee.	5712:57659:1821:331
sabre—yale	1709:58127:3216:301
hope,	5937:58127:1484:362
tanner.	8163:58142:1979:286
nixdorff,	1057:58610:2406:331
smart.	3868:58610:1709:301
yale	2451:59862:1191:271
man	4025:59862:1169:271
to	5599:59907:472:226
tour	6499:59862:1326:271
in	8231:59877:472:256
airplane	9108:59862:2361:331
louis	1641:60616:1394:286
henri	3373:60601:1484:286
jacques	5172:60616:1956:346
desibour,	7466:60616:2563:346
1923,	10412:60616:1191:346
will	10120:63483:944:301 11942:60631:922:271 3418:62532:899:286
start	1057:61144:1124:241
on	2541:61190:584:196
a	10525:62155:269:196 11267:61205:269:196 3508:61190:269:196
trip	4138:61084:899:346
around	5397:61099:1754:286
the	5667:63483:764:286 7534:61099:742:286 6049:63000:989:301 1979:63015:719:301 1057:63498:719:286
world	8636:61099:1484:301
in	10502:61084:427:301
tiny	11874:61099:989:362
"moth"	1057:61567:1799:301
airplane,	3305:61567:2181:346
it	5937:61567:337:286 12526:63498:337:301
was	6656:61657:967:211
announced	8028:61582:2676:286
yesterday.	11109:61642:1506:286 1057:62065:989:331
mr.	2788:62050:944:286
desibour's	4205:62050:2811:286
wife,	7466:62050:1191:346
also	9108:62065:989:271
skilled	11244:62065:1619:301
aviator,	1057:62532:1866:346
accompany	4790:62623:2743:256
him,	8006:62532:1057:331
taking	9513:62532:1596:362
turns	11537:62593:1304:241
at	1057:63075:472:226
controls.	3171:63000:2136:301
couple	7489:63000:1596:362
are	9535:63106:764:196
shipping	10772:63015:2091:362
plane	2136:63483:1304:362
across	3778:63573:1551:196
pacific,	6791:63483:1866:331
but	8995:63483:809:286
use	11379:63603:787:196
for	1057:63981:697:271
transportation	2069:63966:3643:346
afterwards.	6027:63966:2856:286
henry	15113:15674:2136:286
sloane	17699:15674:2473:271
coffin,	20645:15659:2406:316
'97,	23524:15659:989:316
who	14798:16202:1236:301
will	16417:16217:944:286
conduct	17946:16217:2114:286
a	20623:16338:269:150
series	21275:16232:1484:271
of	23299:16202:494:286
religious	24198:16338:472:150 14820:16594:1731:346
meetings	16934:16625:2361:316
from	19678:16594:1236:286
march	21320:16594:1709:286
1	23861:16594:292:346 23299:16594:292:346
to	24423:16670:472:196
14.	14888:16987:697:286
general	13943:18495:3013:346
c.	17272:18495:562:346
h.	18171:18510:584:331
sherrill,	19093:18495:3395:422
'89,	22827:18480:989:437
champions	16035:19069:3868:346
college	20308:19069:2901:346
sport	23659:19054:2091:362
former	13943:20064:2001:271
captain	16529:20049:2136:346
of	17811:20532:517:286 19251:20049:517:286
track	20173:20049:1619:286
and	22197:20034:989:301
present	23749:20049:2024:286
member	15180:20532:2203:286
olympic	18733:20532:2293:346
committee,	21455:20532:3103:316
discredits	17047:21000:2698:286
statistics.	20105:21000:2541:286
track	19251:44896:1574:286 14505:21965:1574:286 17991:25299:1326:286 24176:40582:1506:286 19431:23866:1551:301
has	16484:21965:832:286
been	15922:39646:1124:271 17744:21965:1124:286 17137:45847:1101:301
and	15450:47748:877:301 18846:34381:877:286 15585:41080:877:286 18509:37730:899:286 18891:22433:877:301 24806:43478:877:271 16754:49196:854:286 21207:38198:877:286 20038:26250:877:301 24873:23881:877:286 19318:21965:877:286
still	20623:21965:944:286
is	21994:21965:382:286 22129:30067:359:286 21365:26250:359:286
one	22827:22056:854:196
of	24086:21965:494:286 16147:37248:472:286 18598:23866:494:301 18351:24349:494:286 16372:48246:472:271 13853:31998:472:286 15427:32480:494:271 18306:49664:494:301 21522:34366:472:301 25210:33416:472:271 15810:44896:472:286 16372:44414:472:286 15382:34381:494:286 25188:46827:494:271 22264:40582:494:286 19948:35332:472:286 20533:38666:472:301
the	19093:49664:764:301 18239:27683:742:301 15337:32948:742:301 16147:34381:764:286 19206:24349:742:286 16372:29599:764:301 23344:25299:764:286 19678:37715:764:286 24941:35799:742:286 24941:43946:742:286 21072:45379:764:286 24941:36750:742:286 19296:45847:742:301 23096:31500:764:286 23524:33898:764:271 17024:31515:764:286 23051:40582:764:301 25008:21965:764:286 18351:26748:764:271 18981:41080:742:271 13876:37730:719:286 22332:24832:742:271 13876:28166:764:301 19228:47763:764:301 24918:32933:764:286 17317:44414:742:301 18036:48713:742:286 19386:22916:787:301
most	16822:49724:1169:241 20015:34411:1191:256 13943:22493:1214:241 24558:25345:1191:241
interesting	15652:22433:2721:362
important	20330:22433:2473:346
sports	23321:22493:1484:301
at	15877:29176:449:241 25323:22508:449:211 16035:49724:472:226 17609:32043:472:241 21095:24877:472:226 17249:48774:427:226
vale,	13966:22916:1281:316
according	15652:22916:2473:346
to	23119:37293:472:226 15405:35392:472:241 15337:46843:449:241 16664:47823:472:226 20375:30595:472:241 17586:34909:472:241 18509:22961:494:241
following	20578:22916:2383:346
statement	23366:22961:2406:241
made	13921:23413:1304:271
yesterday	15495:23413:2406:331
by	18149:23398:584:346
general	19003:23398:1956:286 13943:24832:1934:286
charles	21252:23383:1911:301
h.	23456:23398:607:271
sherrill,	13921:23866:854:346 24378:23398:1124:286
'89,	24873:36267:809:346 15158:23866:787:346
captain	19993:40582:1956:346 16327:23866:1934:362
in	22714:33883:427:301 17519:39631:472:286 13876:38198:404:301 21342:23866:449:286 16754:41547:517:286 18576:45847:404:286 25278:27668:449:301 18149:45379:449:271 25188:40099:494:286
that	22107:23866:989:301 16552:25299:989:286 21635:31500:989:301
year	14910:42121:1079:256 16754:40687:1101:256 23456:23957:1079:256
now	13921:24454:1057:196
a	17609:46903:247:181 22107:39254:292:181 25480:25873:269:196 18666:38771:269:196 13853:43554:269:196 22242:39722:292:196 22422:38289:269:196 15337:24454:269:181
member	15990:24349:2001:286
olympic	20353:24334:2114:362
committee.	22894:24334:2856:301
sherrill	16439:24832:1934:286
scoffs	18913:24832:1394:286
damning	23591:24817:2181:346
statistics	19858:28166:2181:286 21815:49664:2181:316 13898:25299:2203:301
athletes	19745:25299:1934:286 13876:28648:1889:286
are	23524:49302:787:196 24918:48834:764:181 22129:25405:787:181
unintelligent	13898:25782:3193:346
undergraduates.	17744:25782:4070:346
he	22467:25767:764:301 19431:37248:764:286 23209:37715:562:286
was	18733:40687:944:196 23906:25873:922:196 22827:45002:944:181 19228:39254:922:181 21994:41638:922:196
great	13898:26310:1304:301
athlete	15630:26250:1686:301
himself	17744:26250:1866:301
credited	22174:26250:2024:301
with	19251:34849:1146:301 13853:32948:1101:301 24603:26250:1146:286
having	13898:26732:1709:346
invented	15945:26732:2091:301
crouch	19453:26748:1686:271
start	21477:26778:1169:241
for	22961:26732:742:286 24941:37233:742:286 16552:43463:719:286 16170:48713:697:286
sprinters.	13898:27321:854:181 24063:26732:1416:346
"i	14460:27683:472:301
am	23344:46420:719:196 15270:27789:719:196
taking	16327:27683:1551:362
same	19341:27789:1214:196 22152:45470:1214:196
amused	20847:27683:1889:301
interest	23074:27668:1866:316
recently	14888:28166:2024:346
published	17204:28166:2361:346
about	24311:49679:1371:301 22332:28166:1371:286
college	13876:50146:1709:346 23974:28166:1731:331 18464:39631:1731:346
producing	16125:28648:2518:346
nothing	18981:28648:1911:346
but	19453:30082:787:271 21207:28648:787:271 24918:39631:764:286
decayed	22332:28648:1979:346
gentlemen	24603:28739:832:256 13853:29131:1664:286
an	16687:29222:562:196
early	17609:29116:1236:362
age	19206:29222:832:256
after	20375:29116:1191:301 23389:36750:1191:301 19633:42980:1169:286
graduation.	21904:29101:2901:362
i	24086:42996:179:256 18194:40582:179:286 22827:46330:157:286 15068:39164:179:271 13898:38681:157:286 18868:48246:202:271 13876:39646:202:271 25480:29101:202:301
have	13853:29599:1146:301
not	15292:29659:787:241
mathematical	17429:29584:3395:301
brain	21095:29584:1349:301
which	22714:29584:1506:301 13853:30549:1506:301
really	13853:30082:427:346 24536:29584:922:286
grasps	14708:30172:1619:256
statistics,	16754:30082:2316:331
here	20645:30082:1079:271
some	22917:30172:1236:181
dope	24558:30067:1124:346
always	15855:30549:1709:362
seemed	18104:30549:1754:286
me	21342:30640:719:196
rather	22579:30549:1551:286
convincing.	24603:30640:809:196 13853:31032:1956:346
"during	14415:31500:2114:362
four	18239:31500:1079:301 19745:42015:1079:301 18216:32465:1034:286
years	19790:31590:1349:256 18036:43086:1326:241 18823:46420:1304:241
class	24356:31500:1326:301
'89	15517:33898:674:286 23479:32465:697:286 14753:31998:674:286
spent	15877:32043:1304:301
vale	18531:31998:1169:286
college,	20150:31998:2001:331
there	17496:39164:1281:286 22602:31983:1304:301
were,	24311:32088:1371:241
each	13853:32480:1079:286
those	16417:32480:1304:271 13853:33914:1281:286
years,	19745:32571:1461:241
more	21725:32571:1259:181
men	19678:34004:1034:181 20668:50252:1034:196 24648:32556:1034:196 21994:35422:1012:196 22467:35905:1012:181
right	16439:32948:1259:346
to"	18059:32993:539:241
wear	18891:33039:1236:196
a"v"	20465:32948:1641:286
than	22467:32948:1101:286
all	23951:33416:742:271 23929:32933:607:286 24086:48246:607:286 18801:42030:607:286 13876:49181:584:286
other	20353:47778:1304:286 13853:33431:1281:301 20285:44414:1304:301
three	22017:47763:1304:301 15630:33431:1281:286 18531:44429:1281:286
classes	17429:33416:1664:301
put	19611:33461:764:301
together.	20892:33416:2226:346
university	13876:36297:2676:346 16597:33898:2698:346
were	21095:33989:1191:181 22107:44036:1191:196 17474:44036:1191:196
first	20735:37715:1012:286 24693:33883:989:286
third	13853:34381:1236:286
class,	17204:34381:1304:331
us	22287:34472:539:196
had	14393:38681:877:301 13853:36780:877:286 15990:45847:877:301 23119:34366:899:301 13853:34864:877:286 14573:39646:899:271 23366:35332:877:286 19790:35814:899:271
never	24311:34457:1371:211 15607:38771:1371:211 15068:36870:1371:196
anything	15045:34849:2226:362
do	18351:34849:584:301
athletics	15967:50146:2069:286 20713:34834:2091:301
before	23119:34834:1574:301
we	16754:41170:652:196 16372:42136:674:196 25008:34939:674:196 18688:35920:674:181
went	13876:35392:1169:241 20488:37293:1214:241
vale.	16237:35332:1304:286
none	18239:35332:1326:286
our	20802:35422:809:181 17969:44896:989:286
ever	24626:35422:1057:181
rowed,	13876:35830:1664:331
although	15990:35814:2248:346
five	21140:35799:877:286
on	23929:35905:584:181
boat.	16867:36297:1191:286
george	18688:36282:1799:346
w.	20825:36282:742:286
woodruff,	21904:36267:2653:362
seen	17317:38771:1034:196 16799:36855:1034:211
football	18171:36765:1911:286
until	24536:39149:1146:286 20443:36750:1124:301
soon	21949:36855:1101:196
opening	13876:37248:1934:346
college.	16934:37248:1866:346
out	22039:37278:787:241
try	23884:37278:764:301
second	14910:37730:1664:286
team,	16867:37776:1326:256
day	22039:37730:877:331
played	24063:37715:1596:346
old	14640:38213:742:286
long	15742:38213:1079:331
black	17137:38198:1349:301
trousers	18823:38243:2024:241
straw	23029:38243:1416:241
hat.	24761:38183:922:301
pair	19228:38666:989:362
spiked	21320:38666:1574:346
shoes	23209:38666:1349:301
nor	24828:38756:832:196
did	13853:39164:764:286
know	15720:39164:1326:286
such	20600:39164:1101:271
thing	22827:39149:1281:346
over	20668:39722:1101:196
week,	23006:39616:1416:362
won	17676:41170:1034:196 13876:40220:1012:196 17407:42121:1057:196
seven	15203:40220:1326:196
intercollegiate	14978:47280:3665:346 16867:40099:3688:362 20038:41064:3665:346
championships.	23051:42015:2338:362 13876:42498:1371:362 20870:40099:3958:362
my	13876:40702:742:226 13853:47386:742:241 17721:43569:742:256
senior	13876:42030:674:286 24693:41653:719:181 14933:40582:1506:301
team	13876:41080:1416:271 22939:43463:1461:286 22512:47295:1439:286 21095:44896:1461:286
championship.	13876:41547:2203:362 24019:41064:1349:286
fact,	17631:41547:1034:346
because	19026:41547:1934:286
it	21320:41547:314:286
'89's	23276:41532:1057:301
major	21185:42015:1506:362
"twenty-five	14438:42996:3350:331
graduation	21072:42980:2743:346
gave	24536:43086:1146:241
dinner	23209:46812:1596:286 14505:43463:1619:286
championship	18913:43463:3598:362 20330:45847:3440:362 22084:44414:3598:362
100	13898:43931:764:301
per	15000:44036:764:256
cent	16125:43991:989:241
present,	18981:43991:1956:301 13876:48759:1911:301
as	13853:45937:472:196 21275:44036:472:196
also	23636:43946:967:286
captains	13853:48230:2024:346 13876:44414:2001:346
teams	13876:44896:1641:271
'89.	17294:48246:809:271 16574:44896:787:286
photographed	13853:45379:2024:346 24063:44911:1349:331
sitting	16237:45364:1551:362
exactly	18913:45379:1799:346
position	23704:45379:1979:346
they	23479:48728:1079:346 24648:49211:1034:346 14640:45847:1034:346 21162:48246:1057:346
photograph	24063:45862:1349:346 13853:46330:1461:331
twenty-five	15652:46330:2833:331
before.	20465:46330:1686:286
planning	13876:46797:1057:362 24423:46330:1012:346
give	16170:46797:1057:362
fortieth	18261:46812:2091:286
reunion	20735:46812:2091:286
champion	19318:47280:2541:362
next	24581:47355:1101:226
year,	13853:47838:1214:256
invite	17496:47748:1371:301
winning	23659:47748:2024:377
hope	19543:48246:1169:346
will	22692:48246:899:286
be	25165:48246:517:301
present	19116:48774:1821:301
writing	21275:48713:1889:362
strong	14798:49241:1596:301
kicking.	17946:49196:2001:346
especially	20600:49196:2586:362
kicking	13876:49664:1866:331
piffle	20195:49664:1281:362
turning	18441:50146:1866:346
into	22084:50162:922:286
boobs	23366:50162:1416:286
or	25165:50252:517:196
hospitals."	13898:50614:2608:331
appointments	14910:51670:3845:346
for	19116:51685:764:271
medical	20240:51685:2069:286
exams.	22692:51685:1731:286
the	17789:53224:742:301 14415:52243:1012:301
following	15810:52259:2406:362
men	18621:52364:1012:181
are	20015:52364:787:181
to	21185:52319:449:226
report	22062:52319:1551:301
at	23996:52319:449:241 16957:53269:449:241
109	24873:52274:764:286
college	13876:52726:1844:362
street	16102:52741:1506:301
today	17969:52756:1371:346
for	19700:52741:719:301
their	20757:52741:1191:301
medical	22332:52741:1979:301
examinations	13831:53209:2743:301 24693:52756:629:286
time	18891:53224:1124:301
indicated:	20375:53209:2496:316
b:3o—f.	14393:53692:2203:301
l.	16912:53707:494:301 22354:54672:494:301 23164:54672:494:301 22984:57569:494:286
asher,	17699:53722:1686:331
1928;	13876:57056:1304:331 13831:55140:1326:331 19700:53692:1371:377 20510:55638:1281:331 19431:56603:1326:346 20713:54672:1304:346 15810:59968:1326:346 22422:59485:1326:346
f.	21365:53722:494:271 16372:59485:472:286
m.	16507:57071:629:301 22174:53722:652:271 15540:55140:652:286
atterholt,	23141:53722:2473:346
jr.,	13808:54174:787:346 21252:59500:787:346 19588:54672:787:346
1928.	21185:59968:1191:301 15023:54174:1169:286 19476:55155:1191:301
b:5o—h.	14415:54642:2338:316
e.	22399:56603:517:286 25076:59500:494:286 17069:54672:517:286 16552:55155:517:286
back,	17901:54672:1371:346
bacon,	23974:54687:1664:346
baker,	17452:55155:1641:346
9:l5—d.	14415:55623:2248:286
h.	21949:57554:607:301 24041:58534:607:271 17159:55638:607:301
ballou,	18239:55638:1776:346
p.	22287:55638:494:286
r.	21477:56603:517:286 23254:55638:539:286 24108:59485:562:286
shiff,	24266:55638:1349:346
law.	13808:58022:1236:301 13831:56090:1236:286
9:30-r.	14325:56573:2271:316
tyrell,	17002:56603:1709:346
bassett,	23614:56603:1956:362
t.	25076:58550:517:256 15562:57071:539:286
ley,	17564:57086:1034:346
19295.	21455:60450:1574:301 19003:57086:1574:301
10:30—	14415:57554:1934:286
s.	16394:57554:449:301
winokur,	17272:57554:2428:346
law;	20128:57569:1371:331
cohen,	23906:57569:1686:316
10:50—c.	14415:58489:2451:316
a.	17204:59485:584:286 17541:58534:562:271 17317:60465:562:271
mclaughlin,	18531:58534:3216:346
art;	22467:58534:1146:331
mead,	13831:58972:1484:362
grad.	15720:58987:1371:316
11:15—	14393:59470:1934:301
batcheller,	18149:59485:2743:346
bauer,	13808:59953:1619:346
j.	17519:59968:382:346
b.	18284:59968:494:286
beach,	19161:59968:1641:346
11:30—l.	14415:60435:2406:286
volpicelli,	18374:60465:2563:331
a	19588:62080:247:181 23636:62065:269:196 14370:61476:404:271
hotel	15225:61476:1214:301 19723:62457:1214:286
manager	16867:61582:2181:256
received	19521:61491:2046:301
five	22039:61491:854:301
cents	23321:61552:1259:241
by	25008:61506:584:346
mail	13786:61944:1034:271
in	15225:61959:427:271
payment	16012:62034:2114:271
for	18509:61974:719:286
bar	20195:61974:832:286
of	21387:61974:472:286
soap	22219:62065:1079:256
guest	24266:62050:1326:271
took	13808:62427:1057:286
away	15270:62517:1281:271
from	16957:62442:1214:301
the	18554:62472:764:271
years	21320:62547:1349:256
ago.	23074:62547:1012:256
future	14393:63483:1686:301
will.have	18688:63513:2361:286
not	21342:63588:787:211
only	22444:63513:1057:331
revolving	19678:63996:2406:346 23816:63513:1529:301 13808:63935:719:362
stage	14933:64011:1259:301
but.	16552:63981:944:301
also	17654:63996:1034:331
a	19026:64086:292:181
audience.	22444:63981:2271:301
class	26695:9428:1934:286
basketball	28944:9428:4070:286
league	33352:9428:2496:286
won	29753:9926:1484:286
by	31598:9911:764:286
college	32700:9911:2878:301
juniors	35916:9941:2541:271
in	32497:11375:449:301 27280:10892:517:286 27797:17620:472:286 28089:16655:449:301
a	28224:10982:269:196 28516:17726:269:196 34319:20140:269:181
close	28899:10892:1214:301
and	37647:15267:899:286 30518:10892:877:301 28741:18103:877:301 28629:13306:877:301
exciting	31800:10892:2046:362
game	35826:21105:1326:256 28764:14362:1326:256 36028:15357:1326:241 34251:10997:1281:256 28741:11948:1304:271
yesterday,	35938:10937:2541:331
1929	37490:19582:1057:286 26695:11360:1101:316
defeated	28157:11375:2091:301
1929s	30653:11375:1439:316
the	33284:14271:787:301 28584:17153:989:286 33644:17635:742:301 27280:19536:989:301 37512:11903:989:286 27280:20985:989:286 33307:11375:764:316 28651:14754:764:286 31305:11857:764:301 28921:16670:764:301 37490:18133:989:301 36500:13336:742:286 32182:19566:764:286 35016:12355:764:301 29079:15704:764:316
final	34431:11390:1101:301
class	29686:14754:1191:286 35893:11405:1191:286
basketball	37445:11405:787:301 26717:11857:1664:286
by	30406:11857:562:346 35263:12853:607:331
score	32385:11963:1304:196
of	36545:20049:494:286 28247:15704:494:301 31575:21000:494:286 31283:19551:494:286 36230:17651:494:286 29034:12823:494:286 34004:11857:494:301
14	34881:11872:494:301
to	32902:17681:472:256 35713:11933:449:241 28089:13834:472:241
9.	36500:11888:359:286
winner	26717:12340:1754:286
was	28966:12431:944:211 36253:16308:989:211
undecided	30406:12355:2473:286
until	33374:12355:1146:286
last	36275:12370:899:301
few	37647:12370:899:301
minutes	26717:12808:1956:301
play,	29866:12823:1169:362
when	31395:12823:1349:286
baskets	33082:12823:1844:301
j.	36230:12853:404:346
vand.	36995:12853:1529:301
wood	26740:13306:1529:301
a.	29888:13306:539:286
f.	30833:13306:472:286
blaser,	31710:13306:1754:346
jr.,	33824:13321:809:346
gave	34993:13426:1146:256
victory	26672:13834:1057:286 37602:13336:719:301
1929.	35961:18133:1191:301 28966:13773:1191:316
this	37602:18616:899:301 33037:17138:922:301 32047:16670:899:301 27235:14271:1146:286
concluded	30451:14271:2496:301
most	26695:15765:1214:241 34409:14332:1214:241
successful	35983:14301:2473:301
season	26740:14844:1641:196 26695:19159:1596:196
league	31148:14754:1619:346 30046:16670:1619:362
has	33037:14754:854:286
ever	36275:16791:1079:211 34161:14844:1079:211
had.	35511:14769:1034:301
teams	36860:14769:1686:301
were	32565:15810:1214:211 26717:15327:1214:196
on	28224:15327:562:196
hand	29101:15237:1191:286
for	31890:17153:742:286 30608:15237:719:286
every	31643:15327:1371:256
scheduled	33307:15237:2428:301
contests	30203:15765:2001:241
exceedingly	34139:15735:2991:362
well	37467:15735:1034:286
played.	26695:16187:1776:346
much	29169:16187:1416:301
better	30923:16187:1484:301
organization	32767:16187:3171:362
evident	26650:16670:1057:286 37602:16217:697:301
year	33307:16760:1124:256
than	34791:16685:1101:286
before.	37715:16685:517:316 26695:17138:1124:301
credit	30001:17153:1461:286
improvement	34386:17153:3350:362
is	38142:17183:382:286
due	26672:17620:877:301
large	29034:17620:1281:362
measure	30585:17726:2069:211
work	34656:17651:1326:286
coach	36995:17651:1529:301
taylor	26672:18103:1754:346
manager	29978:18103:2271:362
h.	32587:18103:607:301
g.	33532:18118:517:301
bitz,	34409:18118:1169:346
