'	15636:6668:102:65 15636:6668:102:65
its	16046:24041:736:338 14715:33379:716:312 27364:35736:573:260 23004:35281:573:273
ivy	62178:20486:757:299
j.	4195:8035:286:182
jacket.	46684:17959:1719:338
jackson	10356:5964:1391:208
jacob	15902:6616:1002:195
january	30311:25747:2149:351 38314:37117:2108:299 48711:50245:3970:638 48711:50245:3970:638
jennifer	9598:10340:1412:195
jersey	27466:4948:1678:325 36083:12724:1698:325
jersey,	24744:7970:1842:338
jersey.	33279:11838:1842:338
jf	36574:24914:327:273
ji-j)	30557:58267:2292:1406 30557:58267:2292:1406
joint.	30270:21007:1309:338 31314:17985:1289:351
jonathan	18993:43733:2947:338
jr.	6713:6264:429:195
jumped	38129:20069:1923:351
just	50880:19261:961:351
justice	54687:55168:3233:651 54687:55168:3233:651
jw	16373:15628:552:143
kaplan	11195:10353:1187:221
kept	33340:4935:1043:351
kg'	15370:14677:491:182
kill."	43614:21814:1289:273
kind	41527:8856:1064:286
klosky	8309:14794:1289:247
klosky,	9230:16956:1412:260
knee	33340:6668:1166:273
knockout.	45416:21371:2415:273
know	41281:28847:1309:286 45600:23546:1289:273
knowing	27773:49203:2128:351
knowledge	29554:44423:2722:364
known	15125:45283:2005:325
l.	4932:5964:307:182
lackey,	5178:6251:1330:234
lamar	2537:23520:2169:299
last	31212:40529:1084:273 49284:16670:900:273
lately?	45927:26568:1678:338
laughing	30475:13153:2189:338
law	50614:59895:1596:403 50614:59895:1596:403
lawyers	44372:60586:3172:481 44372:60586:3172:481
leaaer,	35387:25344:1739:338
leaders,	27016:47471:2005:338
league	53725:20915:1862:325
leaoer	24949:48330:1616:286
leaoer.	33258:27948:1739:273
least	38457:14873:1187:273
leather	45170:14482:1780:273
leave	20446:49476:1719:586 20446:49476:1719:586 41281:4115:1309:273
legitimate	33279:15719:2599:351
lengths	28080:4506:1821:338
leon	9619:10041:839:182
ler	21490:15628:327:117
lethal-looking	47094:19691:3458:351
letters	29820:21358:6856:781
level	30454:34877:1187:260
life	48608:16227:818:273
lifelong	28919:5365:1882:351
like	25542:38758:921:273 26647:13570:900:260 23373:10523:900:286 35776:29264:921:260 49202:13635:900:260
likely	8411:34395:1760:416
likened	25911:5352:1801:273
limited	37167:3659:1801:299
limits	27200:36596:1453:273
lipman	9905:16032:573:260 3602:16409:859:156 16721:8400:1309:234
lisa	3315:8022:716:195 15882:9780:695:195 6447:16032:777:221
lit	60970:13140:695:260
literature	53664:15706:2415:273
little	25706:10119:1187:273 31519:12724:1166:273 36594:14000:1146:273 60336:21319:1146:260
lived	30618:7540:1187:273 39951:9689:1228:273
live-in	38354:4545:1535:273
lnf	15391:14912:388:130
local	26484:41805:1391:273 35080:4102:1187:273 6099:27649:1739:338
long	11973:30787:1350:403
look	33238:20056:1023:286 43614:20955:1023:273
looked	47421:13635:1616:273
lost	9619:22478:1125:325
lot	31293:11434:593:273
loud	23373:9233:1043:273 51842:17959:1043:273
loudly	58432:23481:1555:338
lovea	28919:48343:1350:273
lowest	3745:26099:2026:312
lynn	3622:16969:961:273
ma	6078:11512:634:195
maae	23823:42300:1412:208
mac	13426:5131:736:195
made	18051:40112:1739:312 25071:20525:1391:273 49734:17959:1412:273
magazine	3151:12658:2374:208 9455:10640:2374:195
mail:	21224:14925:654:130
major?"	45989:26998:2189:351
make	2496:45283:1739:325 16332:34408:1739:325
maledominated	2496:26607:3397:325 20241:26125:1432:325
man.	53643:14925:1248:182
manager	12689:9168:2189:195 3151:10887:2210:221
managing	3192:5639:2456:208
mangelsdorf	11093:6277:2210:234
manufacturing	27794:47041:3827:351
many	2496:35007:1780:312 3131:38042:1801:390 15739:21554:1780:312 30536:11929:1432:273
maoe	33279:26724:1412:182
marcelo	18133:9494:1391:195
maria	9598:9442:1023:195
marketing	3151:9103:2660:221
martha	9639:6264:1268:195
matter	29390:40099:1739:260
may	49980:16318:1125:260
maybe	59968:22609:1698:338
me	28796:12789:757:195 26770:20629:777:182 27118:9767:757:182 31437:49737:777:182 40524:29342:777:208 40565:8934:777:195 49120:24041:777:195 59681:20525:777:195 62096:14938:757:182
me,	37004:29342:900:234
me.	38989:28482:921:195 35469:31504:900:195 40074:20603:900:195 37495:5469:900:208
me;	31191:49294:961:247
mean	33299:11044:1391:195
member	14777:41662:2660:325
members	24867:49633:2394:273 28182:35723:2415:286 9783:44775:3008:325 18972:38550:2967:325
members,	5137:28691:3192:377
mention	33299:10536:2067:273
met,	39767:19678:1125:299
metaphors	53725:22635:2701:338
method	15698:21983:2333:325
meyer	5382:17282:1228:260
michael	3356:5938:1350:208
minorities	29676:41389:2599:273 22922:45713:2619:273
minority	14204:35971:2742:416 27589:44866:2189:338 38457:32741:2189:338 35510:26659:2189:338 33217:31855:2210:338 40422:24953:2169:351
minute	22881:48760:1780:286
misogynist	53684:17868:2763:338
mix	60336:22179:982:260
moael,	40913:25383:1678:299
model	8432:32324:1923:338
molly	15861:13310:982:247
month,	7102:23520:2189:364
more	22861:50583:1330:195 24191:50154:1309:195 29206:8908:1309:182 43614:14560:1309:195
most	16086:31321:1535:312 27057:26633:1228:260
moving	8227:33366:2374:416
much	35673:10978:1391:273 50184:25278:1371:260
much,	57921:22622:1535:312
muenzen	26893:3711:3458:390
muscles.	40401:6707:2189:273
must	37126:8856:1228:260
my	23905:7514:777:338 23373:6720:798:260 27527:9337:777:247 31457:46689:777:260 27139:38406:777:260 29022:31035:798:260 30086:36609:798:338 28571:44501:798:260 28244:38836:798:273 28551:50596:798:260 29267:25825:798:260 34916:16683:777:260 36042:5899:777:273 41813:6355:777:260 36635:31074:798:260 41732:35437:798:260 36267:33249:798:260 36697:33679:777:273 35550:34968:777:273 47994:25773:798:260 43635:24054:798:260 49345:27518:798:260 57389:24445:777:260 62137:19235:798:260
myself	22881:47900:1760:338
myself.	60848:23468:1862:351
'mystifiea'	33299:27076:2722:338
n!	20528:14495:307:156
na	9455:9142:573:195 6795:11525:552:195
national	58003:59921:3315:429 58003:59921:3315:429
needs	12566:48109:2067:546 12566:48109:2067:546
neighborhood	23291:18754:3479:351
neil	9598:12997:654:195
nervous;	50635:21866:2189:247
never	33197:34525:1432:195 42223:2656:5259:768
nevertheless	26156:30514:3254:273
new	19320:14000:552:130 15902:16357:1023:208 18195:15146:532:143 23373:7957:1105:260 26197:4935:1084:247 34814:12711:1105:260 41486:11434:1084:260 7695:42274:1248:234
newmark	17069:11864:1637:195
news	17478:14221:654:143 19136:14677:675:143 3172:7123:1248:208 8780:2109:20:2344
news.	20671:15849:757:130
newspapers,	25194:42743:3192:273
next	5198:23520:1371:312
nicholas	9619:7149:1494:208
night	3622:16683:1432:195 38641:17920:1268:338
no	28182:8465:573:195 28633:40138:573:208
no.	17519:17321:614:195
noise	45948:18389:1289:273
none	10294:28782:1473:234
northern	33299:12698:1309:273 41486:12294:839:273 38825:11421:2292:260
nostalgic	33934:9272:2271:338
not	15125:40138:941:286 5137:20942:982:286 23045:31386:777:260 39480:29303:757:247 33258:27545:777:247 55751:21358:757:247
not,	15472:29251:1146:338
noticed	33238:18324:1862:273
notions	23066:30501:1801:273
now	36533:26307:982:195 46255:13700:982:195
now.	23373:11044:1125:208
nrw	19402:14912:552:143
nuclear	44392:59231:2906:416 44392:59231:2906:416
o.	17519:9494:409:195
oath	54687:51886:2435:533 54687:51886:2435:533
oberlanaer,	4932:16969:2292:221
oeeply	33790:34017:1637:351
of	13201:44762:593:325 18931:27675:593:325 4768:40112:614:325 8718:45817:573:325 18317:21983:573:312 21367:42183:614:325 17724:21462:593:325 12136:28704:614:312 6590:35450:593:312 7695:36987:593:325 17867:39070:573:325 4523:34916:573:325 9517:45296:614:312 9926:26112:593:312 21387:35463:593:312 16660:25096:614:312 24969:10119:470:273 32214:11864:470:286 24642:12698:470:273 28571:10119:470:273 30147:4519:470:273 32214:11434:470:273 23311:17881:491:273 32214:8843:450:273 30454:19275:470:286 29922:15315:470:273 25563:4935:450:260 30536:50948:470:286 25829:43108:511:273 31907:34877:470:273 31989:26620:470:273 27343:33106:470:286 24887:48760:450:286 28285:30944:470:286 29144:36596:470:286 25808:41792:470:286 31785:47041:470:286 25399:26607:470:273 25358:47028:491:286 26668:35723:470:273 29001:47900:491:286 30311:49242:532:312 34241:7123:450:260 40749:15315:470:286 35837:10536:470:286 34445:20056:470:286 37679:10106:450:273 33299:9272:470:273 40872:20968:450:273 42141:11004:450:273 42141:27974:450:286 39582:30566:450:286 46459:19691:470:273 48015:23116:470:273 44986:17959:491:273 45436:27440:470:273 50430:14495:470:273 44556:14052:470:273 46316:24836:450:273 61359:19144:450:286 56877:24810:470:273 58453:17021:470:260 53664:19965:470:260 61155:16162:470:260
off	38784:5821:675:286 59272:25656:675:273
office	10970:24002:1923:364
office.	15964:34929:2108:325 19075:36479:1944:325 16864:20942:2087:325
often	22984:36140:1268:286
ol	32214:5391:409:273
old	24294:17021:736:273 58044:14000:736:273
on	17233:42287:716:221 16619:35541:716:221 13139:36049:695:234 21244:34512:695:234 20057:25187:695:221 15022:24145:695:234 23905:16579:654:273 32112:16774:552:195 25624:26255:573:182 30229:41024:552:195 29103:42326:552:195 40933:6342:552:195 51208:26646:552:182 51228:25773:593:195 51187:17620:552:182 59476:14938:552:195
one	24314:26672:880:195 39951:14951:859:208
one,	31559:20238:982:260
only	11481:38550:1330:416 14756:28196:1309:403 24130:44853:1043:338 37884:28834:1064:338 39439:13583:1064:338
open	55199:62005:1821:377 55199:62005:1821:377
opera	3151:11499:1412:195
opinion.	2456:44762:2517:416
optimism	43594:16227:2435:338
or	14470:29316:654:234 25952:37976:532:182 50102:19340:511:195
organization	25092:19665:3192:325
other	11891:32337:1678:325 33238:19626:1330:273 41220:31452:1330:273 55137:27401:1330:273
our	27671:32324:839:195 26606:27115:859:208 28060:33197:839:195 23086:27935:839:221 29247:28417:859:208 30741:15393:839:195 33442:23937:2803:651 37270:19639:921:273 39132:3763:839:195
out	30250:27948:757:247 31437:39683:880:247 33217:32311:777:260 43594:14078:757:247 57348:13583:736:260 59476:26542:777:247
out.	37761:13153:921:260
outspoken	37904:30136:2578:351
over	19238:20942:1555:325 13037:27766:1412:221 3172:25057:1535:325
own	31334:36674:1023:221 33176:35828:982:208
p.m.	17069:49685:1678:468 17069:49685:1678:468 59026:57017:2251:481 46664:62656:1719:377 59026:57017:2251:481 46664:62656:1719:377
paid	18256:13987:532:182
painted	48956:17529:1882:351
pairs	30720:8843:1268:325 45006:19691:1289:338
pamela	15882:13609:1248:195
pankpl	6754:15420:1289:169
panner	10888:7762:1228:208
parents;	28469:9272:2128:325
paris	33299:12268:1371:260
part	24335:4962:1043:299 3172:40138:1350:390
past	24110:27909:1064:325 6242:25083:1330:377 2496:21436:1350:390 15718:33392:1350:390
past.	10908:40646:1535:390
pasta,	28551:52550:3970:755 28551:52550:3970:755
pathbreaker.	33790:25773:3315:338
patties	30945:17555:1698:338
paul	24805:3698:1657:390 3581:15420:900:169
pay	35919:30644:880:260
peace	49345:55311:2701:481 50102:58580:2169:390 49345:55311:2701:481 50102:58580:2169:390
peggy	3315:7723:1023:247
people	23414:49190:1698:364 34916:9676:1616:338 36021:28834:1637:338 34568:28391:1616:338 50491:23103:1616:351
perceive	36512:28404:2169:338
perceived	12198:29746:3131:390
percent	16025:27701:2415:377
percentage	12832:25109:3561:390 6078:26138:3561:377
perhaps	40503:34069:2026:325
personal	29226:38771:2149:338
personally.	33238:29693:1964:338 41609:29355:736:273
pervasive	33320:8413:2906:325
peter	3602:14807:1084:208
pftslmilj	20385:15602:1023:143
photography	15779:7202:3336:208
phys	43655:27011:1187:338
pick	13569:23520:1330:416
picture	58289:21319:1801:338
piglet,"	57471:20889:1903:338
pirozzolo	4707:8035:1637:195
pizza,	24007:52524:3868:794 24007:52524:3868:794
places	27159:20108:1616:338
play	25522:47900:1084:351
poise.	53602:13140:1432:325
political	22963:37013:2087:338
politically	24560:34851:2578:338
popularity	14367:42704:3295:403
position	15043:39057:2456:416
postage	17151:14026:961:143
pregnant.	29758:16201:2435:325
premise	25952:30944:2087:338 28182:50961:2108:325
prep	16455:11265:1125:195
present	20712:42795:961:312 2435:43251:1309:299
president	18931:22504:3090:325 27794:19248:2374:338
price	20651:15380:634:169 38068:30566:1289:338
priorities	22963:40060:2374:338
privilege	22943:43095:2394:351
problemsolving,	2517:22452:2456:429 19157:21996:2517:390
process,	25583:46676:2087:260
professor	15595:43733:3070:338
progress	18297:34486:2742:325
public	3151:10588:1596:208
publications.	22902:46155:1350:273 30209:45739:1801:338
published	20692:14234:1187:143 28694:43980:2435:351
publisher	13180:4818:2394:208 11973:10640:2394:208
publishers	18543:9194:2619:195
publishing	19955:14677:1350:195
put	5996:24054:1002:377
qo	37352:31504:593:208
quarterl	15759:9194:2292:234
quarterly	15718:12724:2660:234
quite	56775:21332:1268:338
r	4686:15485:143:143
racial	25645:44853:1473:273
racism,	26136:37469:1923:299
racist	24232:37898:1453:260
racist,	27016:36166:1616:325
rackei	6754:15472:1309:156
raised	15206:27154:1964:325
ran	27302:13219:818:195
rape	8596:37091:1432:312
rapidly	5485:29719:2312:416
rather	10519:42704:2005:312
ration),	40156:17933:1923:312
ratner	4420:11213:1146:195
rats	39194:17074:982:260
reaching	27609:27479:2251:351
reaffirm	45989:54308:4441:560 45989:54308:4441:560
realize	34384:26216:1739:273
realizeo	33217:33587:2026:273
receivea	30024:50088:2189:273
recent	19996:27180:2005:299
receptivity	10888:44241:3479:429
recognition	35100:20069:2844:351
recognize	22984:36583:2476:338 39112:35359:2456:325
recommendations	2496:35437:3684:325 19730:35033:1882:221
reconstituting	26484:27909:3581:351
recruiting	17294:35971:3213:403 5444:41662:3233:416
rectifying	17621:30787:3151:416
reflection.	57184:62539:3888:442 57184:62539:3888:442
regions	35550:10119:1842:325
reject	27712:29628:1473:364 27405:40490:1494:351
relations	4891:10614:2456:195
released	36021:6681:2128:286
remarkable	16168:26646:3765:325
report	10847:35984:1964:390 14060:35463:2189:390
reports	19709:21502:2292:364
requirement	8104:39057:3991:429
response	26013:25812:2251:260
responsibility	38518:32311:3458:351
rest	23373:12724:941:247
rest.	24376:8843:1084:247
retired,	11686:21449:2394:377
return	27241:6251:1575:234
richard	3295:11799:1350:208
richaro	3643:17282:1535:208
right	48301:20134:1207:338 50409:27440:1228:338
rnhin	5485:15420:1105:169
roberts	4830:11812:1350:195
rolando	15902:9494:1453:182
role	27834:47900:982:286 39705:25383:961:260
romantic	49202:27870:2312:273
rony	41220:36257:1309:299
rose	43696:27883:1228:273 58985:24810:1228:260 55219:14846:1187:260 56611:27831:1228:286
rose.	45395:20525:1371:260
rose's	40892:20095:1616:273 61257:16579:1616:273
rtodin	5485:15472:1105:156
run	58269:25747:818:182
runnerup	50983:12841:1637:195 43594:13258:573:260
running	29513:14013:1985:338
rutgers.	60684:15732:2169:325
rybak	10663:10054:1084:234
s.iuw.,	17028:14456:1125:182
sadeh	17171:10666:1023:195
said	47503:25265:1023:273 57225:12698:1023:273 53746:26529:1043:286
said.	50757:22674:1166:273
salad,	31007:53631:3991:820 31007:53631:3991:820
sarah	3254:13245:1002:208 15882:6902:982:208
sat	39889:6277:736:260 49898:23559:716:247
saunders	17376:7814:1575:195
saweach	53787:27401:1146:273 62117:27011:695:195
says	28571:2591:3950:989
school	24703:14430:1555:273
school,	23291:19196:1739:338
school;	34691:19196:1760:338
schools	17703:11265:1964:195
screamed,	53725:24380:736:312 60970:23989:1780:195
search	15145:40633:2087:312 43614:13622:1719:273
second	15391:14000:900:130
see?	55792:23950:1084:260
see?"	58310:23911:1432:286
seen	39889:19288:1125:195 40340:7202:1105:208 50491:16735:1105:195
selected	14367:42183:2599:325
selection	4645:43733:2803:325
selects	5669:22999:2149:312
sell	41711:13596:839:286
semester,	22963:40946:2496:286
send	15350:15823:614:143
senior	26381:26177:1555:273 9455:12698:1555:195
sensed	43594:15784:1678:273
separatist	60459:21749:2517:338
serve	4686:32415:1739:234
several	51064:26998:1842:273 59210:19157:1821:273
sexual	11850:37000:2026:325
shane	15861:11864:1043:195
share	35632:32298:1391:286
shaved	47565:17100:1801:273
she	23270:20056:900:286 23311:18311:900:273 26709:43538:859:273 36062:8843:839:273 36144:20512:839:273 50860:17100:839:273 49079:15367:859:273 48649:17972:880:260 49529:22687:839:260 44106:15354:880:273 43614:22257:818:260 48772:23546:880:273 48465:26998:900:273 47339:12750:839:273 49222:18402:818:260 56079:26529:839:286 55137:15276:818:260 55506:25669:839:273 56202:12711:839:260 62260:26086:777:260 56488:20460:900:273 59947:23911:839:273 62096:18728:839:260 58494:17868:880:260
sheri	3274:9403:880:208
she's	31314:20603:1268:273
shih	10847:8048:757:208
should	19996:24054:2026:325 11052:42183:2046:325 11031:23520:2046:325
should've	37740:7123:2415:273
sidelong	50819:23963:2108:338
silent	54830:62539:1964:416 54830:62539:1964:416
since	46009:16657:1289:273
sitting	33770:16162:1678:351
situation.	2476:31282:2967:338
sl	18890:14912:225:143
slouched.	50123:15367:2333:273
smelly	33320:5378:1698:351
smile,	33320:7553:1514:286
smoke	46193:27440:1637:273
sneered	37167:20512:2005:273
so	26893:32754:511:195 38129:14508:511:208 40156:31074:511:208 56918:22700:511:208
socially	57962:21749:1944:338
societies.	28121:26177:2312:286
socks	24580:9259:1371:260 35223:5391:1371:286
soggy	34855:14052:1453:286
some	24069:17972:1330:195 34486:28899:1330:195
somehow	60643:20889:2312:273
someone	15391:23624:2742:234 33238:29329:2251:208
something	50246:13648:2640:325
sometimes	29554:37469:2783:286
son	41793:5482:798:208
speak	41097:31881:1453:338
speech	22943:43980:1719:325
speeches,	25378:42235:2435:338
spence,	2476:44267:2415:403
spending	23905:4493:2312:338
spent	25153:17503:1350:312
spite	25870:33106:1207:338
sports	9476:6550:1616:208
squirrel	28776:17529:1985:338
stammered.	45620:21814:3070:260
standard	37106:17477:2251:273
startea	25542:49229:1821:247
started	23352:9676:1821:273
station,	16987:15146:1002:156
status	19116:35463:1882:312
steadily	6242:25591:2517:403
steaming	38518:16618:2374:351
still	27527:12281:921:273 23250:20942:921:273 47810:26568:1002:273 43614:21384:982:273
strike	2476:27636:1842:351
strives	30638:34447:1719:260
strong	4318:6837:1166:247
student	12402:31816:2353:338 15595:44254:2333:325
students	56345:58593:3274:416 56345:58593:3274:416
submissions,	17560:48135:4625:573 17560:48135:4625:573
subscription	18952:15380:1616:169
substantive	7961:32845:3684:325
successor	8718:23090:3110:234
suitable	7204:41141:2496:325
suited	13426:34408:1903:325
summers	31437:17191:941:208 23352:17529:1268:195
sun.-thurs.,	32828:61471:6242:664 32828:61471:6242:664
support	23618:41792:1985:351
suspect	40708:28443:1882:325
swaggering	49918:14078:2967:338
swear.	54687:27909:1678:221
sweet,	35018:20968:1575:286
sweeter	60868:14456:1964:247
table,	44761:23976:1412:325
table.	43655:26125:1412:286
taking	48793:51873:3479:664 48793:51873:3479:664
talent/face	49693:13192:3192:286
tamar	15861:10666:1166:195
teaches	27712:30084:1923:260
telephone:	15350:15380:1432:156
television	29861:42261:2415:273
tell	45804:18819:777:286 56836:26971:798:273 61032:14859:777:273
tell.	46214:22244:921:260
tends	26381:35281:1350:286
tenure	14142:39617:2026:299 4195:39083:2046:312
tenured	9537:41662:2456:325 17069:28196:2476:325
than	12750:42717:1371:299 47217:14495:1084:260
that	24969:30071:1023:273 26484:32246:1002:273 29226:31386:982:273 29595:29225:1002:260 29492:32702:982:260 25849:51391:982:260 23107:26594:1002:273 29226:14430:961:273 33831:7983:1187:273 35489:33601:961:273 37904:26229:1002:273 39849:31439:1002:273 33258:28821:1002:273 45538:24406:1002:273 51944:26568:982:260 59947:26945:1002:273 58985:23064:982:260 55813:17008:982:260 59906:19587:1002:273 53664:18298:1002:260 8944:38042:1248:312 20712:32858:1268:312
the	18665:15836:388:130 15391:14234:491:130 17110:14677:368:143 27384:20994:757:273 23373:4922:777:260 31866:18441:777:273 23373:8803:777:273 29574:19704:757:273 23884:13987:941:273 31928:12294:757:273 24785:16605:777:260 29697:47914:757:273 24744:30931:941:286 26074:26607:757:273 31519:42704:757:273 25419:50948:777:273 23004:34408:757:273 29410:34877:798:260 29717:29654:757:260 22922:44840:757:273 31580:35307:777:273 26832:47900:777:286 24376:46598:777:273 24130:24888:1146:234 25931:36596:777:273 36001:17477:757:273 33749:20942:941:273 35080:7553:757:273 41793:17074:757:260 41834:8022:757:260 41793:18363:757:273 41813:10132:777:286 38416:10119:736:260 3602:48070:1535:560 4605:46442:2967:859 3602:48070:1535:560 4605:46442:2967:859 37065:30566:757:273 37065:24927:777:260 37393:32298:777:286 52170:25695:757:260 52129:17542:757:260 52108:19275:777:260 43594:17529:757:260 48240:27883:777:260 44740:14925:777:260 52743:51886:1473:520 52743:51886:1473:520 60663:26516:757:260 62137:16162:757:260 62096:15289:757:273 57020:16149:736:260 8800:20929:961:312 13753:40633:961:312 13712:39070:982:325 21019:30787:961:325 21060:20955:961:312 9476:31295:961:338 17744:35463:982:312 18113:45296:982:312 18583:27167:982:312 5689:31295:1187:325 2476:26086:982:325 21039:25096:982:312 9312:35450:982:312 18236:42183:982:325 9537:35971:982:312 13098:28704:961:312 19525:42704:941:325 2456:33366:982:312 6221:42183:1187:325 14142:44762:982:338 11584:25083:961:312 12321:34929:982:312 8166:27141:982:338 18317:34942:1187:299 15350:36479:961:325 17355:32350:961:312 3131:43733:1166:325 18522:21462:961:325 9537:40633:982:312 11093:31816:982:338 7306:24028:961:325 4441:45283:982:325 5321:34929:982:312 4993:25057:961:325 5730:31803:982:338
them	19525:41141:1596:325
them.	29308:40516:1453:273 34896:7123:1391:273
then	38518:6251:1064:273 34691:20499:1228:286 53623:13531:1064:299 56693:14846:1064:260
theory	53664:17008:1637:325
there	30475:14443:1309:273 29165:6225:1330:273 33279:14859:1289:260 8268:38550:1678:325 11666:28183:1678:325
these	33279:14000:1309:260 35387:27961:1494:273 48813:23116:1309:273
they	24601:10549:1043:338
they've	30823:9272:1842:338
thing	26340:14013:1289:325
things	38027:14013:1514:338
think	43635:23533:1268:286
this	31293:50961:900:260 31764:7983:900:273 58187:25239:900:260 8330:29212:1146:325 12095:25604:1330:312
those	29820:17100:1309:273 40606:10991:1309:273 49755:18832:1309:273
though	30638:34004:1719:338
thought	56283:23494:1923:338
thought),	35858:6251:2333:338
thought.	60766:14000:2067:325
thoughtful	23107:25721:2640:338
thoughts	30147:37898:2189:351
three	5996:21436:1637:325
throat	58473:24367:1535:273
through	24928:38328:1985:338 33708:33158:2149:351 39542:18350:1964:351
throwing	39132:4975:2251:338 46541:23976:2251:351
thumb	37004:5821:1637:273
tim	3254:10288:716:208
time	30843:4532:1146:260
time.	17294:45804:1637:325
tiny	45723:14925:961:338
tional	10151:9142:1555:208
tions	4686:11512:1248:195
to	18276:15849:245:117 15779:11265:532:195 19259:49659:695:364 19259:49659:695:364 21387:41167:573:299 12443:36505:573:299 21367:44801:593:299 7736:24575:573:299 16455:39617:573:299 20016:40138:573:286 7142:39617:593:299 17355:45309:573:299 14695:44267:593:312 19197:38055:552:299 5096:24041:573:299 4850:41167:573:299 15861:38055:573:299 15513:34434:593:312 24846:47914:470:273 26606:38784:470:260 25481:39214:450:260 27916:44449:450:247 25747:45739:450:260 23004:34864:450:247 23168:24875:716:234 28530:25760:450:260 26566:31829:450:247 28244:28365:450:260 31744:51417:450:247 27916:35307:450:260 30966:35320:450:260 23536:33978:634:273 26463:6251:429:234 27896:5391:429:234 35632:27545:450:260 35203:30566:450:260 40606:28860:450:260 38477:35372:450:247 36308:27115:450:247 36533:30149:450:260 34609:31439:450:260 40892:13622:450:247 39951:11004:429:247 40237:20108:450:247 34466:4102:450:260 40667:4167:450:221 47892:55233:961:442 44351:62604:716:338 47892:55233:961:442 44351:62604:716:338 52436:21397:450:247 52456:23130:450:247 60111:25669:470:247 58371:23077:429:247 59231:19613:450:247 57634:25682:450:260 60315:14886:470:247 60213:23507:429:247 59824:14456:450:247 58535:13166:450:247
to.	27425:10575:593:247
token	40074:26672:1350:286
tokenization	40258:30566:2087:286 33238:30983:921:273
tom	3315:6837:818:195
top	14429:28717:961:403
toward	15125:30787:2230:325
towards	5178:27141:2537:325 19423:29746:2537:325
tower,	38436:12281:1760:325
transforms	33401:22361:9046:937
treating	29185:49659:2046:325
troy	4502:9715:839:247
tsoukalis	10806:9455:1657:195
twenty	36226:16618:1739:338
twerp,"	47176:22674:1944:351 60111:26086:1944:338
twerp?"	59845:18728:2067:338
two	28121:8843:859:247 41650:20994:859:247 37352:15315:880:273
type.	51719:27896:1207:299
u,	4973:15485:307:182
unable	2435:41141:2149:338
undergraduates	2476:28157:5096:416
unfailing	50635:15797:2251:351
unfortunately	28039:7957:3479:351
university	3745:33353:3377:416
university.	2435:42183:3479:403
unrealistic	12116:38029:3397:325
unsatisfactorily.	5280:37508:5239:416
unwitting	34404:35762:2415:338
up	23373:5417:593:273 37106:11486:593:273
up,	45989:22752:757:273
upsetting	53725:24810:961:338 61523:24367:1268:325
urge	6774:44840:1412:338 17847:41219:1391:338
us	23352:23937:1698:612 30413:31907:532:195 33299:11473:532:182
us.	23762:30996:675:208
us:	29902:30162:736:195
use	27261:38836:818:195 38580:8921:818:195
used	25972:10549:1146:273
vacation,	27875:6668:2312:299
valedictorian	27343:18363:3377:312
values	25317:39630:1882:273 23066:30058:1616:273
venereal	46991:24836:2149:273
vicious	6181:40099:2210:325
video,	48220:14052:1494:325
views.	53705:22205:1616:273
visible	28346:40933:1657:273
vol.	15882:17295:716:195
w.	3336:6238:470:195
waif	39439:20955:1125:273
waist	48486:19275:1350:260
walked	57286:26529:1801:273
walked.	50369:18389:1944:273
wall,	41281:11864:1268:299
want	39153:28860:1228:260 34200:27545:1248:247 45211:23143:1228:234
wary	40524:28052:1289:273
was	26545:19301:961:208 26954:8465:961:182 24396:20147:941:208 27487:11929:982:195 27978:42326:982:182 27834:51456:982:195 36042:18845:982:208 39889:26320:941:195 46316:17178:961:182 45109:27948:961:195 45190:15433:982:195 47810:18897:961:208 49407:21879:961:195 59763:17946:961:182 56447:15341:941:195
way	13569:30866:1289:325 25767:16683:1002:273
ways	30495:26685:1289:286
we	16721:41232:818:234 5403:44775:961:325 23066:29693:695:195 22963:40568:675:195 34200:60651:1453:520 34200:60651:1453:520 36881:19275:675:208 36287:3737:675:208 61196:27024:675:182
wedding,	30372:6668:2271:351
weisberg	17089:6616:1575:247
welcome	2456:40633:2844:325
well	6385:20915:1289:312
went	58023:14886:1187:247
were	55567:17516:1228:182
whalen	17028:13310:1309:195
what	55710:18728:1207:260
what's	28469:5795:1760:273
when	16639:22504:1739:312 6365:38550:1637:325 24887:43538:1330:273 47565:18402:1309:260
where	29349:4948:1535:260
whether	5280:29212:2701:325
which	23250:20499:1494:286 8677:34916:1842:325
while	25419:11851:1350:260 41117:14886:1432:286 59988:13570:1350:273 55649:19157:1350:273
white	33811:13570:1432:273 39889:12724:1453:273 36799:10549:1432:260 46889:14925:1473:273
whiting	17048:6915:1391:247
who	22841:2227:4748:1067 28551:16175:1023:273 24498:16175:1002:273 34179:11408:982:273 36717:9676:1002:273
whole	35428:7983:1453:273
whom	25419:12711:1494:273 23352:12268:1514:273
why	30004:20577:1023:351
will	24335:6655:900:273 25051:30501:921:286 31457:32702:900:273 39398:34056:880:260 50348:61862:1309:416 50348:61862:1309:416 5300:38029:1105:312
william	15902:6016:1350:195
willing	33238:30553:1719:338
window.	33238:18767:2067:273
winter	23373:8387:1637:273
wish	38334:31439:1125:273
wishes	37413:23624:5239:963
with	17949:42704:1330:325 4052:31803:1330:338 2476:39057:1350:338 22861:50075:1084:273 33258:16605:1084:273 48813:25278:1084:260 51863:26138:1064:260 59988:16592:1064:260 58453:12711:1064:260 56304:21762:1084:273
