organizational	5444:32389:12791:1263
courtesy	27855:6707:2803:377
anne	23577:7176:1289:273
joyce	24560:9350:1473:338 25051:7189:1494:338
'85	26770:7176:614:286 26340:25825:634:273
looked	27589:7176:1616:286
at	29390:7189:470:247 30823:27154:491:247 27323:26724:511:247
a	32133:30188:286:208 27016:12450:245:195 24253:23299:266:195 30065:7241:245:182 24662:25474:266:195 30516:10262:245:195 27630:28964:266:195
french	30557:12359:1821:273 30536:7163:1801:260
course	23045:7670:1678:221 24191:20694:1698:195 23066:27662:1678:195
thursday	25010:7605:2456:351
morning.	27753:7605:2292:338
"it	30393:7605:695:260
was	25604:14169:961:195 31396:7657:941:195 29165:14169:982:195 24621:12437:961:195
really	23066:29316:1535:351 25992:30592:1494:338 23066:8035:1473:351 24949:13661:1473:351
crowded.	24826:8035:2292:286
but	27302:17581:859:260 27425:8048:839:273 23066:14078:798:286
the	30229:20616:757:273 23066:28026:777:273 31641:27128:798:273 31641:16266:736:260 23066:20616:777:273 23066:26711:777:273 23843:21475:798:286 31600:8022:777:273 29165:26255:777:273 28530:8035:777:286 24417:8908:777:273 27077:10210:757:273 24928:19301:777:273 28019:26698:777:273
minute	29574:8035:1760:260
teacher	23066:8465:1923:286 23066:30618:1944:286
started	25215:8465:1801:286
speaking	27200:8465:2292:364
in	26095:12372:450:260 28592:11512:429:260 26463:10210:450:273 29410:20616:450:273 29697:8465:429:273
french,	30372:8465:1964:299
•	32644:8465:20:364
half	23066:8895:982:273
class	25542:8908:1248:273 27773:12385:1248:260
got	27180:8934:757:325
up	25399:26346:593:260 28326:8973:593:273
and	26381:23208:1002:286 23066:10627:900:273 26525:15836:921:273 28121:17126:921:286 29288:8895:900:273 26299:26255:921:286 31457:12789:921:273 27609:27571:941:273
walked	30986:11057:1125:273 30557:8882:1821:273 23066:11486:552:286
out,"	23066:9337:1248:286
said.	30065:25383:1166:273 26340:11929:1146:273 26218:9337:1207:273
mohammed	23066:11929:3049:273 23598:9767:3049:273
said	23066:20173:1023:273 31375:22348:1023:273 27016:9767:1023:273 25767:13232:1023:273
he	24376:10627:573:273 28428:9767:552:273
thinks	29369:9754:1514:286
it	25215:23663:327:273 31273:9754:327:273
is	25297:30618:388:260 31989:9754:368:260
rude	23066:10184:1125:286
to	30741:16292:450:247 29267:23234:450:260 24355:10210:450:273 30372:20186:450:260 29840:13687:450:247 26995:27167:450:247 29963:19756:450:260 31948:14104:450:260 30761:23676:450:247
leave	24990:10197:1330:286
middle	27998:10184:1739:299
of	31969:26255:470:273 29062:19301:470:286 29902:10184:470:286 24805:11499:470:273
class,	30925:10184:1412:299
feels	25338:10627:1146:286
sorry	26893:10705:1350:273
for	28633:10627:716:286 23066:17568:736:273
professors	29738:10627:2640:351
when	23066:11057:1309:286
this	24601:11070:900:273
happens.	25726:11083:2230:325
"i've	28428:11070:1084:273 23618:21918:1309:273
only	29410:30566:1105:338 29738:11057:1043:351
out	31641:27597:777:247 23823:11525:777:247 31641:28899:798:260
two	25481:11525:859:247
classes	26566:11512:1801:273
four	29247:11499:1002:273
years,"	30454:11486:1903:351
"i	30741:26698:532:260 28469:22778:470:273 24191:13661:470:273 23618:12359:470:273
on	23066:21554:573:208 29513:12450:552:182
feminism	23066:12789:2394:273
with	24867:29732:1084:286 30291:18441:1084:273 25992:12815:1084:260
nine	27589:12815:1064:260
women	29165:12867:1780:195
myself,"	23066:13219:2230:351
dicky	27261:13232:1473:338
schumacher	29185:13232:3213:273
'88.	23086:13648:777:286
didn't	25215:19730:1473:286 26668:13661:1453:273
want	28367:13674:1228:260 25399:27154:1248:260
take	30557:13661:1084:273
there	24069:14091:1330:273
no	26791:14182:573:195 24191:25044:573:195
way	27548:14182:1023:260
i	28612:20186:184:260 24744:19756:163:260 28796:14104:143:260 24867:27154:184:260 27671:23221:163:273 29165:21918:184:273 25890:21046:143:273
going	30352:14091:1391:338
leave."	23066:14521:1842:273
picking	25522:15354:2435:416
profs	28244:15354:1678:312
freshman	23598:15823:2619:273 29963:19314:2435:260
sophomore	27732:15836:2803:338
years,	30823:15901:1535:260
many	23066:16344:1432:260
students	24908:16266:2149:273
are	27466:16344:839:195
drawn	28715:16266:1616:273
teaching	23066:16696:2353:338
heavyweights	25870:16696:3745:351
—	24498:23807:491:39 29861:16852:450:26
scully,	30536:16696:1842:338
spence,	23066:17126:1923:338
leonhard,	25297:17139:2558:312
westerfield,	29288:17113:3070:325
example.	24314:17568:2394:338
seasoned	28715:17568:2374:273
upperclassmen	31621:17634:532:273 23045:17998:3274:338
find	31457:26685:961:273 26688:17998:961:286
that	27732:21918:982:273 27998:18011:1002:273
their	29349:18011:1207:260
tastes	30905:18011:1473:273
grow	23066:18480:1248:286
more	24621:18506:1330:208
discriminating	26218:18441:3786:338
experience.	31641:18506:532:195 23066:18871:2333:338
"at	23618:19314:900:273
beginning	26136:19301:2517:351
year,	23066:19821:1289:260
know	27016:19743:1309:286
how	28633:19743:1002:273
shop,"	30741:19743:1637:338
emily	24314:20186:1575:338
true	26115:20186:1228:273
'85.	27589:20186:757:273 27302:22778:757:286
used	28981:20160:1187:286
go	31027:20238:573:273 29738:29381:593:286
by	31826:25812:593:351 31826:20173:593:351
description	26218:20616:2865:338
blue	31355:20603:1064:286
book.	23066:21046:1330:286
now	24601:21046:1084:286
base	26218:21046:1146:286
my	27507:21124:798:273
decision	28469:21046:2046:273
mostly	30679:21046:1719:338
teaching."	24846:21475:2681:351
learned	25378:21918:1944:286
don't	29799:21918:1248:273
like	28101:23208:921:286 30188:24953:900:273 23066:23221:921:273 31498:21918:921:273
huge,	23066:22348:1371:351
monstrous	25010:22374:2681:260
lectures,"	28264:22348:2537:312
erik	23066:22778:1146:286
kulleseid	27446:25383:2394:273 24560:22778:2394:286
hate	29288:22778:1084:286
feeling	30679:22778:1739:338
peon.	24764:23299:1350:273
have	29984:23208:1207:286
sections	23066:23650:1207:286 31416:23273:757:221
gives	25767:23663:1330:338
me	27323:23729:777:195
someone	28305:23716:2230:208
talk	31437:23637:982:286
leonhard's	23598:24523:2865:286
history	26770:24523:1780:338
course,	24069:28092:1821:247 28817:24588:1821:247
which	30925:24523:1494:260
has	23066:24966:859:273
sections,	24990:24966:2189:325
"was	27466:24966:1289:260
just	28981:24953:982:351
watching	23066:25396:1391:338 31314:24966:839:260
movie,"	25174:25383:2046:338
liesl	23598:25838:1228:273
lin	25194:25838:798:260 23618:28456:859:273
chooses	27282:25825:1964:273
courses	29554:25891:1944:208
walking	23066:26268:2026:338
down	27527:26255:1309:286
aisles	30229:26255:1453:273
book	24048:26711:1166:273
section	25399:26711:1760:260
co-op.	28960:26698:1555:338
books	23066:27141:1453:286
read,	27773:27128:1309:325
look	29451:27128:1023:286
number,"	24928:27571:2496:325
then	28715:27571:1105:273
check	29984:27571:1473:273
she	26115:28026:839:260
explained.	27139:28013:2640:351
says	25051:28534:1166:260
her	26791:28456:880:273
method	28264:28443:1985:286
works	30823:28443:1616:286
because	23066:28886:2067:286
"even	25378:28899:1473:260
if	27077:28886:368:273 31314:30110:347:286 30802:30553:347:273
lecture	28141:28886:1780:286
turns	30127:28899:1309:260
bad,	25071:29316:1064:325
you	29922:29693:1023:273 26627:29394:900:273
can't	31150:29680:1268:286 28019:29316:1248:286
totally	30802:29316:1637:299
wrong	23066:29811:1575:286
good	26156:29719:1207:351
reading.	27589:29706:2087:338
tell	23066:30188:798:286
during	24335:30175:1678:338
shopping	26463:30149:2312:351
period	29226:30110:1637:364
gpod,	27794:30579:1350:351
he's	31416:30540:1023:286
absolutely	23066:31048:2640:325
awful."	25911:31022:1903:286
nightmares	35939:5808:3765:429
most	33708:6277:1187:260
upperclassmen	35223:6303:3868:325
have	39357:6303:1228:273
horror	40831:6303:1637:286
stories	33176:6694:1698:273
of	36635:14078:470:286 36472:16240:470:273 42161:26659:429:286 40115:21866:470:286 35039:6707:470:273
classes	35673:6720:1801:286
whose	37659:6733:1535:273
descriptions	39357:6733:3110:338
were	33176:7202:1248:195 39849:24549:1268:195 36165:23690:1248:195
infinitely	34936:7136:2251:351
superior	37720:7176:2108:325
to	40340:7176:470:247 41138:11070:450:260 34896:17568:450:247 34200:18428:470:247 37822:17126:450:260 38682:15823:470:260 39869:8895:450:247 37188:26242:450:260 40012:23208:470:247 36021:17998:450:247
their	33217:16227:1371:286 39992:15367:1187:273 36124:22752:1207:273 41281:7176:1207:260
reality.	33176:7553:1842:351
"freshman	33749:7996:3233:286
year,	37618:8100:1432:260
i	40503:13205:184:260 39194:11916:143:260 39685:8035:143:247 40667:9311:143:260
took	40463:8022:1146:273
a	40381:16305:286:195 37966:21957:245:195 35387:21423:450:312 42202:8100:266:195 33729:14078:347:260 37925:27610:266:195 36615:10692:245:195
philosophy	33176:8426:2722:351
course	40851:16305:1678:208 33217:19353:1678:195 36287:8517:1698:208
where	39951:17959:1535:286 38375:8452:1535:260
the	37045:24927:777:273 33770:23195:941:260 39992:14938:757:273 40237:19275:757:273 39091:26659:798:273 36062:11916:757:273 40319:8452:777:260 41711:9754:798:260
professor	33176:8843:1535:286 41486:8530:757:260
actually	35080:8882:2067:338
put	35550:25812:818:325 37536:8908:798:325
me	38702:8947:777:195
sleep,"	40688:8882:1780:338
true	33197:9298:1187:260
said.	36738:27089:1187:286 34568:9298:1146:273
"1	35980:9311:470:260
never	36676:9390:1412:195
went.	38273:9324:1350:260
or	42079:24119:511:195 39849:9311:614:260
would	41036:13205:1473:273 37065:11473:1494:286 41015:9311:1473:273
meet	33197:9754:1268:247
my	35039:9819:798:260
friend	36390:9741:1535:273
there,	38518:9754:1494:299
do	40585:9741:573:273
crossword	33176:10171:2619:273
puzzle,	36021:10184:1719:338
and	38723:14938:921:273 35141:25357:921:273 33197:14508:921:273 37966:10171:921:273 41588:11486:921:273
leave."	39112:10171:1821:273
"it	33729:10614:798:260
was	35059:10692:1002:195
nightmare,"	37433:10614:3417:338
said	41384:10627:1125:273 33217:15367:1023:286 39951:20134:1043:273
another	33197:11044:1944:273
senior,	35489:11057:1698:312
who	37556:11044:1002:286 34363:12776:1023:273
refused	38907:11044:1903:273
be	41936:11057:573:273 40749:23169:573:273
identified.	33217:11460:2537:286
"i	33811:28417:532:260 36185:11486:491:260
sit	38948:11486:573:273
there	39910:11486:1330:260
say,	33197:11981:1002:260
'what	34466:11916:1371:273
hell	37065:11916:880:273
am	38150:11994:798:182
doing	39562:11903:1391:338
in	41158:11916:450:260 40217:14508:450:260
introductory	33197:12333:2701:351 41834:11916:450:273
anthropology	36287:12346:3458:338
with	40135:12346:1064:273
this	33238:19717:900:273 36860:20147:921:273 37822:15367:900:286 41588:12346:921:273
guy	33197:12828:921:286
tells	35653:12776:1023:273
anecdotes	36963:12763:2496:286
about	39726:12763:1412:286 35407:24927:1432:273 36062:27531:1432:273 39726:23611:1412:273 36042:18415:1412:273
new	41424:12776:1084:260
guinea	33197:13205:1801:273
every	35366:13284:1412:273
day?"	37147:13192:1575:364
then	38887:13205:1248:273
fall	33176:13635:839:273
asleep."	34241:13648:2087:351
number	34363:14078:2005:273
seniors	40770:21879:1821:273 37393:14078:1801:273
interviewed	39501:14065:3029:273
overheard	34384:14508:2640:286
by	37311:14508:573:351
chance	38150:14508:1801:273
dining	40933:14495:1575:351 39439:22309:1596:338
halls,	33197:14938:1371:338
yale	34936:14938:1166:286
station,	36431:14938:1923:325
street	41056:14964:1453:247
that	34670:15367:1002:286 36615:24054:1002:273 41588:23182:1002:273
since	36083:15380:1309:273
is	39153:15367:409:273
last	41629:15367:880:273
semester,	33217:15836:2476:273
they	41261:17100:1268:351 38600:24484:1084:338 33217:17972:1268:338 35100:17100:1064:351 35939:15810:1084:351 34855:23624:1084:338
want	37229:15823:1248:260 36369:17126:1268:260 34629:17998:1228:247 33217:17568:1248:247
take	35776:17529:1064:286 39357:15797:1105:286 36615:17972:1105:273
it	40688:15797:327:286
easy.	41220:15875:1289:273
vision	34814:16240:1473:273
what	37126:16240:1207:273
makes	38539:16227:1657:286
desirable	33217:16657:2374:299
tends	35755:16670:1350:286
toward	37311:16657:1780:299
external	39275:16657:2108:286
factors	33238:17113:941:260 41609:16657:716:286
—	40585:25070:450:26 34404:17256:470:39
sleep	38457:17100:1309:351
late.	39971:17100:1064:273
four-day	37311:17529:2128:351
weekends.	39910:17529:2599:286
courses	37863:18037:1923:208 34343:24132:1944:195
you	41732:27610:859:273 41650:18050:880:260 41732:27167:859:286 37986:26737:880:273
get	33217:18428:757:325
talk	34855:18415:982:273
tv.	37659:18415:880:260
"i'm	33770:18845:1248:273
taking	35612:18845:1657:338
reider's	37843:18832:2251:273
culture	40647:18845:1882:273
because	35203:19275:2026:286
he	33790:26229:695:273 37556:19288:573:260 35796:27102:573:273
asked	38436:19261:1473:286
class	41281:19275:1248:273
morning	34363:19717:2149:338
if	36738:19717:347:260
we'd	37249:19704:1187:273
watched	38661:19704:2149:273
remington	41036:19717:1228:260 33238:20147:1575:338
steele'	34977:20147:1698:286
week,"	37966:20147:1801:312
sloan	41179:20147:1350:273
walker	33238:20577:1842:286
'85.	35305:20590:757:273
case	36246:21423:1739:312
study	38641:21371:2046:390
on	33790:21905:675:260
wednesday,	34670:21879:3070:351
group	38436:21931:1473:286
sat	33238:22348:757:247
around	34445:22322:1760:273
branford	36676:22296:2333:299
hall,	41486:22296:1084:325
discussing	33238:22752:2681:338
schedules.	37536:22739:2619:286
consensus	34977:23260:2578:195
seemed	37822:23169:1944:286
while	33258:23611:1350:273
careful	37659:23611:1780:273
picking	33258:24054:757:338 41363:23598:982:351
fulfilled	37925:24041:1985:286
major	40237:24041:1555:351
other	33258:24484:1330:273
requirements,	34752:24484:3643:351
more	41281:24562:1309:195
relaxed	33258:24914:1944:286
"extras"	38068:24914:2251:273
"that	41281:24927:1309:273
fourth	33258:25357:1555:286
fifth	36390:25357:1043:273
course,"	37761:25357:2169:299
as	40258:25435:552:195
kevin	41138:25370:1453:260
johnson	33238:25786:2087:286
it.	36574:25799:470:260
also	34650:26229:1002:273
tries	35837:26229:1166:273
look	37802:26229:1043:286
ahead.	39009:26216:1678:286
"shopping	40913:26229:1412:338 33238:26659:1125:351
period	34589:26659:1596:351
gives	36410:26659:1350:351
illusion	40094:26659:1842:286
choice,"	33258:27089:2128:325
"you	38354:27102:1330:273
think	34609:28404:1289:286 40074:27089:1268:286
know	33258:27531:1330:273
all	35018:27531:614:273
class,	38621:27531:1412:312
but	40524:27518:757:286
don't."	33258:27961:1780:286
your	36165:28482:1187:260
psychological	37618:28404:3479:338
state	41384:28430:1207:247
later	43389:16292:1187:273
in	44761:16292:450:260
the	51965:22309:757:260 43962:21905:941:260 49836:16253:798:273 51944:21879:757:260 50635:21020:798:260 45395:16279:777:273 44924:17972:777:286
semester	46337:16292:2333:247
has	48834:16253:839:273
most	50778:16266:1207:247
to	52190:16253:450:260 47933:19743:450:247 52211:20173:470:234
do	43389:16722:573:286
with	44188:16722:1105:273
whether	45559:16696:2046:273
or	47851:16761:532:195
not	48608:16722:777:234
you	49632:16761:900:260 44986:19795:900:273
enjoy	50757:16670:1350:351
a	52354:16735:286:208
class,"	43389:17152:1780:312
he	45395:17139:573:273
said.	45968:18402:1166:286 46173:17126:1187:273
"i	43962:17594:511:260
think	44842:17568:1268:286
they	46459:17568:1105:325
all	47913:17555:593:273
turn	48874:17581:1023:247
out	47442:21033:818:260 50266:17568:757:247
lousy	51371:17529:1309:338
after	43389:17985:1228:273
midterm,	46009:17959:2374:351
anyway,"	48711:17972:2476:338
erin	51515:17972:1125:273
reilly	43389:18415:1494:351 43410:19288:1494:338
'85	45149:18415:634:273
others	43901:18858:1698:273
agreed,	46030:18845:1903:338
especially	48383:18845:2537:351
when	51330:18845:1330:260
added	45088:19275:1514:286
that	50635:21879:1023:273 46766:19288:1002:273
"courses	47953:19301:2230:260
are	45068:20238:839:195 50328:19353:839:195
great	51310:19288:1330:325
until	43410:19730:1125:273
have	46316:19730:1187:260
start	48834:19743:1166:247
working.	50430:19704:2210:338
there	43410:20160:1494:273
so	46091:20225:511:208
many	46787:20238:1412:260
courses	48383:20225:1903:195
i	50184:21449:143:260 45149:21033:184:260 50491:20160:143:247
want	50819:20173:1228:234
take	43410:20590:1105:273
[during	44822:20590:1862:338
shopping	46951:20590:2271:338
period	49488:20564:1596:364
1,	51187:20577:307:312
and	47749:21449:921:273 51760:20564:921:273
then	48874:21449:1064:273 43410:21033:1146:273
find	45886:21020:1002:273
what	48813:21020:1268:260
requirements	43430:21462:2906:351 51985:21072:491:195
are,	46541:21528:982:234
bag	50573:21436:880:338
it."	51678:21436:818:273
seniors	45211:21892:1801:273
also	47319:21879:982:286
agreed	48608:21866:1739:351
teacher	43451:22335:1923:273
is	45620:22322:388:260
more	46255:22387:1330:208
important	47831:22322:2517:325
than	50614:22309:1084:273
course	43430:22843:1678:208
description.	45477:22752:2988:351
"the	48895:22752:1248:260
material	50532:22739:2169:273
isn't	53500:16266:1064:273
that	54933:16266:982:273
important,"	56283:16266:3008:338
reilly	59701:16253:1494:351
said.	61543:16240:1187:286
"you	53520:16709:1330:273
only	55015:16696:1064:351
do	56243:16696:593:273
about	56979:16683:1412:286
half	58576:16696:941:273
the	55710:18389:1146:312 59701:16696:757:273 57286:22322:777:273 53520:21879:777:273
reading,	60643:16683:2108:338
anyway."	53500:17126:2476:351
"if	54053:17568:716:260
that,"	54974:17555:1494:325
someone	56693:17634:2210:195
else	59087:17555:1002:273
added.	60275:17542:1657:286
social	57143:18389:1862:312
side	59292:18376:1309:325
one	54053:18845:961:286
senior	55260:18845:1555:286
said	57061:18845:1023:286
she	58351:18858:818:273 60868:19288:839:273
had	58801:21449:900:273 61871:19275:900:286 59415:18845:921:286
more	60582:18923:1330:208
incentive	53500:19275:1862:286 62157:18845:409:286
to	53520:21033:450:247 60991:21918:450:234 55526:19301:450:260
show	56120:19275:1248:286
up	57573:19366:593:260
at	56529:22335:491:247 58310:19301:470:260
class	58944:19288:1248:273
if	60377:19275:347:286
friends	53520:19704:1780:286 56611:21007:1760:273
in	58924:20577:429:273 55813:19717:429:273
it.	56795:19717:450:273
justine	57798:19717:1801:273
mcgovern	60131:19717:2640:273
noted,	53520:20134:1514:325
"after	55424:20134:1616:286
four	57368:20147:1023:273
years	58719:20212:1371:286
of	60418:20147:450:273
taking	61216:20147:1555:338
courses	53520:20655:1923:195
with	55629:20577:1064:273
nobody	56918:20577:1801:351
them,	59538:20577:1432:312
1	61196:20590:143:260
want	61543:20603:1228:247
have	61584:21892:1187:260 54196:21007:1187:273
my	55588:21085:777:273
there."	58596:21007:1780:273
dave	54053:21449:1289:273
parker,	55506:21449:1964:299
who	57634:21449:1002:273
already	59865:21449:1944:338
left	61973:21449:798:273
dining	54462:21879:1575:351
hall,	56222:21879:1084:312
was	57491:21957:961:195
reported	58637:21892:2169:338
said,	53520:22309:1187:325
"i'm	55035:22322:1207:260
point	58351:22322:1228:338
where	59865:22322:1555:273
all	61666:22322:634:273
i	62628:22322:143:260
look	53520:22752:1023:273
for	54769:22752:716:273
is	55690:22752:388:273
a	56283:22830:286:195
cute	56795:22778:1023:247
t.a."	58044:22752:1391:273
ydn	59087:14000:859:169
gary	60131:14000:982:195
glasser	61236:13974:1453:182
shopping	43512:14404:2988:273
around	46807:14430:2476:260
—	49468:14586:511:39
kevin	50184:14443:1453:260
johnson	51924:14456:2067:260
'85	54319:14469:614:247
said,	55199:14456:1187:299
"shopping	56713:14456:2619:338
period	59599:14456:1616:338
gives	61482:14443:1289:351
you	60275:14964:880:260 43492:14912:900:247 52538:14951:859:260 49959:14873:982:260
the	44535:14846:757:247 45763:15706:777:247 50143:15732:777:260
illusion	45436:14846:1821:260
of	49488:15732:470:260 47421:14859:470:260
choice.	48015:14859:1760:273
think	51085:14873:1268:273
know	53561:14886:1289:260
all	55015:14886:593:260
about	55792:14886:1391:260
a	57327:14964:286:182
class,	57757:14899:1391:286
but	59333:14899:798:247
really	61318:14873:1453:338
don't."	43492:15263:1760:260
consequently,	45497:15276:3540:338
students	49263:15302:2087:260
have	51576:15302:1207:273
developed	52988:15302:2537:338
different	55731:15315:2189:351
strategies	58146:15328:2496:325
for	60868:15315:716:273
coping	43512:15693:777:325 61789:15380:736:260
with	44495:15706:1064:247
first	46766:15706:1043:273
week	48015:15732:1268:247
semester.	51105:15758:2476:260
\	57778:15797:429:299
ydn	59087:14000:859:169
gary	60131:14000:982:195
glasser	61236:13974:1453:182
shopping	43512:14404:2988:273
around	46807:14430:2476:260
—	49468:14586:511:39
kevin	50184:14443:1453:260
johnson	51924:14456:2067:260
'85	54319:14469:614:247
said,	55199:14456:1187:299
"shopping	56713:14456:2619:338
period	59599:14456:1616:338
gives	61482:14443:1289:351
you	60275:14964:880:260 43492:14912:900:247 52538:14951:859:260 49959:14873:982:260
the	44535:14846:757:247 45763:15706:777:247 50143:15732:777:260
illusion	45436:14846:1821:260
of	49488:15732:470:260 47421:14859:470:260
choice.	48015:14859:1760:273
think	51085:14873:1268:273
know	53561:14886:1289:260
all	55015:14886:593:260
about	55792:14886:1391:260
a	57327:14964:286:182
class,	57757:14899:1391:286
but	59333:14899:798:247
really	61318:14873:1453:338
don't."	43492:15263:1760:260
consequently,	45497:15276:3540:338
students	49263:15302:2087:260
have	51576:15302:1207:273
developed	52988:15302:2537:338
different	55731:15315:2189:351
strategies	58146:15328:2496:325
for	60868:15315:716:273
coping	43512:15693:777:325 61789:15380:736:260
with	44495:15706:1064:247
first	46766:15706:1043:273
week	48015:15732:1268:247
semester.	51105:15758:2476:260
\	57778:15797:429:299
peanuts	2640:43420:3806:364
bloom	2517:49151:3008:364
county	5751:49138:3397:377
doonesbury	2660:56535:5607:403
organizational	5444:32389:12791:1263
meeting	19136:32363:6958:1172
for	26893:32324:2435:950
j	31887:32103:880:1875 31928:33405:798:1979
the	13078:35215:2722:950 8677:33952:3295:950
insider's	12730:33887:7347:989
guide	20835:33874:5198:963 25092:37195:3049:703
to	10642:35281:1698:885
colleges	16578:35163:7613:1198
|	31866:40503:818:1041 31928:34864:798:1914
i	2415:37273:859:5795
a	6672:37325:777:546
nationally	8002:37286:5505:690
distributed	13999:37234:6017:599
college	20548:37221:4052:690
1	31887:39344:798:898 31907:36922:818:924 31866:41128:818:898
compiled	6610:38107:5137:729
and	12280:38107:1964:573
edited	14797:38068:3397:586
by	18788:38068:1207:690
yale	20446:38042:2415:573
students	23373:38029:4871:573
s	31887:37820:818:742
monday,	8923:39774:4625:690
january	14101:39761:4461:664
21,	19034:39722:1473:664
8:00	21039:39696:2210:573
p.m.	23782:39813:2210:573
ydn	8125:40620:2415:560
boardroom,	11174:40594:6447:651
202	18174:40555:1842:560
york	20487:40529:2537:573
street	23495:40503:3295:573
(opposite	13794:41402:5219:716
je)	19504:41363:1657:703
mrs.	34138:29433:1535:377
elizabeth	36062:29433:3377:390
greer	39808:29433:2046:390
roommates/apartment	35100:29928:5771:325
placement	36246:32624:2599:260 35550:30306:2578:260
services	38375:30306:2046:260
will	34936:30774:798:234
speak	36001:30774:1432:312
on	37659:30826:573:182 41322:45465:1166:403 34752:31933:573:195
apartment	38293:33027:2537:286 38477:30800:2517:286
locating	34343:31139:1985:299
in	36738:31152:409:234 36799:44879:552:286 41097:33001:388:234
new	39644:52654:1166:260 36901:47080:2087:468 37393:31152:1043:234
york	38661:31139:1105:247
city	39992:31139:961:312
at	41179:31165:450:234 39030:31894:470:234
timothy	34097:31517:1944:299
dwight	36246:31517:1616:299
south	38088:31517:1371:247
common	39705:31517:2128:247
january	35550:31868:2005:325
18th	37781:31881:1023:247
4	39705:31881:266:247
p.m.	40196:31947:1002:260
sponsored	34138:32233:2660:325
by	37065:32259:532:299
career	37822:32246:1637:260
advisory	39664:32259:2149:312
and	35100:32624:880:260
service	39071:32624:1801:260
if	34466:32988:307:247
you	37597:54165:1596:911 37413:48291:1125:299 34998:33054:839:260 39623:35515:2271:677
need	36083:32988:1166:247
an	37495:33054:552:182
nyc	35694:33366:1084:247
please	37004:33366:1596:299
come.	38825:33431:1432:182
roommates:	34404:33731:3110:247
212/288-9825	37720:33731:3151:260
or	41097:33796:470:182
212/724-2800,	35243:34108:3295:286
ext.	38743:34121:880:234
271	39849:34108:757:247
we're	34363:34473:1330:260
a	35919:34538:245:195
professional	36369:34473:3151:299
agency.	39746:34538:1842:260
what	33442:35606:3254:703
are	37024:35554:2149:690
waiting	33688:36479:4789:820
for?	38887:36414:2885:716
...brings	34445:44475:2619:299
out	37249:44462:1166:299
the	38580:44462:1105:286
very	39869:44462:1473:286
best	35203:44892:1453:286
your	37577:44879:1514:286
film	39296:44866:1330:286
1	33688:45504:286:390
hr.	34322:45478:1309:416
processing	35878:45452:5219:416
color	33975:46012:1575:377 33872:47731:2333:338
prints	35735:46051:1719:312 38498:53331:4338:703
&	37659:46038:388:325
ektachrome	38252:46051:3520:325
slides	36963:46481:1801:312
enlargements	36492:47692:5485:351
while	35448:48213:1719:338
wait!	38825:48200:1596:312
photo	34793:48708:2292:364 33524:53331:4216:664
greetings	37352:48643:3847:364
special	36615:49164:2783:351
$10.95	37045:49659:1944:364
25	35039:50193:532:260
cards	35776:50167:1371:260
with	37331:50141:1023:260 38948:51026:1023:260
envelopes	38580:50128:2476:299
reg.	36676:50570:1023:299
$14.95	37925:50531:1514:299
good	34097:51091:1330:273
until	35653:51065:1043:273
nov.	36942:51052:1043:247
30	38211:51039:532:247
this	40196:51013:900:260
ad.	41322:51013:675:260
%	33606:51534:429:260
624-2599	40115:51573:2558:325
930	38457:51990:818:247
chapel	39419:51990:1678:312
street	41261:52003:1432:273
(corner	39378:52368:1268:221
of	40749:52368:347:195
tample)	41220:52368:1473:247
downtown	36267:52654:3192:260
haven	40974:52667:1719:273
*wlule	34752:54178:2456:716
'wait	39623:54152:2149:690
quality	33729:55311:2169:286
•	36083:55376:184:117 38354:55363:184:117
speed	36451:55285:1698:260
convenience	38723:55285:3847:299
i	46848:24471:245:859 43860:42873:102:1667 63099:43681:102:729
—l3	47094:23820:11113:1536
—i	58310:24536:2537:794
home	46030:26932:2374:442
of	48772:26945:859:429 45620:61263:327:182 44556:60690:327:169
many	49959:27050:2353:442
greek	43921:29850:2517:442 52681:26958:2517:442
specialties	55567:26971:4768:533
known	44761:27805:4809:755
for	47503:62721:511:182 57900:55011:511:182 58780:51000:511:182 45272:52797:532:169 50266:27831:2046:729 46296:54412:1596:364 51023:48708:491:182 59620:47288:552:182
surprisingly	52865:27844:8780:950
moderate	45702:28860:7040:755
prices	53254:28886:4564:898
.	60356:29485:204:130 58494:29485:204:130 63222:58371:40:338 55751:49854:61:325 59415:29485:204:130 51965:51769:61:247 56386:61549:61:325 55895:61549:20:325 57859:61250:40:364
dancing	46766:29863:3499:560
friday	50635:29863:2660:573
and	49877:63294:654:182 55444:61354:675:182 61093:51013:675:169 54994:47614:675:169 49222:63008:654:169 53602:29876:1535:442
saturday	55444:29876:3847:560
nights	59620:29889:2824:560
991	44331:31321:1125:377
state	45886:31321:1923:390
street	56406:61067:1698:182 48138:31334:2189:377
at	48629:39031:634:351 61257:49620:347:182 49816:61263:347:169 63140:58267:327:169 47646:63008:347:182 55096:49971:327:169 50696:31373:634:338
edwards	51719:31347:3151:377
•	55403:31439:266:195
phone	56263:31360:2271:377
624-9361	58842:31373:3110:364
yale	51412:39018:1555:390 50307:34030:2312:442 45395:52498:839:182 60541:40907:1596:390 53725:47340:818:169
college	47360:61263:1309:208 45845:48460:1350:208 45334:41441:2763:455 53480:39018:2763:494 53009:34030:4318:442
freshman	46787:34655:5137:442
counselorships	52354:34629:8534:468
1985-1986	51740:35268:4154:442
applications:	45395:38380:5075:455
available	51310:38419:3417:377
from	55567:38432:1678:377 50573:50909:880:182
betty-jane	58125:38445:4093:481
