support	44424:41403:5369:1418
9-7	33502:19380:653:247
score	34339:19432:1367:195
take	36503:19367:1082:273
ivy	35217:23259:796:351 38728:19380:796:338
year,	33032:20304:1327:260 41056:23337:1265:286 33032:19862:1327:260 36115:26357:1286:273
looks	34768:19797:1265:286
extremely	36421:19797:2592:338
strong	39443:19823:1592:325
according	34707:20226:2511:351
harutunian.	38361:20239:3062:273
"i	41832:20239:469:273
saw	33053:20734:979:195
them	34462:20669:1265:273
at	36176:20682:469:260
trials	33053:21098:1510:260
december,"	35360:21098:3123:325
said.	39382:21098:1184:286 35727:25420:1184:286
"they	40790:21098:1531:351
have	33053:21528:1204:273
or	36360:21606:510:195
strong-looking	38688:21528:3654:351
fencers."	33053:21957:2368:286
so	35360:25055:510:221 33584:22400:571:273
do	34421:22400:551:273 36034:30652:592:273
elis,	36299:22400:1143:312
however.	37748:22400:2266:286
addition	41097:22400:1020:273 33073:22829:939:273
metkus,	34788:22829:2000:325
jessica	36973:22829:1817:286
yu,	38973:22842:857:299 35891:24131:857:325
went	41138:22855:1224:260
20-0	33053:23272:939:260
competition	36381:23259:3001:364 35319:31524:3001:351
returns.	33073:23714:2021:260
sue	35646:23688:898:286
kemble-cook,	37075:23688:3572:338
who,	41178:23701:1163:325
along	33073:24131:1388:338
with	37912:30222:1082:260 34604:24118:1102:286 36911:26734:1082:260
sophomore,	37932:24131:2919:338
third	33073:24547:1245:286
outstanding	34502:24547:3001:364
fencer.	37728:24547:1714:286
"she's	39708:24560:1633:273
improving	33073:24990:1959:351 41546:24560:571:273
much,"	36217:24977:1898:338
manager	40096:25055:2266:286
beth	33094:25420:1163:286
hull	34482:25420:1020:273
hull,	33604:25849:1204:325
senior,	35707:25862:1714:325
fourth	40831:25849:1531:286
starter	33073:26318:1755:247
having	37606:26292:1714:338
shared	39504:26292:1714:273
role	33094:26734:959:273
chaz	38279:26734:1204:260
vagt,	39770:26734:1347:338
graduated.	33094:27151:2756:351
harutunian	36421:27177:2919:260 38341:29780:2919:273
also	39851:27164:1000:273
said	41362:27164:1020:273
elis	35339:27593:979:273 34747:28908:979:260
draw	38136:27593:1286:273
upon	39647:27671:1204:260
"solid	33134:28036:1469:273
jv	35074:28036:694:260
people"	36238:28036:1980:338
fill	39627:28036:673:273
get	36993:28934:775:312
their	37953:28908:1204:273
first	39341:28895:1041:286
taste	40566:28934:1224:247
battle	33114:29337:1449:273
sunday	36115:29337:1857:338
when	38320:29337:1306:273
they	39953:29337:1082:338
face	41362:29337:1041:273
cornell	33114:29780:1817:273
ithaca.	36176:29780:1755:273
approaches	41648:29845:510:273 33094:30222:2306:338
meet	36524:30235:1224:247
one	39157:30287:857:195
big	40178:30209:755:338
question.	41097:30287:1061:273 33114:30652:1061:286
"how	34441:30665:1429:260
we	36769:30730:714:195
approach	37646:30652:2388:351
competition?"	40198:30665:1939:338 33114:31094:1572:273
asked	35625:31094:1449:273
rhetorically,	37279:31094:3184:338
"fencing	40688:31094:1429:273 33134:31524:734:351
nerves.	39321:31589:1817:208
you	41423:31524:979:286
cool	34972:31954:1000:286
head.	36197:31954:1327:286
"	37646:31954:244:78
men	46915:4685:1286:247
the	46486:12417:755:273 42934:7653:775:260 46854:13705:755:286 51407:15046:755:260 43526:7210:775:273 44220:14148:755:273 48875:14161:755:260 46323:9384:775:260 45690:5935:775:260 45119:8512:755:260 43567:8941:755:273 48140:8967:775:273 46895:11974:775:286 43445:5076:959:260
men's	44731:5076:1490:273
fencing	46548:5076:1837:364
team	48712:5128:1245:247
returns	50325:5141:1817:260
seven	42914:5557:1449:208 44384:13341:1408:221
starters	48732:13315:1980:260 44649:5505:2000:273
from	46936:5505:1204:286
last	47426:15449:898:273 48467:5531:898:273
year's	49651:5557:1551:312
5-5	51509:5583:653:260
team.	42934:5935:1408:247
but	44629:5935:857:260 50672:12885:857:273
ivy	44506:7223:796:325 46691:5935:816:351 43894:16751:796:325 44527:8941:796:338
league	47711:5961:1857:338 45527:8941:1837:338 45466:7223:1857:325
continues	49773:5987:2388:273
to	42934:6364:449:247 42914:10686:510:273 46486:9826:489:260 47548:8980:428:260 48344:16347:428:247 50018:13757:449:247
improve	43526:6351:2123:338
every	45792:6429:1429:273
year,	48528:15527:1286:260 47364:6442:1286:260
so	48814:6468:530:195 49998:12078:489:195
breaking	49488:6377:2225:377
a	48957:16400:285:195 51876:6494:265:182
two-and-a-half	42934:6781:3674:273
year	46936:6872:1122:260
winless	48385:6820:1857:273
streak	50570:6846:1592:273
in	42934:7223:449:260 48222:14148:428:273 49283:12000:428:273 42934:16751:428:260 42934:8941:428:260
will	47446:7236:918:273
not	48528:7275:755:247
be	49467:7236:551:286
easy	50161:7340:1122:273
for	51468:7288:673:260
elis.	43934:7653:1122:260
coach	43445:8069:1633:273
henry	45649:8082:1633:351
harutunian	47854:8108:3062:286
attributes	51468:8160:469:260 42934:8499:1959:273
continued	46099:8525:2449:286
improvement	48773:8538:3389:351
experienced	51427:12521:489:195 48589:10712:3572:325 42934:12833:2490:364 49079:8993:3082:325
fencers	42934:9371:1837:286
that	45078:9371:979:273
other	47344:9397:1286:273 42914:12404:1327:286
schools	48896:9410:1817:286 46160:14135:1837:286
have	50998:13315:1163:273 50978:9423:1184:286
been	42934:9800:1245:286 45466:11974:1143:273
able	44751:9800:1163:273
recruit.	47548:9840:2041:273
"penn,	50243:9866:1898:312
princeton,	42934:10243:2633:312
columbia	46037:10243:2409:286
—	48691:10412:449:39
they	49365:10269:1061:338
seem	50855:10360:1286:195
keep	44016:10673:1327:351
getting	45935:10686:2082:338
fencers,"	42934:11115:2347:312
he	45466:11115:571:260
said,	46201:11115:1163:325
"at	47569:11115:898:286
yale,	48630:11128:1306:338
we	50100:11219:673:195
build	50937:11154:1224:273
experience."	42934:11545:3266:351
as	43445:11974:612:273
has	44343:11974:857:273
case	47916:12065:1122:195
many	50753:12091:1408:273
years,	44567:12482:1531:273
elis	47569:12417:1000:273
boast	48916:12417:1327:286
no	50570:12521:551:195
recruits	45670:12846:2000:273
this	47936:12846:898:273
year.	49100:12937:1286:260
their	42914:13276:1204:286
returning	46078:13289:2388:338
demonstrated	42914:13705:3531:286
ability	47997:13718:1612:351
fence	50855:13744:1306:273
with	42914:14148:1082:273
top	45200:14161:775:325 44302:15475:775:312
league.	49855:14161:1776:338
two	43424:14577:1061:273
weapons,	44690:14642:2327:286
sabre	47242:14577:1408:273
and	48834:14590:918:273
foil,	49937:14590:959:325
both	51121:14603:1041:273
return	42934:15033:1592:247
three	44976:15020:1306:260
starters.	46731:15033:2123:247
sabre,	49365:15020:1592:338
elis'	42934:15449:1143:260
weapon	45282:15514:1919:273
is	50039:15462:387:273
led	50651:15475:755:260
by	51611:15462:551:364
1984	42934:15905:979:247
all-ivy	44241:15879:1755:351
pick	46303:15879:1041:351
dirk	47671:15879:1143:273
deßrito	49141:15892:1898:286
'86,	51407:15892:734:325
who	42914:16321:1000:260
slashed	44098:16321:1898:260
his	46201:16321:694:260
way	47099:16400:1020:260
13-2	49467:16360:898:234
record	50549:16334:1612:286
competition.	45200:16751:3144:325
also,	48916:16751:1204:325
senior	50631:16764:1531:273
larry	52979:4789:1449:338
smith,	54775:4802:1633:325
who	53040:11245:1000:273 56776:4789:979:286 56102:8265:1020:273
won	58103:4867:979:195
11	59451:4828:428:234
straight	60226:4776:2000:351
bouts	52979:5219:1327:286
at	54530:5245:489:260 53060:14278:449:260
the	55224:8694:755:273 55245:5232:755:273 53979:11688:775:260 53060:12534:755:273 59063:15137:755:273 53571:13835:939:273 58654:7406:775:260 54694:15137:755:260
eastern	56245:5245:2021:260
regional	58532:5219:2225:338
competition	56225:15580:2980:338 52979:5661:1898:325 60982:5297:939:195
last	59634:8265:918:260 55041:5661:918:273 57776:11701:898:273
year,	60921:8330:1286:260 56102:5740:1327:260
is	60594:14278:367:260 57593:5661:387:260
back.	58144:5648:1347:273
smith	59696:5648:1469:286
had	55102:15567:898:273 53979:15553:898:273 61308:5635:918:286
never	52979:6156:1429:195
fenced	54592:6091:1633:273
before	59451:15553:1592:286 56429:6091:1592:273
coming	58205:6091:1857:338
to	55878:11297:469:247 60267:6117:428:247 58614:14733:449:234 57021:16465:469:247
yale.	60900:6078:1306:273
in	53510:6520:489:260 52999:7809:428:273 54020:15124:449:273
foil,	54530:6520:918:325
team	56266:11727:1286:247 57981:12599:1265:234 56021:6560:1265:234
captain	57817:6520:1898:338
wei-tai	60267:6507:1939:286
kwok	52999:6950:1490:273
and	56633:12989:918:273 55020:6963:979:273 60247:11701:918:273 56143:14278:898:273
tim	56531:6963:1082:260
mueller,	58164:6950:2327:325
both	61063:6937:1143:286
seniors,	52979:7393:1959:312
will	61349:11701:918:273 55184:7406:877:260
start	56286:7419:1204:247
for	57736:7393:694:273
third	59634:7393:1224:273 56245:8694:1224:260
year	58879:11779:1163:260 61084:7458:1143:273
a	58695:10920:244:195 61002:8759:265:195 61962:7900:244:182 53918:7887:265:195
row.	54653:7900:1082:195
jerome	56225:7848:1919:260
demarque,	58634:7835:2837:338
sophomore	59491:10842:2776:338 52999:8239:2776:351
started	57470:8252:1817:286
may	53020:8746:1082:273
be	54408:8681:551:273
starter,	57756:8720:1878:286
but	59941:8694:796:260
recent	61574:8759:469:182 53020:9124:1041:247
leg	54265:9111:714:338
injury	55184:9124:1510:338
has	57817:9983:857:260 56899:9124:857:273
hampered	57940:9124:2572:338
his	59655:10412:694:260 60737:9124:673:260
effectiveness.	53020:9527:2939:299 61635:9111:408:273
if	56470:9553:387:260
he	58736:16009:551:260 57307:9553:571:260
can	58328:9631:877:182
not	59655:9579:775:234
start,	60880:9566:1347:299
junior	60737:12560:1551:338 53020:9957:1510:338
nat	54816:9983:877:260
cohen	56000:9983:1531:260
two	58961:9996:877:247
years	60124:10048:1408:260
of	58369:15137:469:273 61798:9970:469:273
varsity	53020:10399:1776:338
experience	55000:10412:2796:338
under	58001:10399:1429:273
belt.	60573:10399:1061:273
charlie	53550:10816:1837:286
melcher,	55898:10842:2245:312
came	54285:11336:1347:195
yale	56592:11271:1143:273
with	57981:11284:1061:260
experience,	59308:11271:2919:338
led	53060:11675:714:273
epee	54939:11766:1143:273 54163:12612:1143:273
do	53060:12091:551:286
so	53836:12182:510:208
again	54571:12130:1367:325
this	56184:12130:898:273
year.	57307:12208:1286:260 60043:15215:1265:260
rounding	58859:12130:2429:338
out	61513:12156:755:247
starting	55633:12560:1980:338
are	59593:12638:816:195
sean	53060:12976:1163:260
crotty	54653:12976:1572:351
transfer	57960:12989:2062:273
student	60410:12976:1878:286
liddle	53060:13393:1592:286
dallas.	54857:13419:1755:273
elis	54673:13835:979:273
open	55837:13927:1163:260
their	57205:13861:1184:260
season	58573:13913:1674:208
sunday	60410:13848:1878:325
cornell,	53060:15983:1061:338 53857:14252:1959:351 61268:15567:775:273
harutunian	57348:14278:2919:273
concerned	53060:14681:1694:286 61268:14356:775:195
about	55020:14694:1388:286
having	56674:14707:1694:338
face	59328:14707:1061:273
an	60614:14786:612:182
ivy	61513:14707:775:338
foe	53060:15124:755:273
first	55674:15137:1020:260
meet	56919:15163:1245:247
"if	61615:15137:673:260
we	53060:15632:694:195 54428:16504:673:195
it	54469:15996:326:273
would	55102:15996:1469:273
help,"	56878:15996:1531:351
said,	59593:15996:1184:338
"but	61125:16009:1163:260
now	53060:16504:1000:195
have	55490:16439:1184:260
go	57838:16491:592:273
fence	58797:16426:1327:273
cornell	60512:16426:1776:273
'without	53060:16855:1898:273
it."	55184:16855:816:286
yu!yu!yu!	43302:31107:3246:273
—jessica	46793:31134:2511:260
yu,	49590:31160:816:286 57981:31628:857:286
eli	50692:31160:714:247
sophomore	43281:31993:2756:312 51611:31160:2756:325
sensation,	54592:31173:2511:299
demonstrates	57348:31186:3450:260
the	61043:31199:755:260 50549:31589:755:260 58532:32058:775:260
form	43302:31550:1163:260
that	44751:31563:979:247
made	46017:31576:1367:247
her	47650:31576:816:260
20-0	48712:31602:898:234
in	49855:31589:428:247
ivy	51590:31589:796:325
league	52652:31615:1817:312
last	54734:31615:898:260
season.	55878:31680:1837:195
along	59103:31628:1388:325
with	60737:31628:1061:273
sue	46221:32006:877:260
kemball-cook,	47283:32019:3715:286
have	51223:32032:1184:260
been	52591:32032:1143:273
great	53918:32058:1327:312
additions	55429:32045:2286:260
to	57899:32084:469:234
elis,	59512:32058:1102:299
who	60818:32071:979:260
are	43281:32500:796:182
led	44302:32435:734:247
by	45262:32435:592:299
andrea	46078:32448:1817:260
metkus	48140:32448:1817:260
'85.	50202:32474:755:247
yu!yu!yu!	43302:31107:3246:273
—jessica	46793:31134:2511:260
yu,	49590:31160:816:286 57981:31628:857:286
eli	50692:31160:714:247
sophomore	43281:31993:2756:312 51611:31160:2756:325
sensation,	54592:31173:2511:299
demonstrates	57348:31186:3450:260
the	61043:31199:755:260 50549:31589:755:260 58532:32058:775:260
form	43302:31550:1163:260
that	44751:31563:979:247
made	46017:31576:1367:247
her	47650:31576:816:260
20-0	48712:31602:898:234
in	49855:31589:428:247
ivy	51590:31589:796:325
league	52652:31615:1817:312
last	54734:31615:898:260
season.	55878:31680:1837:195
along	59103:31628:1388:325
with	60737:31628:1061:273
sue	46221:32006:877:260
kemball-cook,	47283:32019:3715:286
have	51223:32032:1184:260
been	52591:32032:1143:273
great	53918:32058:1327:312
additions	55429:32045:2286:260
to	57899:32084:469:234
elis,	59512:32058:1102:299
who	60818:32071:979:260
are	43281:32500:796:182
led	44302:32435:734:247
by	45262:32435:592:299
andrea	46078:32448:1817:260
metkus	48140:32448:1817:260
'85.	50202:32474:755:247
catching	11473:50371:4491:689
some	16434:50397:2694:533
z's	19619:50410:2062:546
49ers	2204:51516:5063:1093
will	8166:51529:3531:1067
find	12678:51529:4001:1067
gold	17578:51581:4287:1301
at	22804:51647:1796:989
end	25499:51607:3491:1028
of	29929:51581:2102:1028
'rainbow'	32685:51490:9615:1145
jonathan	21661:50423:4797:546
zasloff	26948:50449:3817:650
first,	3021:53495:1429:325
florida	4675:53482:1898:286
tried	8186:53924:1224:286 6818:53482:1184:286
to	9697:53950:469:260 8227:53521:449:247
steal	8880:53495:1204:273 10452:53924:1184:273
california's	8962:55239:2980:273 10310:53482:3021:273
citrus	13535:53482:1449:273
industry.	2511:53937:2286:338
then,	5103:53937:1408:325
they	6818:53937:1102:338 5246:54380:1082:325
disneyland.	11943:53911:3041:351
and	2490:54380:1000:260
now,	3776:54458:1143:234
want	6614:54406:1224:247
our	8125:54458:837:195
super	4226:55681:1469:325 9248:54380:1449:325
bowl	11004:54367:1224:273 5961:55681:1224:273
trophy	12535:54367:1653:325
as	14454:54432:530:195
well.	2490:54809:1184:273
nice	3041:55252:1143:260
try,	4430:55265:877:312
fellows.	5573:55239:1939:286
but	7839:55252:837:260
dominance	12208:55226:2776:286
of	14536:55668:449:273 2490:55681:489:273
the	3205:55694:775:260
in	7492:55681:408:260
recent	8166:55694:1592:260
years	10024:55747:1429:260
(three	11759:55681:1531:260
out	13515:55694:775:247
opinion	7165:56619:2694:416
the	8166:63530:775:273 9922:58324:775:260 3082:63101:939:273 14270:61786:734:273 12800:60927:796:260 2531:59209:796:273 2531:57907:796:260 12923:60497:775:260
last	3531:57894:918:273
four	4675:57894:1020:286 14005:62215:1000:260
games	5920:57959:1653:286
have	7798:57894:1224:273
been	9248:57881:1163:273
taken	10657:57881:1367:260
by	12290:57868:551:351
california	2531:58337:755:273 13086:57868:1694:286
teams)	3572:58363:1776:247
will	5165:59209:898:260 12902:58311:898:273 4021:62241:898:260 5675:58337:877:260
continue	6818:58337:2184:273
—	9248:58480:469:26
trophy	10963:58324:1653:325
just	14046:58311:959:338
be	6328:59196:571:273 7390:63530:530:260 2531:58766:571:273
moving	3266:58766:1878:338
upstate,	5328:58779:2021:325
that's	7533:58766:1429:260
all.	9125:58753:775:273
it's	10126:58753:796:273
only	11065:58740:1061:351
fitting	12310:58753:1531:338
that	10330:60497:979:260 2531:60510:1020:273 14005:58753:1000:260 7268:60940:1000:260 7063:61799:1000:260
game	3552:59261:1388:273
played	7125:59183:1694:351
at	9044:59222:449:234
stanford	9738:59183:2184:273
(in	12208:59196:632:260
california!).	2531:59651:1449:273 13086:59183:1694:273
yes,	4042:60953:1082:299 11820:60068:1082:299 3062:60081:1082:325
i've	4491:60081:959:260
heard	5716:60068:1469:273
of	7472:60055:530:273 9779:61786:469:273 9758:61356:469:273
dan	8227:60068:1020:260
marino.	9534:60068:1980:273
i	13249:60068:122:247 3736:61812:142:260 5389:60953:142:247
know	5471:61812:1306:260 5757:60940:1306:273 13699:60055:1286:286
terry	3838:60510:1449:338
bradshaw	5614:60510:2572:260
thinks	8513:60497:1510:260
he's	11637:60497:979:260
best	13984:60484:1000:273 9207:63530:1000:260
ever.	2531:61044:1265:182
mark	8513:60927:1347:260
clayton	10065:60927:1939:338
is	12229:60927:367:260 9064:63101:347:260
most	13801:60953:1184:247
obnoxious	2531:61382:2531:273
person	5348:61448:1694:260
this	7329:61356:898:273 10514:61799:918:260
side	8513:61356:1000:273
william	10493:61356:1959:273
buckley.	12800:61343:2164:351
but	4450:63947:796:299 2551:61812:898:273
also	4185:61812:1000:273
none	8329:61864:1204:195
matters:	11698:61812:2204:234
49ers	2531:62254:1306:260
win	5144:62241:898:260
their	6247:62241:1204:260
second	7635:62228:1735:273
championship	9554:62215:3593:338
in	13351:62215:428:260
years.	2531:62736:1592:286
lesson	4369:63101:1531:260
for	6247:63101:714:260
today	7308:63088:1388:338
a	9758:63166:265:195
simple	10371:63075:1714:338
one:	12412:63153:1061:182
your	13882:63153:1122:260
quarterback	7043:63947:3164:325 2531:63530:3184:351
may	6002:63608:1102:260
thing	10473:63530:1306:312
since	12004:63517:1306:260
sliced	13556:63491:1449:286
bread,	2572:63960:1633:299
if	5471:63947:347:260
my	6063:64051:755:221
happens	10452:63960:2102:312
to	12800:63960:449:234
be.the	13474:63934:1531:286
second	16046:53417:1714:260
best	18108:53391:1000:273
thing	19497:53404:1286:338
since	21130:53404:1306:260
sliced	22784:53391:1469:273
bread	24621:53391:1429:260
and	26418:53391:898:260 27561:59886:898:273
my	27683:53469:775:260
defense	20191:59027:1919:286 16046:53833:1919:273 18476:60797:1919:260 24682:62944:1919:273 25131:59886:1939:273
can	18231:53898:877:208 26826:62996:857:195
slice	19374:53833:1163:273
your	20803:53898:1122:286
quarterback	22212:53807:3164:364
like	25683:53833:877:260 21947:59469:918:273
bread,	26846:53820:1612:299
then	16067:54263:1041:273
i	17353:54276:163:260 21742:55564:163:260
win.	17741:54276:1020:273
end	19027:54263:1000:273
of	16026:55577:469:260 20252:54263:469:286 28010:60745:449:273 21783:56423:449:273
discussion.	20905:54263:2776:273
,	27153:54419:102:117
you	16557:54705:979:273 26642:56931:898:273
want	17761:54718:1245:260
to	20354:56020:449:260 19966:61682:449:260 19231:54718:449:260 24723:62554:428:247
hear	19905:54692:1122:286
more.	21273:54770:1449:195
well,	22988:54692:1245:286
okay.	24458:54692:1347:325
no	23927:63035:571:195 26091:54692:653:273
one	26948:54770:857:195
in	16067:62111:408:260 28010:54692:449:273 20232:59912:428:273 22334:59040:408:260
his	16026:55135:714:273
right	16965:55135:1224:351
mind	18435:55122:1265:286
questions	19925:55122:2368:364
the	27683:61187:775:260 16046:60810:755:273 27683:55994:775:273 26806:62059:755:260 19190:58194:939:247 25193:60341:775:260 27704:59456:755:273 22539:55122:775:273 22947:59040:775:260 16026:57321:775:273 23600:61226:775:260 23049:59469:775:260
phenomenal	16046:56423:3082:364 23519:55122:3082:338
ability	19660:56423:1592:338 26826:55122:1612:351
dan	16720:55577:1000:260
marino.	17965:55577:1959:260
what	20211:55564:1265:273
do	22151:55590:551:247 27908:62918:551:273
question	22906:55551:2123:338
is	23192:62528:347:260 17884:61669:367:273 25274:55551:367:260
whether	25866:55551:2041:286
it	28153:55564:306:273
will	16026:56020:898:260 18823:62957:877:273
be	21252:62098:530:260 17312:56007:551:273
enough	18210:55994:1796:351
beat	21171:55994:1020:273 22579:58168:1041:260
joe	22579:55994:837:273
montana	23784:55994:2204:260
plus	26336:55994:1000:338
fred	22722:56410:1224:286
dean,	24437:56423:1449:299
dwayne	26418:56423:2041:338
board,	16046:56879:1694:312
ronnie	17965:56879:1735:260
lott,	19905:56879:1163:286
dwight	21273:56853:1796:351
hicks...well,	23314:56853:3123:286
get	27704:56879:755:312
point.	17006:57321:1408:351
true,	19721:61239:1347:286 18660:57321:1347:286
miami	20395:58610:1612:273 20252:57295:1633:273
has	22110:57295:837:273 20742:60784:837:260
played	24090:58584:1714:351 23172:57282:1694:364
against	26071:58584:1837:351 25050:57295:1837:338
great	27112:57321:1347:312
defenses	16026:57764:2184:273
before	18660:57738:1592:273
andxwon.	20660:57712:2470:312
they've	23559:57712:2041:364
also	26009:57712:1000:286
lost,	27438:57725:1020:286
sometimes.	16026:58194:2919:286
raiders	20354:58168:1980:273
them.	23866:58168:1429:273
furthermore,	16536:58623:3531:312
hasn't	22294:58597:1551:273
a	21620:61734:244:195 28173:58662:285:195 24172:60862:244:182
truly	16026:59079:1224:338
first-class	17476:59053:2511:273
playoffs.	23886:59027:2204:351
seattle's	26295:59014:2164:286
was	17925:62606:959:195 16026:59586:959:195
very	17190:59573:1122:260
good,	18496:59469:1327:364
but	24519:61656:775:260 20048:59482:755:260
not	23764:62554:755:247 21028:59508:755:234
49ers.	23988:59495:1429:260
who	25642:59456:979:273
led	26806:59443:714:273
entire	16026:59938:1510:286
league	18068:59938:1633:325
both	21191:59899:1061:273
scoring	22763:59899:1878:338
average	16026:60419:2082:286
yardage.	18435:60341:2225:351
indeed,	21028:60328:1837:325
during	23212:60341:1653:338
playoffs,	26254:60302:2184:364
s.f.	17128:60810:979:260
.allowed	21845:60771:2000:338
grand	24744:60758:1490:351
total	26561:60745:1122:273
three	16046:61239:1306:286 25499:61656:1286:260
points.	17700:61239:1633:338
neither	21457:61226:1796:273
bears	24744:61226:1449:247
nor	26561:61265:796:195
giants	16046:61682:1653:273
going	18435:61669:1347:351
win	20579:61669:877:260
shootout,	22049:61669:2286:299
points	26969:61656:1490:299
two	16659:62137:877:247
games	17720:62163:1653:273
would	19558:62098:1469:273
impressive	21967:62098:2796:351
even	24948:62150:1143:182
if	26295:62059:347:273
opponent	16046:62554:1674:325 27724:62124:489:260
columbia.	19088:62528:2572:286
this	21885:62528:1082:273
say	25315:62593:877:247
that	26397:62502:939:273
san	27561:62489:898:260
francisco	16067:62970:2551:273
slop	19946:63022:1020:273
marino	21212:62957:1796:273
—	23253:63101:449:26
that.	16046:63400:1143:260
they	17680:63387:1265:338
will,	19435:63387:1041:312
however,	20987:63387:2286:299
contain	23764:63387:1857:273
him	26091:63374:939:260
just	27520:63361:939:325
enough.	16067:63816:1919:312
miami's	30256:53443:2082:273
major	32522:53456:1531:338
problem	34237:53456:2102:338
is	36544:53469:367:273
that	29725:55616:959:247 37095:53482:1000:273
they	38259:53482:1082:351
can't	39525:53482:1245:286 29745:63894:1245:273
have	40933:53482:1224:286
the	32889:57829:755:260 33420:63908:775:273 40219:58298:755:273 41362:54367:775:273 35278:63048:755:273 40117:61330:775:273 29745:54328:755:247 29725:53885:796:273 37748:55642:939:273 32787:53885:775:260 33665:57400:755:260 34257:55187:755:273
ball	30766:53872:898:273
all	31910:53885:632:260
time.	33788:53885:1265:273
and	35339:53898:979:273 29705:55174:918:273 33522:54744:918:273 38912:61317:918:286
if	36564:53911:347:247
you	37116:53976:898:260
try	38259:53937:714:325
to	41709:60055:449:260 39218:53924:449:273 38524:58753:449:247 32828:57413:428:247 40566:54380:469:247 33543:55200:449:260 35237:60901:428:260 31910:57855:449:247
compare	39913:53989:2245:273
relative	34666:54757:1959:286 30868:54315:1939:273
strength	36850:54783:2123:338 33155:54341:2123:312
of	35625:54328:469:273 39218:54783:449:273 37197:60458:449:273
marino,	36442:54341:1980:325
et	38790:54367:449:260
al,	39586:54354:612:338
niner	29745:54757:1408:260
defense	31379:54744:1919:273
montana	33706:56528:2225:273 39892:54796:2225:273
company	30889:55174:2409:338
miami	35258:55200:1633:273
defense,	37156:55200:2062:338
you'll	39484:55226:1408:338
find	41138:55226:979:273
there's	31113:55616:1714:260
no	33257:55694:551:182
comparison.	34196:55629:3123:338
killer	39096:55642:1449:273
bees	40933:55668:1163:260
simply	29684:56033:1714:351
haven't	31705:56033:1878:273
been	33910:56033:1143:286
stinging	35339:56059:2041:338
lately.	37687:56059:1551:364
in	32767:63908:449:273 39565:58298:408:273 30317:56554:469:234 35319:56983:408:260
addition,	31134:56528:2225:299
has	33727:59144:857:273 36279:56541:857:273 31767:60875:816:260
always	37463:56541:1776:351
responded	39565:56554:2613:351
with	29766:56957:1082:260
his	35503:61760:673:273 31113:56957:714:260
best	32114:56957:979:260 41138:59586:1020:286
efforts	33359:56957:1674:273
big	36034:56970:734:351
games:	37054:57048:1837:273
from	39239:56996:1204:273
super	40709:56996:1469:351
bowl	29766:57387:1224:273
xvi	31440:57400:979:260
championship	34788:57413:3572:351
game	38341:63127:1429:273 38749:57491:1388:273
versus	40525:57504:1633:208
dallas	29766:57829:1633:260
comeback	34155:57842:2572:286
35-34	37238:57868:1184:260
win	38933:57855:857:273
against	40321:57868:1837:338 32828:62176:1898:338
houston	29786:58272:2041:260
when	33727:61747:1306:286 32032:58272:1327:260 37320:60016:1286:286
he	36564:62215:653:247 33584:58259:551:273 36748:59586:571:273
was	34339:58350:959:195
at	35503:58298:449:260 40464:59612:469:260
notre	36197:58298:1429:260
dame	37830:58298:1510:260
1979	41219:58324:959:260
cotton	29766:58701:1612:273 29766:61734:1592:260
bowl.	31644:58701:1367:273
he's	29766:60003:979:260 33298:58701:1082:273
shown	34604:58714:1572:273
himself	36401:58727:1919:273
be	39198:58727:571:260
a	39974:58792:265:208 37789:60523:265:208
money	40464:58792:1694:286
player.	29766:59131:1776:338
marino	31746:59144:1837:260 29766:60875:1817:260
not.	34747:59170:898:260
yet.	35850:59170:898:325
dangerous	36973:59157:2715:338
dan	39872:59157:1000:273
may	41056:59235:1102:273 37524:59664:1082:273
play	29766:59560:1061:351
great	31011:59586:1347:312
ort	32542:59599:571:234
sundays,	33298:59573:2266:351
but	35789:59586:734:273
not	38790:59612:775:247
—	39974:63218:469:39 39790:59742:449:26
an	31134:60081:592:182
unknown	32134:60003:2245:273
quantity	34788:60016:2123:351
it	39014:60029:326:273
comes	39729:60094:1592:208
pressure.	29766:60510:2347:247
can	32318:60445:939:260
anybody	33420:60445:2143:351
think	35748:60458:1286:273
situation	38238:60458:2204:273
where	40607:60471:1551:273
truly	32808:60888:1163:312
had	34155:60875:898:286
produce	35850:60888:2021:351
under	38014:60888:1449:273
pressure?	39627:60914:2490:325
oh,	29766:61291:796:325
yes,	30889:61369:959:260
two:	32155:61317:1061:273
last	33584:61304:898:286
year's	34747:61317:1572:351
playoffs	36626:61317:2021:351
1983	41178:61356:979:260
bowl,	31848:61747:1388:299
pittsburgh	36666:61760:2694:338
panthers	39831:61760:2306:286
squared	29745:62163:2041:338
off	31991:62176:673:273
smu.	34911:62189:1388:273
lost	37442:62202:877:273
both	38524:62189:1082:273
times.	39810:62202:1531:260
one	30256:62606:979:260
final	31460:62606:1122:260
note.	32808:62632:1204:260
forecasts	34257:62619:2511:273
call	36993:62632:918:260
for	38136:62632:714:273
rain	39055:62632:1020:273
on	40280:62710:551:195
sunday,	29745:63022:1041:338 41056:62619:837:273
which	40648:63061:1469:273 31011:63035:1449:273
will	32665:63035:877:273
favor	33767:63035:1306:286
running	36217:63075:1959:325
s.f.	29745:63452:979:273
executes	31052:63491:2204:260
far	33563:63465:714:286
better	34604:63478:1490:286
than	36401:63504:1102:260
miami.	37789:63504:1776:260
dolphins	39913:63491:2204:338
