eowgy°	3534:2848:14512:2549
"	54473:35375:166:78
room	51084:36012:2598:455
temperature	54141:36025:5551:572
problem?	52269:36766:4116:455
call	56864:36753:1704:455
_	49795:38002:727:130
(43)6-4146	53309:37508:4283:546
how	5343:38912:2245:520
bmoc	18462:48692:2411:390 6965:40187:2411:377 29004:41422:2494:390 10104:38899:3555:546 21415:53452:2370:377 11809:44348:2411:377 21831:52815:2411:390
responds	14200:38899:4823:676
inquiries	25365:38847:4594:689 19024:40824:2910:494
clearinghouse	11331:40187:4636:494
questions	17672:40161:3160:507
and/or	14886:49369:2203:390 21186:40161:2183:390
complaints	23723:40148:3638:494
about	22309:40824:1829:377 27756:40135:1871:377
all	17610:40824:1018:390 30023:40135:769:377
/	35595:41370:623:624 58403:48549:561:754 34347:43685:166:338 56698:50422:769:559 59318:47262:207:390 57384:49772:706:624 55679:51072:977:585 36925:39927:1226:832 59547:46520:124:338 34659:42697:395:598 58964:47821:353:611 35200:41929:436:520 58070:49174:498:520 36364:40759:561:442
gas	48381:39940:2682:390
\	49047:47821:831:611 50544:49174:894:650 50357:49017:478:286 59151:43646:207:364 57384:41305:582:507 36177:50422:748:546 34742:48562:353:507 48298:47158:727:520 34368:47821:207:338 55721:40057:727:429 34264:47548:145:273 51958:50422:748:559 35096:49174:478:520 56615:40655:644:481 52665:51072:810:572 47404:46351:727:507 47945:46806:686:520 48735:47548:436:273 51230:49772:769:559 58008:41929:498:507 35553:49772:623:559 59339:44101:249:689 46801:45727:644:520 34181:47249:207:429
energy-related	5343:40837:4761:494
matters	10499:40928:2370:299
on	13223:40954:810:273 28567:43750:810:260
campus.	14408:40941:2765:390
temperature-	25864:40850:4366:429
3,9	47675:40772:1309:416
°	49213:40785:602:286
00	51750:40746:1476:299
control	5343:41474:2328:377
buildings	7069:48744:3160:507 9044:41487:3014:507
should	19939:41474:2183:377
directed	23598:41448:2702:390
17%,	49671:41461:2349:364
(43)6-4146.	5364:42124:3680:455
following	11102:42138:3097:494
describes	14554:42138:3201:377
happens	20084:42111:2702:481
someone	25324:42203:2973:273
contacts	28650:42138:2786:312
bmoc.	6694:42762:2557:390
telephone	7838:43698:3201:494
inquiry	11414:43711:2370:494
received	15073:43685:2827:403
simultaneously	19814:43659:5052:494
recorded	25240:43646:2952:390
cassette	5343:44400:2536:325
tape.	8233:44413:1517:416
operator	8690:45974:2806:416 14595:44400:2869:429 9023:50747:2786:429
logs	21935:50617:1289:494 17839:44335:1309:468
pertinent	19544:44309:2952:494
information	25303:55390:3804:325 5343:53517:2307:390 29004:52802:1600:377 22912:44296:3908:377
regarding	27236:44283:3243:507
area.	9792:45116:1580:260
13^3□	38443:45220:2744:416
0,0	41416:45233:1372:416 53704:46937:1372:390
o	43017:45220:561:299
□	43807:45233:561:286
attempt	13452:45961:2494:416
resolve	17340:45870:2370:377
through	27507:45844:2640:481
81%	40439:45922:2349:390
oil	52290:46130:2287:364
computer	5301:46611:3181:377 21269:48770:3160:416
system,	8836:46611:2432:377
if	11664:46546:540:390
corrective	12474:46533:3389:403
action	16238:46520:2058:377
problems	24513:46507:3118:481
dealt	29399:46481:1663:390
l	6383:47184:311:143
i-•	9085:46806:602:520
■.	18358:47158:353:169
t-u	19689:47145:852:182
~	29627:47132:374:104
4,9	51271:46937:1372:390
0	55284:46950:582:299 52914:46937:582:299 56095:46950:582:299
their	11705:47197:1538:377
level	13597:47184:1517:390
severity.	16529:47210:2723:416
thus,	19689:47158:1850:429
areas	12869:47951:1704:273 21955:47249:1684:273
no	25843:47262:810:260
gg	52519:47678:1330:273
y	54286:47665:727:286
take	5301:47834:1330:390
precedence	6985:47834:3784:494
over	11123:47964:1393:260
some	16841:47912:1725:273
heat.	18961:47821:1538:338
outside	13306:48744:2411:364
network	24804:48705:2702:377
pro-	29440:48809:1413:377
blems	5281:49395:2016:390
requiring	7672:49395:3056:494
inspection	11102:49382:3389:494
repairs	17464:49343:2266:494
system	25220:49408:2224:416
refer-	29232:49330:1829:377
red	5322:50045:1060:390
emergency	9044:50045:3700:481
repair	13161:50019:2183:494
(ero)	18254:49967:2141:481
physical	23120:49980:2723:494 8025:52230:2723:481
plant.	26238:49967:1912:390
cases,	5301:50786:1975:338
initiates	12183:50669:2578:377
ero	15157:50656:1642:377 19606:51254:1580:364
orders,	19232:50617:2287:429
respective	24991:50617:3347:494
ticket	28713:50617:1892:364
numbers	5322:51319:2890:377
forwards	10125:51319:2869:377
tickets	14741:51293:2162:377
\.	36946:51072:997:572
plant	11144:52230:1663:377
trade	13161:52217:1684:377
person	15219:52295:2266:390
investigates	17880:52152:3804:481
problem,	23889:52178:3056:494
completes	27340:52165:3451:481
x.	38963:52269:727:260
order	8732:52867:1788:390
returns	12391:52919:2349:312
copy	15801:52919:1600:377
it	18795:52789:395:377
transcribed	8898:53491:3721:403
into	12994:53491:1268:364
entire	19149:53413:1892:390
aware	28609:53556:1954:273
___	44493:53764:873:117
——	48735:53556:1621:273
thestatus	5343:54155:3222:403
report	11435:54181:1995:442
problem.	15468:54064:3077:494
vale	37258:54285:3991:468
utilities	42393:54246:7193:468
85/86	50752:54168:4782:598
was	29482:55494:1185:221
prepared	31021:55364:2910:429
eowgy°	3534:2848:14512:2549
ewsrytody's	20230:2887:23307:2562
uteomxin	45512:2978:17319:2028
to	22454:6749:1393:598 26675:41513:602:312 19523:38925:894:494 12433:9585:644:312 43121:23410:686:351 19544:52854:602:312 22849:25855:582:286 16321:45948:623:312 17298:51345:561:299 17132:8908:665:338 41000:34269:540:286 6715:50110:623:299 10749:47262:602:312 14283:10300:623:312 46344:24099:706:338 41998:20626:686:338 39337:10339:665:338 23681:17934:602:299 9522:24060:602:312
members	24388:6749:5364:624 41915:34204:2931:351
of	30937:53452:706:377 20770:49967:706:364 10936:25087:748:468 41479:8180:852:520 29731:34763:686:351 17776:52802:706:364 44286:24073:790:364 10936:8102:852:520 32746:33619:686:364 16279:41487:727:377 30376:6736:1185:624 23827:10248:852:533 8067:41487:706:364 15510:47171:706:377 48714:9572:831:533 20105:49330:706:377 16092:48718:727:390 40959:22681:769:377 8919:54142:727:390 12059:10183:852:533 13784:54090:706:390
the	13472:41500:977:364 30522:45831:997:390 22849:46507:1289:377 7048:45909:1289:377 26696:16413:997:377 17818:53426:977:364 35761:20574:1060:377 21082:49330:977:377 17111:48718:977:377 13244:25724:977:364 56469:10326:1081:429 24513:40811:977:377 27631:41435:997:377 20063:45857:1018:377 19398:24047:977:364 9480:42138:1268:364 23598:50630:977:364 7651:50682:1018:364 5343:42762:997:390 5343:44973:956:390 33890:24047:1081:377 8087:38912:1517:520 21248:16400:1039:390 5322:40187:1289:377 13368:51306:977:390 21768:49967:956:390 23598:18493:997:377 8690:22174:977:364 10167:44361:1268:364 35345:55351:956:325 30667:33073:1247:338 26363:8856:1081:416 31998:6736:1704:611 29648:24047:1081:377 18234:51267:997:364 5322:52880:997:390 20396:19118:1018:377 20500:52802:977:364 30729:34763:935:351 7692:50032:997:377
yale	33703:33619:1309:364 34285:6736:2287:624 31395:10222:1538:416 32019:34750:1330:351
community	37175:6762:6798:780 33703:34750:3825:468
squandering	5717:8076:4844:546
electricity	37029:44374:8690:429 11996:8102:3680:546
has	37279:33060:1039:351 16009:8115:1289:416
become	17652:8128:2848:429
a	32559:22057:395:273 34929:22772:374:273 10645:40304:332:260 18151:8960:436:286 14782:54207:332:260 14616:53582:332:260 6923:43698:540:377 12932:17921:332:247 34617:8167:561:390 20853:8284:457:273 7089:52243:561:364 15115:52945:332:260 10873:21537:332:208 51978:13629:665:507 41624:33177:332:247
significant	21706:8154:3971:533
problem	25947:8219:3118:481 6653:44986:2786:507 21415:45870:2765:468
here	29420:8141:1663:429
at	30334:10326:748:312 32954:24073:644:351 31457:8232:727:312
yale.	32621:8141:1538:403
full	35428:8154:1393:520
10	37216:8167:831:429
percent	38256:8271:2869:429
our	35491:24853:1226:273 18691:10365:1351:273 42539:8310:1309:286
projected	44119:8180:3513:533
electrical	42206:22681:3201:377 47986:8180:3430:416 48818:10274:3430:429 23078:9546:3513:429 24866:10248:3513:429 29607:21251:3264:377
costs	51770:8310:1746:312
for	25656:25777:1081:494 7692:13941:1559:559 16383:40174:935:390 53746:8232:1205:520 6694:8765:1309:546 14990:9494:1205:546
1984-85	55326:8245:2952:429
will	11851:45909:1226:377 18088:17830:1268:377 20209:18480:1247:377 58652:8245:1372:416 51271:8882:1309:429 28754:47158:1289:351
be	60378:8245:852:416 22475:41474:748:377 41042:34763:706:364 52914:8895:831:429 27486:53439:748:377
spent	4490:8869:1995:442
pure	8254:8895:1767:416
waste,	10395:8882:2224:377
according	7110:47197:3285:481 13057:8804:3659:533
recent	19024:8934:2287:312
estimate	21685:8869:3097:403
by	29731:35323:727:468 25157:8856:852:546 34285:55364:706:403
university	36634:55351:3347:455 27902:8856:3784:507
energy	40356:55403:2287:390 52623:10430:2432:403 35366:33632:2307:455 32268:33073:2287:442 35262:24047:2536:494 17298:41591:2266:377 32060:8830:2578:533
office.	21540:51254:2058:390 35075:8843:2328:533 43017:55416:2141:325 24638:52802:2058:390
that	35283:23357:1413:390 38006:8869:1600:403
means	40002:8999:2328:286
more	42726:8999:1871:286
than	44972:8869:1600:416
$1,250,000	46988:8843:3929:507
diverted	54120:8921:3014:429
from	33017:24749:1767:377 57322:8947:1850:520
academic	4470:9455:3721:442 29752:34178:3035:377
programs	8462:9598:3596:416
pay	13389:9624:1393:403
lights	56573:14657:2328:585 16529:9507:2016:533
and	18587:17037:1205:377 18275:43672:1164:377 43412:25464:1309:377 18608:18480:1205:364 8566:51332:1185:364 33308:10222:1413:416 37903:34763:1122:351 27860:48692:1185:390 16882:14032:1829:533 52415:15398:1580:455 18920:9546:1455:403 10853:52867:1164:377
other	45159:25464:1933:377 20687:9546:2037:416
devices	26925:9546:2661:429
left	29981:9533:1205:533
operating	31540:9546:3534:520
needlessly.	35449:9546:3908:546
research	39857:9559:3389:416
facilities	43495:9559:3305:546
are	27819:49460:997:260 28006:46611:997:273 39587:23488:1101:273 47155:9715:1164:273 36489:34308:997:234 21477:21706:1018:260
particular	49650:9585:3804:533
concern	53787:9754:2910:286
in	55409:10326:665:416 38713:33073:540:338 57114:9650:644:403 28588:49980:665:364 23889:19131:602:377
this	23536:55390:1393:325 58153:9637:1351:416 27132:52802:1476:377
regard.	4490:10157:2598:533
i	60690:25555:124:325 60690:22785:103:325 49858:20704:124:325 50107:33047:124:325 7630:10170:415:416 32684:26128:187:377 60690:23566:124:325 34056:46546:103:299 49775:17882:124:351 49899:23436:145:338 60669:33112:124:325 60690:23188:124:312 49962:25477:124:325 60690:25139:124:338 34118:46885:103:325 49837:20301:103:156 59443:46806:166:442 49920:24268:124:312 60690:19222:103:312 50128:34243:103:325 60690:20028:103:312 14658:25724:103:104 49816:18936:124:507 10977:25711:124:117
ask	8337:10157:1289:429
each	9959:10183:1704:416 22018:52191:1476:364 42414:24073:1580:377
us	13119:10326:769:286 45304:24190:769:260
examine	15323:10222:2993:403
patterns	20271:10326:3160:429
use	28733:10378:1185:286 16196:11041:1205:286 14824:41604:1081:260
personally	34971:10261:3991:520
work	40418:10261:1808:416 6694:52867:1704:390 17173:50630:1684:377
toward	42601:10261:2557:429
utilizing	45512:10274:2910:533
most	57925:10417:1767:338
efficient	4470:10833:3035:559
way	7942:10989:1496:403
possible.	9709:10885:3222:520 19544:46494:2890:494
please	13431:10898:2391:416
only	17797:10911:1621:533
what	18130:42124:1580:377 19814:10924:1746:416
you	55056:16295:1517:429 19918:21693:1164:377 21914:11067:1351:403
really	23660:10937:2120:546
need.	26134:10937:1892:429
y@iui	51459:12511:2224:663
„	54058:13486:207:130
eamm	54265:12693:3950:507
®	58278:12693:706:507 55367:20093:353:195 59775:12706:686:494 55347:23292:395:234
k	59068:12550:686:650
hints	4449:13967:2723:533
keeping	9730:13967:4095:702
safe	14304:13993:2079:546
warm	19273:14032:3139:546
a.	37258:14072:852:403
bartlett	38609:14059:2744:416
giamacti	41749:14059:3222:416
turn	52415:14644:2162:455
off	54993:14644:1226:455
•	24679:46806:83:520 12766:47197:103:65 11975:25438:83:481 4428:23097:353:221 6154:48809:353:221 6133:43776:291:195 6195:52282:353:221 4428:20613:353:234 4470:15372:374:234 5946:47184:103:78 6175:45948:332:221
radiator	5447:15268:3929:455 22683:16400:2640:390
appliances	54432:15411:4532:585
remove	5447:16321:2744:377 29648:24840:2661:286
any	9917:54259:1122:377 8566:16439:1143:377 9418:25191:1185:351
articles	10083:16334:2432:390
located	10603:48744:2328:390 12890:16360:2328:377
directly	15593:16360:2578:507 24554:45870:2578:468
around	18525:16400:2328:377
so	25677:16530:686:260
when	5405:19027:1788:377 23161:42111:1788:377 52415:16152:2245:442 5426:18389:1767:377
don	57031:16152:1600:468
t	31021:26167:228:338 14637:34750:852:351 58860:16204:311:403
heating	20749:24047:2474:507 5426:16946:2515:494 22413:49330:2432:494 20916:38873:3950:676 14554:25724:2474:494
unit	8337:16959:1289:377
may	39400:34880:1268:351 9979:17089:1351:364
function	11747:16985:2702:377
efficiently	14824:17011:3389:494
with	20167:17037:1476:377 14969:47821:1476:377 5301:47197:1434:377 24014:47158:1434:364
maximum	22039:17050:3409:377
safety.	25802:17063:2037:481
need	52415:16894:1954:455
them.	54806:16894:2432:468
many	5426:17765:1892:468
radiators	7755:17765:2993:390
have	29648:22655:1642:390 11123:17791:1455:377
valve	13660:17804:1663:377 21789:19131:1704:377
which	15676:17817:2037:377
allow	19731:17843:1808:377
heat	21935:17856:1393:377 24970:18493:1351:377 27008:47158:1351:377
flow	24658:17869:1455:364
~j	60316:17908:478:455
turned	7609:18402:2224:377 7609:19053:2224:364
fully	13119:21550:1476:481 10229:18402:1496:494 10208:19053:1517:481
counter-clockwise	12121:18441:6112:390
stop	21893:18545:1351:429
j	59193:47548:228:403 50128:33476:103:702 33994:45090:103:494 34077:44114:270:793 13514:25711:166:208 49795:18298:124:741 49899:21940:103:650
f\	52415:18584:457:468
clockwise.	12100:19066:3472:390
do	16030:19092:997:364
not	17402:19183:1039:286
jam	18650:19118:1393:481
either	24866:19144:1933:377
direction.	5385:19677:3305:377
fireplace	5405:20522:4075:585 7526:21537:2993:468 10063:22174:2890:494
spring	29648:20535:2370:494
recess	32393:20665:2099:273
is	9792:40187:478:377 8025:53504:519:390 18691:46507:478:377 34867:20561:498:377 14200:43698:478:390
perfect	37216:20574:2474:455
time	40065:20587:1559:377
give	43038:20600:1455:481
yale's	44847:20574:2224:390
ah	13119:21537:1018:208
,	24118:25764:124:156 9855:25698:103:143 15364:21095:83:650 13597:47184:145:143 36468:23396:228:143 46593:23370:166:169 20646:25113:124:117 12204:25074:145:156 18920:47769:145:117 10707:23006:166:143 49878:21875:124:221
*	16945:21576:124:104
|	33973:45818:124:702 18317:21576:103:169
...	37154:23357:810:117 22891:21602:1580:65 41042:23383:2266:156 48735:37859:540:78
bill	33619:21251:1143:377
(exceeding	35532:21251:3804:494
$1,000,000.00	40065:21264:5114:481
per	45928:21394:1164:351
!	49858:21095:145:559 49899:22629:124:520 59567:45103:124:416 50149:34633:103:481
3	55263:21472:748:273
keep	10520:23995:1496:494 5405:21537:1704:468
doors	10873:21550:1829:364
closed	14969:21563:2099:377 14387:24021:2058:377
unless	17485:21589:2058:377
loading	22870:21602:2474:494
or	12412:41617:706:260 25739:21732:686:247
p\	55263:21537:873:559
cleaning	5385:22161:2910:481
month)	29627:21953:2661:442
break	33245:21953:2016:377
too!	35553:21966:1413:377
extenuating	37300:21966:4428:494
circumstances	41978:21979:5093:390
created	31790:22655:2598:377
proliferation	35803:22668:4615:455
ap-	45928:22785:1122:351
storm	5385:23032:2702:403
windows	8628:23032:3846:442
..	33224:23344:561:104 35366:23357:374:104
pliances.	29648:23357:3139:455
now	33204:23344:1684:390
things	37050:23370:2183:481
back	41042:23383:1684:377
normal,	44182:23370:2848:455
remember	5385:23982:3763:377
them	12391:24021:1642:377 23806:25764:1621:390
during	10666:25724:2183:481 16841:24047:2183:481
season.	17402:25868:2432:260 23598:24190:2411:260
staff	31000:24047:1684:377 24180:53439:1517:390
office	38069:24060:2287:390 15697:49993:2162:403 34929:33060:1995:351
asks	40605:24073:1517:377
.	45928:25464:166:104 44535:25464:187:104 33973:25477:207:91 30771:25477:228:91 32455:25477:207:91 40481:25464:124:104 11934:47197:124:104 30106:25438:166:130 16134:24671:83:559 28234:46806:62:520 8108:25061:103:65
-	47571:37781:540:65 11518:25061:166:52 46344:37768:311:52
rooms	37404:24866:2266:286
refrigerators,	40377:24762:4782:468
hot	45886:24762:1185:377
'	34513:26128:124:91 49941:24671:103:325 10894:34139:207:169
neglecting	5343:25087:3700:455
these	11892:25087:1704:377 29669:49967:1725:377 41853:33632:1954:364
procedures	13888:25100:3742:455
can	25989:53556:1122:260 17984:25230:1143:247
make	19544:25126:1746:364
your	21644:25243:1580:325
area	23515:25256:1496:247
very	25448:25269:1372:299
-ii	20063:25646:2474:273
r	25823:25777:311:143 15905:47171:311:156
plates,	29627:25438:2349:468
toaster	32455:25477:2474:351
ovens,	35345:25555:2266:351
space	38069:25555:1954:364
heaters	40481:25464:2536:377
uncomjortable	5343:25724:4969:455
attend	20292:25764:2245:377
1	27008:47158:103:78 14969:47184:124:143 30023:26128:145:377 25095:47158:124:78 37362:26141:166:377
d	33204:26128:415:390
]	10977:32604:124:338
r\c	11206:32669:2328:975
stock	39628:33086:1663:338
limited	42310:33073:2245:351
u	10624:33476:644:624
mrolr,	11560:33502:2973:702
n	15032:33892:457:247
prn—	15676:33879:1725:325
mmira	17568:33879:1912:325
jr	22829:33879:935:325
quantity	29731:33632:2661:468
calendars.	38048:33619:3409:364
fr—	11580:34139:1580:507
calendars	33141:34191:2993:364
available	37840:34191:2806:364
obtained	42102:34763:2744:351
telephoning	30833:35323:3763:468
(43)6-0905.	34971:35323:3742:442
"	54473:35375:166:78
room	51084:36012:2598:455
temperature	54141:36025:5551:572
problem?	52269:36766:4116:455
call	56864:36753:1704:455
_	49795:38002:727:130
(43)6-4146	53309:37508:4283:546
how	5343:38912:2245:520
bmoc	18462:48692:2411:390 6965:40187:2411:377 29004:41422:2494:390 10104:38899:3555:546 21415:53452:2370:377 11809:44348:2411:377 21831:52815:2411:390
responds	14200:38899:4823:676
inquiries	25365:38847:4594:689 19024:40824:2910:494
clearinghouse	11331:40187:4636:494
questions	17672:40161:3160:507
and/or	14886:49369:2203:390 21186:40161:2183:390
complaints	23723:40148:3638:494
about	22309:40824:1829:377 27756:40135:1871:377
all	17610:40824:1018:390 30023:40135:769:377
/	35595:41370:623:624 58403:48549:561:754 34347:43685:166:338 56698:50422:769:559 59318:47262:207:390 57384:49772:706:624 55679:51072:977:585 36925:39927:1226:832 59547:46520:124:338 34659:42697:395:598 58964:47821:353:611 35200:41929:436:520 58070:49174:498:520 36364:40759:561:442
gas	48381:39940:2682:390
\	49047:47821:831:611 50544:49174:894:650 50357:49017:478:286 59151:43646:207:364 57384:41305:582:507 36177:50422:748:546 34742:48562:353:507 48298:47158:727:520 34368:47821:207:338 55721:40057:727:429 34264:47548:145:273 51958:50422:748:559 35096:49174:478:520 56615:40655:644:481 52665:51072:810:572 47404:46351:727:507 47945:46806:686:520 48735:47548:436:273 51230:49772:769:559 58008:41929:498:507 35553:49772:623:559 59339:44101:249:689 46801:45727:644:520 34181:47249:207:429
energy-related	5343:40837:4761:494
matters	10499:40928:2370:299
on	13223:40954:810:273 28567:43750:810:260
campus.	14408:40941:2765:390
temperature-	25864:40850:4366:429
3,9	47675:40772:1309:416
°	49213:40785:602:286
00	51750:40746:1476:299
control	5343:41474:2328:377
buildings	7069:48744:3160:507 9044:41487:3014:507
should	19939:41474:2183:377
directed	23598:41448:2702:390
17%,	49671:41461:2349:364
(43)6-4146.	5364:42124:3680:455
following	11102:42138:3097:494
describes	14554:42138:3201:377
happens	20084:42111:2702:481
someone	25324:42203:2973:273
contacts	28650:42138:2786:312
bmoc.	6694:42762:2557:390
telephone	7838:43698:3201:494
inquiry	11414:43711:2370:494
received	15073:43685:2827:403
simultaneously	19814:43659:5052:494
recorded	25240:43646:2952:390
cassette	5343:44400:2536:325
tape.	8233:44413:1517:416
operator	8690:45974:2806:416 14595:44400:2869:429 9023:50747:2786:429
logs	21935:50617:1289:494 17839:44335:1309:468
pertinent	19544:44309:2952:494
information	25303:55390:3804:325 5343:53517:2307:390 29004:52802:1600:377 22912:44296:3908:377
regarding	27236:44283:3243:507
area.	9792:45116:1580:260
13^3□	38443:45220:2744:416
0,0	41416:45233:1372:416 53704:46937:1372:390
o	43017:45220:561:299
□	43807:45233:561:286
attempt	13452:45961:2494:416
resolve	17340:45870:2370:377
through	27507:45844:2640:481
81%	40439:45922:2349:390
oil	52290:46130:2287:364
computer	5301:46611:3181:377 21269:48770:3160:416
system,	8836:46611:2432:377
if	11664:46546:540:390
corrective	12474:46533:3389:403
action	16238:46520:2058:377
problems	24513:46507:3118:481
dealt	29399:46481:1663:390
l	6383:47184:311:143
i-•	9085:46806:602:520
■.	18358:47158:353:169
t-u	19689:47145:852:182
~	29627:47132:374:104
4,9	51271:46937:1372:390
0	55284:46950:582:299 52914:46937:582:299 56095:46950:582:299
their	11705:47197:1538:377
level	13597:47184:1517:390
severity.	16529:47210:2723:416
thus,	19689:47158:1850:429
areas	12869:47951:1704:273 21955:47249:1684:273
no	25843:47262:810:260
gg	52519:47678:1330:273
y	54286:47665:727:286
take	5301:47834:1330:390
precedence	6985:47834:3784:494
over	11123:47964:1393:260
some	16841:47912:1725:273
heat.	18961:47821:1538:338
outside	13306:48744:2411:364
network	24804:48705:2702:377
pro-	29440:48809:1413:377
blems	5281:49395:2016:390
requiring	7672:49395:3056:494
inspection	11102:49382:3389:494
repairs	17464:49343:2266:494
system	25220:49408:2224:416
refer-	29232:49330:1829:377
red	5322:50045:1060:390
emergency	9044:50045:3700:481
repair	13161:50019:2183:494
(ero)	18254:49967:2141:481
physical	23120:49980:2723:494 8025:52230:2723:481
plant.	26238:49967:1912:390
cases,	5301:50786:1975:338
initiates	12183:50669:2578:377
ero	15157:50656:1642:377 19606:51254:1580:364
orders,	19232:50617:2287:429
respective	24991:50617:3347:494
ticket	28713:50617:1892:364
numbers	5322:51319:2890:377
forwards	10125:51319:2869:377
tickets	14741:51293:2162:377
\.	36946:51072:997:572
plant	11144:52230:1663:377
trade	13161:52217:1684:377
person	15219:52295:2266:390
investigates	17880:52152:3804:481
problem,	23889:52178:3056:494
completes	27340:52165:3451:481
x.	38963:52269:727:260
order	8732:52867:1788:390
returns	12391:52919:2349:312
copy	15801:52919:1600:377
it	18795:52789:395:377
transcribed	8898:53491:3721:403
into	12994:53491:1268:364
entire	19149:53413:1892:390
aware	28609:53556:1954:273
___	44493:53764:873:117
——	48735:53556:1621:273
thestatus	5343:54155:3222:403
report	11435:54181:1995:442
problem.	15468:54064:3077:494
vale	37258:54285:3991:468
utilities	42393:54246:7193:468
85/86	50752:54168:4782:598
was	29482:55494:1185:221
prepared	31021:55364:2910:429
